,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.427776314355996,0,0,0.0799297746593778,0.0459934574760332,0,0,0.0648660108180771,0,0,-0.149939546952503,0,0,0.0145482226780415,0,0,0,0,0,0,0,0,-0.0275054504857031,0.00445084576720683,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0141856549271624,0.318117880152885,0,0.00502111773461095,0,0,-0.0861049558025961,0,0,0,0,0,0.0244138359523277,0,0,0,0,0,0.0084590538644756,0,0,0.0883559381720681
X2318.HK.EQUITY,0.00235313667411319,0,0,0,0,0,0,0.108152617822378,0.0450175243584021,0,0.0479568408883516,0,0.0276649926827509,0.105362634317388,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.0168777266487539,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0560725274065174,0,0.15021476630165,0,0,0,0,0,0,0.0106352038540929,0.0456761281866132,0,0,0,0,0,0.194188585423706,0,0,0,0,0,0
X939.HK.EQUITY,0.298239246173801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055844123322794,0,0,0,0,0,0,0,0,-0.0207256366629856,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.0544518768940426,0,0.039164105320637,0.278333158041224,0,0,0,0,0.0140119938781859,0,0.091254372310674,0,0,0,0,0,0,0.0337148167489262,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.598193662939944,0,0,0,0.0241438260968055,0,0.0192731052526408,0,0,0,0,0,0.00499395863799109,0,0,0,0,0,0.0294000911423852,0,0,0,0,-0.0133111804591351,0
X2628.HK.EQUITY,0,0,0,0,0,0.201950864910547,0,0,0.257247807521298,0,0.0641932336291543,0.340214259379076,0,0,0.132924857509239,0,0,0,0,0,0.0831131498268984,0,0,0,0.115156254465136,0,0,0.0547505571400891,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.341653096006119,0,0,0,0,0,0,0,0.533520268916861,0,0.0208282577054837,0,0,0,0,0,0.150877989488767,0,0,-0.0955654666822093,0,0,0
X600036.CH.EQUITY,0.0337385473682182,0,0,0,0,0.581358569389032,0,0,0,0,0.0284155303887094,0,0,0.0536904131844349,0,0,0,0,0,0,0.00802761805519964,0.0919073852206391,0.0387594842168378,0,0,0,-0.0176951851387913,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.158883964689631,0,0,0.0471073081955288,0.169776951000724,0,0,0,0,0.322773646489669,0.0373261942811503,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0435823848207998,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0.0570421533143072,0,0,0.0949320809960581,0,0,0,0,0,0,0.0195621700525367,0,0,0,0,0,0.0529756475400895,0,0,-0.0195740180603903,0,0,0
