,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.200494697489047,0,0,0,0,0,0,0,0,0,0,0,0,0.103162264458287,0.0848494012633327,0,0,0.0256409310730317,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0.0867247482976409,0.00694753655862673,0,0,0.0509684156398044,0,0,0,0,0.0499126390043281,0,0,0,0,0.0217434444415149,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.123796005699999,0.0289267013160102,0,0,0,0,0,0,0,0.0119614551105345,0,0,0,0,0,0,0.031332137609576,0.0929135211016735,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0347591603381849,0.140249126201403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.EQUITY,0,0.075626403992136,0,0,0,0,0,0.0183809339589417,0,0,0,0,0.183525876734783,0,0,0,0.0250404551059817,0,0,0,0,0,0.0897739149154054,0,0,0,-0.00027472061923942,0,0.0123293771943405,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0110745294815532,0,0.197247767561339,0,0,0,0,0,0,0.00951927773852091,0.114091895850462,0,0,0,0,0.027202231803735,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0905713850799149,0,0,0,0,0,0,0.011310162398539,0.0676313438749193,0,0,0,0,0,0.0396148739550675,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.267029005012701,0,0,0,0,0,0,0.480620937320774,0,0,0,0,0,0,0,0,0.242685228136665,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.328498532748715,0,0,0,0,0,0,0.0569729428408776,0,0.033718801003371,0,0,0,0,0,0,0,0.050109169217268,0,-0.0455462071451948,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0414464311050651,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424725397754132,0,0.0887060224136117,0,0,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0.0867960873186179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0097379368329775,0,-0.0255356976354806,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.144061421330303,0,0,0,0,0,0,0.042340286592301,0,0,0,0,0,0,0.121369328455181,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.14727917799494,0,0,0,0,0.0803368208369897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.221426689313468,0,0,0,0,0,-0.00495117487524602,0,0,0.0123562638704152,0,0.309923833361535,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0752782094039852,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0.172682692794774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165864900239538,0,0.0887794031714779,0.0669513082689378,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.195711143540699,0,0,0,0,0,0,0,0,0.364518114459282,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964990076069093,0,0,0,0,0,0,0,0,0,0,0,0.0604746287562261,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.038329071419601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155711756660226,0.191957299894757,0.00706016536661215,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.120269374827962,0,0.113115206249089,0,0,0,0.0619490892619801,0,0,0,0,0,0,0.000812945353698366,0,0,-0.0154090731409937,0,0.0255846075171229,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0.0195905267506528,0,0.102443680689728,0,0,0,0,0,0,0.00667190539830828,0,0,0,0,0,0,0.0835379228132959,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344888828039673,0,0,0,0,0,0,0.0889657746366692,0.226045481106391,0,0.0546494508819221,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.130519005814821,0,0,0,0,0,0,0.024671904519879,0.152848458588663,0,0,0,0,0.0356599949701397,0.0776749617180739,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.018997221863776,0,0.254418268098637,0,0,0,0,0,0.0284948060815561,0.0702794422059558,0,0,0,0,0,0,0.0676509536255149,0.128751534043361,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.0540006401146801,0,0,0,0,0,0,0.210523531449906,0,0,0,0,0,0,0,0,0.454402103691561,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.113567964263471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210649220297652,0,0,-0.0128178607234274,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0.0903715699774025,0,0,0,0,0.084166307847885,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118337106593067,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,-0.0522001431502985,0,0,0,0,0.265758210268296,0,0,0,-0.182574000984345,0,0,0,0.158091156864952,0,0,0,0,-0.276428830611749,0,0,-0.0118784710761211,0.317331909003768
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22240323907952e-07,0,0,0,0,0,0,0,0,0,0,0,0.999979609406706,0.999967237440524
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999991305865072,0,-0.999986294618949
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08253072960148e-05,0,0,0,0,0,0,3.28037341997348e-06,0,0,0,0.999446316507707,-0.999619862376104,0
