,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,-7.91047567914115e-05,0,0,0.0314204631645936,0.0450244866859506,0,0,0,0.0710558037244611,0.108146111658592,0,0,0.0329049494997191
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0,0,0,0.152950342510733,0.0586881065675637,0,0,0,0,0,0.0435473335984468,0,0
X939.HK.Equity,0,-0.0986790738171259,0,0,0.0938739937213801,0.274302979669172,0,0,0,0.0740663882153344,0,0,0,0
X2628.HK.Equity,0,-0.037116157214049,0,0.212469914583386,0,0.204947191867964,0,0,0,0.272802943221199,0,0,0,0
X3328.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.Equity,0,0,0,0,0.0427531255120329,0.0268537813977911,0,0,0,0.0287142631195937,0.0505631370754172,0,0,0.0257645254689428
X2388.HK.Equity,0.13680589733575,-0.042257630902681,0.0287982366102632,0,0.0527963557239589,0.0542764893587513,0,0,0,0.0458072494750138,0.0647799093502223,0.0390220389639815,0,0
X2318.HK.Equity,0,-0.0222082615128107,0,0,0.408779337558187,0,0,0,0,0,0.0806547012155133,0,0,0.137179737520209
X2882.TT.Equity,0.270989166687257,0.0167444664643971,0,0,0.0260269871771234,0.127256073502461,0,0,0.240463386321364,0.0586138090659355,0,0,0,0.075776683344169
X600036.CH.Equity,0,0,0.45684313518839,0,-0.194863200006967,0,0,0,0.171492598027639,0.240490566339078,0,0,0,0.0255372449275607
GCNY10YR.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.045185914258207,0,0,0,0.175096546421423,0,0,0,0.332474987675421,0.0527978686579861,0.0234790334249336,0,0
