,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.102570601770652,0,0,0,0,0,0.0432472417076961,0,0.085249549768014,0,0,0,0.137359116487688,0,0,0,0,0,0,0,0,0,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.30058529457184,0,0,0.0211524224293685,0,0,0,-4.33680868994202e-19,0.0659743372993475,0,0,0,0,0.00056940534831886,0,0,0,0,0,0,0,-2.56518555860735e-05,0,0,0
X601318.CH.EQUITY,0,0,0,0.291543139647515,0,0,0,0,0,0,0.0835753027406938,0,0.267925336192753,0,0,0,0,0,0,0,0,0.154787576875157,0,0,0,0,-0.00285515186988772,0,0,0
X2318.HK.EQUITY,0,0,0.275875430589022,0,0,0,0,0,0,0,0,0,0,0.0733884887458,0,0,0.0373750433576794,0,0,0,0,0.0821762082159444,0,0,0,0,-0.0198971804131044,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0307778174619621,0,0.0410783104681994,0,0,0,0.362776754391941,0,0,0,0,0.028094501188326,0,0,0,0,-0.00299300116956147,0,0,0
X939.HK.EQUITY,0,0.43284391484484,0,0.0322209823706977,0,0,0,0,0.0513700662185451,0,0,0,0,0.0391316771636924,0,0,0,0,0,0,0,0.0138395536381079,0,0,0.0238326594491457,0,-0.0039639336268249,0,0,0
X601288.CH.EQUITY,0,0,0,0,0.369936077622766,0,0,0,0,0,0,0,0.0719001277376181,0,0,0,0.0158757872679254,0,0,0,0,0.036363308115413,0,0,0,0,-0.00430041105764954,0,0,0
X5.HK.EQUITY,0,0,0,0,0.0485484691260659,0.0587735411707883,0,0,0,0,0,0.037092762775486,0,0,0,0,0,0,0,0,0,0,0,0.12831229731024,0,0,-3.12528576746366e-05,0,0.0219068252895177,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123787005260419,0,0,0,0,3.73040826880647e-06,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.116241836981089,0,0,0,0,0,0,0,0.168564331829578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.355824321260822,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224748209388464,0,-0.0132331855127093,0,0,0,0,0,0,0,0.00117387934897595,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0714663649920976,0,-0.0130642835828981,0,0,0,0,0,0.253740991169164,0,0.00276332943114318,0,0.0548165858485725,0
X601628.CH.EQUITY,0,0,0.0466882184749145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16197170966678,0,0,0,0,0.0442071124469203,0.43691639094055,0,0,0,0.00722911744432371,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.160644034921136,0,0,0,0,0,0,0,0,0.0155963202277812,0,0,0,0,-0.0114650028580827,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.121172678562564,0,0,0,0,0,0,0.01344418021588,0.0676075058844525,0,0,0.0334665079049445,0,-0.021496021683692,0,0,0,0,0,0,0,0,0.0615325455607095,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0459164509644685,0,0,0,0.191121673574744,0,0,0,0,0.0221265358080107,0,0,0,0,0.00104815640817407,0,0,0
X601166.CH.EQUITY,0,0,0.201751175487022,0,0.0653116206630307,0,0,0,0,0,0,0,0.148239749140371,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00730707224798704,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.114004492050286,0,0,0,0.123420840094661,0,0,0,0,0,0,0,0,0,0.00554355623127283,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.526861898577801,0,0,0,0,0,0,0,0,0.225881071117787,0,0,0,0.242831290750671,0.0415216130704968,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.0428563118190189,0,0,0.063760883680117,0,0,0,0,-2.16840434497101e-19,0,0.00209741529278665,0,0.11889657491887,0,0.0186734808115408,0,0,0,-0.00110888115232329,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.127362787968634,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0440323641900806,0,0,0.0306145865138853,0,-0.00161862874762183,0,0,0
X000002.CH.EQUITY,0,0,0.265686714802979,0,0,0,0,0,0,0,0,0,0.161650995788508,0,0,0,0,0,0.00832614348828063,0,0,0,0,0,0,0,0.00755870230244163,0,0,0
X601601.CH.EQUITY,0,0,0.0297059248378752,0,0,0,0,0,0,0,0.0748063866327855,0,0.483512440826724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0.00346314351377443,0,0,0,0,0,0,0,0,0,0.133788471715428,0,0,0,0,0,0,0.0683404201615924,0.0289073629657542,0,0,0.0236699625645284,0,-0.00350053855368686,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0739475832447316,0.215011836333567,0,0,0,0,0,0,0,0.0162250313435522,0,0,0,0,-0.00372443864484993,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130983072182697,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547199255092066,0,0,0,0,0,0,-1.8369164888324,0,0,0,0
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092282247816377,0,0,0,0,0,0,0,-0.0073518379451791,0,0.287730542453329,0
CN2YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.48945110045924e-07,0.999979599222672,0,-0.999977340006841
CN210SLOPE,0,0,0,0,0,0,0,0,0,0,0,0,1.62317436569549e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02417736655402e-07,0.999947929361521,-0.999961290102436,0
