,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0694216001772456,0,0,0,0.328847141669901,0,0,0,0,0,0,0,0,0.0162076725816573,0,0.00168750497063282,0,0,0
X601398.CH.EQUITY,0,0,0,0,0,0.0260871017873967,0,0,0,0,0,0,0.0487188272432953,0.0855937349891107,0,0,0,0.0651647701949422,0.062367357404529,0,0.0205632845123333,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.178479417764972,0,0,0,0,0,0,0.123572867234065,0,0,0,0,0.0747481195741854,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0235166566055063,0.0681598965212618,0,0.0876705823046914,0,0.0507564183433556,0,0,0,0.0531999900816964,0.0614362156838811,0,0,0.0347743726955938,0.0741897702841686,0,0,0,0,0
X939.HK.EQUITY,0.025628319986897,0,0,0,0,0,0,0,0,0,0,0,0,0.120722188473068,0,0,0,0.112040520669778,0,-3.46944695195361e-18,0,0,0,0.0947126898313398,0.0106268080404181,0,0.00132124148163743,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0073295459872483,0,0.077431335426192,0.169642299529622,0.0578772531291527,0.0473478929250514,0,0,0,0,0.0731665556977349,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.103319014676893,0,0,0,0,0.0481986618367108,0,0,0.0143351032772911,0,0,0,0,0,0.00108296737124071,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0303682833289565,0,0.144289957606681,0,0,0,0,0,0,0,0,0.183450439946845,0.0228407712605483,0.0049552679804868,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.039301632973331,0,0,0,0,0,0,0,0,0,0,0.0121847864914001,0.0838004571825837,0.0874213367661317,0,0,0.0174160197516458,0,0.0369497786162471,0,-1.73472347597681e-18,0,0.00345610201922357,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.142234298323127,0,0,0,0.0299218580089876,0,0.000840371892608533,0,0,0.0254896849350781,0,0,0.032808580570276,0.0038342899787919,0,0.00464054559100346,0,0,0
X600036.CH.EQUITY,0,0,0.379851149647499,0,0,0,0,0,0,0,0,0,0,0,0,0.104160322115301,0,0.0662796218921478,0,0.00114556722082102,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.05947395503466,0.0787977399576169,0,0,0,0,0,0,0.26795823863478,0,0,0.1950758710254,0.0419054815067328,0,-0.00690317683153871,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0926073463338254,0,0,0,0,0,0.0793908228774863,0.160281663340232,0,0.359289535641014,0,0,0,0,4.33680868994202e-19,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.126839432338617,0.126167645886059,0.0132378547139199,0,0,0,0,0.000637674261832917,0,0.0594620518100905,0.101386298436207,0,0,0,0,0,0,0,0,0
