"","date","CGB3M","FXI.US.EQUITY","VXFXI.INDEX","TED.SP","CN3M10YSLOPE","CREDIT.SP"
"1","20190416","0.4","0.08","0.64","0.84","0.4","0.28"
"2","20190417","0.32","0.08","0.52","0.76","0.4","0.28"
"3","20190418","0.32","0.08","0.56","0.6","0.44","0.28"
"4","20190419","0.4","0","0.72","0.56","0.48","0.32"
"5","20190422","0.36","0","0.68","0.56","0.52","0.28"
"6","20190423","0.28","0.04","0.64","0.64","0.48","0.28"
"7","20190424","0.2","0.04","0.56","0.56","0.52","0.36"
"8","20190425","0.28","0.08","0.6","0.6","0.6","0.36"
"9","20190426","0.24","0.08","0.6","0.64","0.4","0.36"
"10","20190429","0.2","0.08","0.56","0.76","0.36","0.44"
"11","20190430","0.28","0.08","0.6","0.8","0.52","0.48"
"12","20190506","0.32","0.04","0.72","0.72","0.44","0.44"
"13","20190507","0.24","0.04","0.68","0.6","0.36","0.52"
"14","20190508","0.16","0.04","0.76","0.6","0.36","0.48"
"15","20190509","0.24","0.08","0.68","0.68","0.32","0.56"
"16","20190510","0.24","0.08","0.72","0.6","0.4","0.6"
"17","20190513","0.2","0.08","0.64","0.76","0.44","0.56"
"18","20190514","0.2","0.04","0.8","0.52","0.52","0.56"
"19","20190515","0.24","0.08","0.76","0.56","0.48","0.52"
"20","20190516","0.28","0.08","0.8","0.64","0.44","0.6"
"21","20190517","0.28","0.08","0.76","0.56","0.52","0.48"
"22","20190520","0.28","0.08","0.68","0.64","0.48","0.56"
"23","20190521","0.32","0.04","0.84","0.52","0.4","0.56"
"24","20190522","0.2","0","0.84","0.64","0.44","0.52"
"25","20190523","0.28","0.04","0.8","0.48","0.4","0.6"
"26","20190524","0.24","0.04","0.8","0.64","0.48","0.68"
"27","20190527","0.28","0.04","0.72","0.52","0.52","0.56"
"28","20190528","0.28","0.12","0.88","0.52","0.64","0.48"
"29","20190529","0.24","0.12","0.76","0.6","0.56","0.48"
"30","20190530","0.32","0.08","0.72","0.6","0.48","0.48"
"31","20190531","0.36","0.08","0.8","0.64","0.44","0.48"
"32","20190603","0.2","0.12","0.72","0.68","0.52","0.56"
"33","20190604","0.4","0.12","0.72","0.64","0.52","0.52"
"34","20190605","0.4","0.16","0.72","0.72","0.48","0.48"
"35","20190606","0.32","0.2","0.72","0.64","0.48","0.24"
"36","20190610","0.24","0.2","0.8","0.64","0.52","0.4"
"37","20190611","0.24","0.16","0.84","0.68","0.6","0.44"
"38","20190612","0.24","0.12","0.92","0.56","0.52","0.28"
"39","20190613","0.24","0.24","0.68","0.64","0.68","0.2"
"40","20190614","0.36","0.28","0.72","0.76","0.56","0.16"
"41","20190617","0.36","0.28","0.68","0.72","0.56","0.24"
"42","20190618","0.36","0.28","0.64","0.68","0.6","0.2"
"43","20190619","0.4","0.2","0.76","0.8","0.56","0.2"
"44","20190620","0.48","0.16","0.88","0.8","0.6","0.24"
"45","20190621","0.44","0.08","0.84","0.8","0.48","0.16"
"46","20190624","0.28","0.16","0.64","0.8","0.64","0.24"
"47","20190625","0.32","0.16","0.76","0.84","0.56","0.2"
"48","20190626","0.28","0.2","0.76","0.8","0.56","0.28"
"49","20190627","0.28","0.12","0.68","0.88","0.64","0.28"
"50","20190628","0.28","0.12","0.68","0.68","0.64","0.32"
"51","20190701","0.36","0.12","0.72","0.8","0.56","0.36"
"52","20190702","0.36","0.16","0.52","0.76","0.6","0.24"
"53","20190703","0.4","0.12","0.52","0.8","0.48","0.28"
"54","20190704","0.32","0.12","0.52","0.92","0.44","0.2"
"55","20190705","0.32","0.16","0.6","0.84","0.52","0.28"
"56","20190708","0.24","0.2","0.6","0.88","0.44","0.28"
"57","20190709","0.36","0.2","0.68","0.88","0.44","0.24"
"58","20190710","0.52","0.2","0.6","0.96","0.52","0.2"
"59","20190711","0.52","0.2","0.64","0.88","0.52","0.2"
"60","20190712","0.52","0.32","0.64","0.8","0.44","0.28"
"61","20190715","0.52","0.2","0.72","0.92","0.44","0.28"
"62","20190716","0.56","0.28","0.68","0.88","0.44","0.28"
"63","20190717","0.6","0.2","0.72","0.92","0.4","0.24"
"64","20190718","0.52","0.2","0.72","0.88","0.52","0.32"
"65","20190719","0.48","0.2","0.68","0.96","0.56","0.36"
"66","20190722","0.48","0.2","0.72","0.96","0.48","0.32"
"67","20190723","0.52","0.24","0.76","0.92","0.4","0.2"
"68","20190724","0.48","0.16","0.76","0.92","0.48","0.2"
"69","20190725","0.52","0.08","0.72","1","0.52","0.24"
"70","20190726","0.48","0.08","0.72","0.92","0.56","0.2"
"71","20190729","0.44","0.04","0.8","0.92","0.56","0.24"
"72","20190730","0.4","0.08","0.84","0.88","0.72","0.32"
"73","20190731","0.32","0.08","0.84","0.76","0.52","0.32"
"74","20190801","0.28","0.08","0.88","0.8","0.52","0.2"
"75","20190802","0.28","0","0.88","0.72","0.56","0.12"
"76","20190805","0.44","0.04","0.92","0.8","0.6","0.16"
"77","20190806","0.48","0.04","0.92","0.84","0.6","0.2"
"78","20190807","0.44","0.08","0.92","0.88","0.56","0.36"
"79","20190808","0.6","0.08","0.92","0.8","0.56","0.36"
"80","20190812","0.52","0.04","0.84","0.68","0.52","0.24"
"81","20190813","0.48","0.04","0.8","0.72","0.56","0.28"
"82","20190814","0.48","0.04","0.76","0.84","0.6","0.2"
"83","20190815","0.48","0.04","0.8","0.84","0.52","0.16"
"84","20190816","0.44","0.04","0.72","0.8","0.56","0.2"
"85","20190819","0.4","0.08","0.72","0.88","0.56","0.24"
"86","20190820","0.36","0.08","0.76","0.88","0.52","0.16"
"87","20190821","0.28","0.12","0.92","0.88","0.56","0.36"
"88","20190822","0.48","0.16","0.84","0.88","0.52","0.32"
"89","20190823","0.36","0.16","0.72","0.88","0.52","0.4"
"90","20190826","0.44","0.08","0.92","0.76","0.52","0.32"
"91","20190827","0.44","0.04","0.76","0.68","0.52","0.32"
"92","20190828","0.52","0.08","0.76","0.72","0.36","0.36"
"93","20190829","0.48","0.04","0.88","0.84","0.48","0.32"
"94","20190830","0.64","0.08","0.84","0.76","0.4","0.32"
"95","20190902","0.52","0.08","0.84","0.88","0.56","0.2"
"96","20190903","0.48","0.04","0.84","0.88","0.48","0.28"
"97","20190904","0.48","0","0.72","0.76","0.48","0.36"
"98","20190905","0.6","0","0.84","0.88","0.4","0.24"
"99","20190906","0.56","0","0.88","0.72","0.44","0.16"
"100","20190909","0.44","0","0.84","0.92","0.32","0.32"
"101","20190910","0.56","0.04","0.84","0.8","0.48","0.32"
"102","20190911","0.44","0.04","0.76","0.92","0.4","0.36"
"103","20190912","0.36","0.08","0.92","1","0.44","0.36"
"104","20190916","0.44","0.04","0.84","0.92","0.48","0.28"
"105","20190917","0.48","0.12","0.68","0.88","0.48","0.24"
"106","20190918","0.48","0.08","0.68","0.88","0.56","0.2"
"107","20190919","0.52","0.04","0.84","0.96","0.56","0.24"
"108","20190920","0.4","0.08","0.76","0.8","0.8","0.2"
"109","20190923","0.44","0.08","0.8","0.88","0.56","0.2"
"110","20190924","0.52","0.04","0.8","0.84","0.52","0.24"
"111","20190925","0.4","0.04","0.8","0.84","0.64","0.28"
"112","20190926","0.48","0.04","0.8","0.84","0.56","0.24"
"113","20190927","0.48","0.04","0.84","0.84","0.6","0.24"
"114","20191008","0.52","0.04","0.88","0.88","0.48","0.2"
"115","20191009","0.44","0.08","0.8","0.88","0.64","0.2"
"116","20191014","0.52","0.12","0.72","0.8","0.56","0.2"
"117","20191015","0.44","0.08","0.76","0.8","0.64","0.32"
"118","20191016","0.4","0.04","0.72","0.84","0.56","0.16"
"119","20191017","0.48","0.08","0.8","0.84","0.56","0.24"
"120","20191018","0.44","0.12","0.88","0.96","0.72","0.2"
"121","20191021","0.44","0.12","0.76","0.96","0.6","0.24"
"122","20191022","0.32","0.12","0.8","0.96","0.76","0.16"
"123","20191023","0.52","0.12","0.72","0.92","0.6","0.24"
"124","20191024","0.36","0.08","0.8","0.88","0.56","0.36"
"125","20191025","0.4","0.08","0.8","0.84","0.52","0.32"
"126","20191028","0.32","0","0.88","0.72","0.6","0.2"
"127","20191029","0.32","0.08","0.88","0.8","0.72","0.16"
"128","20191030","0.36","0.08","0.88","0.84","0.6","0.16"
"129","20191031","0.32","0.12","0.72","0.76","0.64","0.16"
"130","20191101","0.36","0.08","0.76","0.72","0.56","0.16"
"131","20191104","0.36","0.16","0.84","0.8","0.56","0.16"
