date,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,DGB,XEM,ETH,ETC,NEO,ZEC,BAT,MIOTA,EOS,BCH,BNB,ADA,BTG,TRX,XTZ,BSV,MKR,ATOM,LEO,LINK,HT,MIN,INNBCL,STO,TAGZ5,CRO,HEX
20150201,0.40307452467746,0.267290822405077,0.257240311729818,0.170992906302985,0.585411547842755,0.477900045906686,0.206900379129793,0.0830387040195863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150202,0.478990290650942,0.173637395506051,0.231254896005299,0.182942033099772,0.379073458403825,0.45516388213102,0.0517054292204874,0.0599579643939443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150203,0.4854752231588,0.145478048729382,0.293144347745738,0.114359658320365,0.653735227663404,0.354065692304417,0.147568786803509,0.101506763004289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150204,0.466301465086956,0.141127165551266,0.338564374978982,0.0734881356779811,0.470174080994047,0.34279925933356,0.115517043734629,0.0819138366024588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150205,0.583734257598654,0.154997955742946,0.27710220848935,0.0556653264387066,0.361533337662599,0.328748730011589,0.100545259301698,0.0968810075848464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150206,0.57806981939719,0.105456588353721,0.287183140843401,0.113901301893784,0.369071590310185,0.278242117486071,0.135037295740798,0.0944986196955253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150207,0.590561004184194,0.0708211452785184,0.278553219700002,0.119030741452854,0.404746096760464,0.363895656997388,0.134033551462171,0.265056004573768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150208,0.588745046828672,0.0696643795940424,0.270960476461104,0.185271969827288,0.692037740397126,0.29904514830349,0.140525632747519,0.0878432826090229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150209,0.500476819049402,0.187076655710825,0.280902738666766,0.189814317665043,0.170633859846672,0.291443928482482,0.191600084104932,0.228794121769575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150210,0.499092934689744,0.342525154845344,0.215073477609074,0.140206940339653,0.391346478949362,0.27118694615137,0.142896504406201,0.176734071603752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
