date,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,DGB,XEM,ETH,ETC,NEO,ZEC,BAT,MIOTA,EOS,BCH,BNB,ADA,BTG,TRX,XTZ,BSV,MKR,ATOM,LEO,LINK,HT,MIN,INNBCL,STO,TAGZ5,CRO,HEX,DOT
20150201,0.632636935544836,0.258873411934043,0.527936984180488,0.148150875777276,0.536798098467967,0.67961563796833,0.367516670396569,0.194019284559688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150202,0.735189722642085,0.134119355902807,0.511124101767077,0.113616310180564,0.527252895011706,0.588906979887447,0.356382726559277,0.334470931655211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150203,0.537169346912807,0.279793645645969,0.488793133900649,0.0963732682782078,0.709126103536337,0.652982338877779,0.391753117770457,0.162787616404082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150204,0.615413956150623,0.405000163895865,0.593709473838265,0.113974433668255,0.428667552184431,0.667875850819538,0.376761255175145,0.250577437713204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150205,0.546195728404021,0.389768443533322,0.585631971643062,0.1378221134364,0.419760989275109,0.66626214919656,0.315105760530932,0.23956003715915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150206,0.598124513519489,0.349486756139253,0.700921237222982,0.412264859077735,0.374678331454047,0.78012899997265,0.32882345328794,0.234291935909834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150207,0.552424810118989,0.233520541344443,0.609281631795364,0.374933946546044,0.423479560011314,0.672524369950953,0.426381096781525,0.217204450204447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150208,0.5423830513845,0.447728684488088,0.591690913814131,0.378665891481538,0.384347736195054,0.711129953871843,0.39558824411311,0.230328683254516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150209,0.59753183797732,0.398919633942837,0.721114194909541,0.155369749315791,0.366690584283279,0.626247118282822,0.301855646504593,0.273998052342405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150210,0.574912651394288,0.416156238666809,0.580962573799932,0.146771097955032,0.42929024998988,0.622664241411499,0.315893821251198,0.255990621424922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150211,0.580387137357734,0.422625741809747,0.409792581044107,0.109465250664131,0.381121076192018,0.626307711804719,0.233575034417752,0.285792159776125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150212,0.568162299576092,0.315629452597211,0.393214870542021,0.141277384413721,0.582031632436232,0.633776270579671,0.194622512976511,0.246856479813225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150213,0.586983775905382,0.303745479082933,0.616543964165655,0.154192331611005,0.629662780837306,0.623069963076176,0.294389683601404,0.200215079464727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150214,0.718513386644392,0.25107448549327,0.623116230161802,0.153489728378528,0.725194705250608,0.535614894437508,0.303095499319161,0.205841575599427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150215,0.667945820933241,0.353064305019074,0.5959973435861,0.127517293260744,0.723778499949033,0.486392178046816,0.165335121619169,0.275607977901105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150216,0.687776395930695,0.253127025718813,0.463466034430705,0.185905293663406,0.855374566700082,0.533536319872089,0.283514580544016,0.24441960545704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150217,0.53874126687523,0.318908518106107,0.381817088130608,0.0901579962434424,0.812027056648254,0.488382467349243,0.24652570208531,0.278898200542433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150218,0.71018205250029,0.236295090370222,0.61620569053866,0.205323226142202,0.754043114347186,0.38756705316963,0.0963142813496504,0.28075921224077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150219,0.726522867372894,0.409937943603057,0.540291046439528,0.23075974525397,0.761183249098255,0.303112858898601,0.172463710440879,0.27950963479594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150220,0.783542821319678,0.355623626737092,0.571315139527528,0.141976102776244,0.720936538360707,0.417784956347707,0.168284715685572,0.177542451283074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150221,0.715551478034248,0.332690318120795,0.42593333578174,0.165409917740035,0.737317748568079,0.410334101098108,0.162950867994193,0.108468013932791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150222,0.612049249638768,0.508121539497031,0.448742468324259,0.297645483774658,0.679455273551585,0.401718105811056,0.18700123639232,0.274324980820049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150223,0.760192240565879,0.483496704373553,0.537807246691803,0.312114504127293,0.701285108641306,0.361509659627609,0.187834341222586,0.130946789323987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150224,0.722481025655638,0.541631763193295,0.619146757292222,0.247083443392279,0.563029053709111,0.352161025116452,0.170324942619842,0.197821546321977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150225,0.715710739924554,0.4183408585237,0.536499037864023,0.194018975779426,0.618690845219291,0.376162610835065,0.14765779039719,0.279089132157111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150226,0.684699186733672,0.443659366970526,0.527116707505186,0.275764765333881,0.621866808468006,0.36396162771584,0.173990036156614,0.109631034843296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150227,0.666623702615293,0.492985515149019,0.446728570894058,0.172686082658142,0.635717256109697,0.314774046410833,0.219451070421043,0.185609616371961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150228,0.69267448598141,0.481111029172427,0.542831049530512,0.161211557518681,0.612108448204379,0.291519320258024,0.250902269391783,0.191726495907541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150301,0.649771044141324,0.47468129735447,0.470535556542958,0.167601877529198,0.644529138354176,0.332267082688852,0.157007396530858,0.110526235616937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150302,0.652554726517486,0.468458412102016,0.427007698031711,0.189020759009003,0.512214941839255,0.351940879114133,0.180338589431561,0.112836922979994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150303,0.646125983563689,0.504272174813755,0.434259702149281,0.221344187748315,0.621010936167138,0.370393515221982,0.26252325804628,0.189461010549532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150304,0.706492935898187,0.512831698999802,0.476260586983617,0.17444053334519,0.679457394732319,0.343605533565007,0.342519309671933,0.229171429431629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150305,0.607912822261799,0.48337010764287,0.468182090487408,0.135682999312551,0.596296719331255,0.336204865018313,0.206494905537801,0.0714618912000068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150306,0.691756688296535,0.5103511213907,0.466498532979801,0.132579628510945,0.672030710760145,0.302476525617174,0.403571295432098,0.0729348152643106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150307,0.449523952274742,0.385723137377132,0.354495403510228,0.1558606268092,0.621520037509423,0.20584344335812,0.223647308668061,0.307272315051627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150308,0.492161135024963,0.38245706462692,0.374650986061097,0.144633172885343,0.561437161803558,0.272799367294162,0.392960869361404,0.218987002947168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150309,0.558730068431786,0.390830309448881,0.45874754290598,0.194530363364304,0.562366959830702,0.293119798818583,0.426094004032862,0.214988271807815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150310,0.602708485035911,0.388603737814438,0.402389173217752,0.10657420757086,0.503598021084926,0.297225497704316,0.365675886459222,0.125625454290366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150311,0.553722615485634,0.42227848836694,0.387293922234286,0.0971823627404363,0.567536087933749,0.213335665180086,0.174163326509046,0.128564335608265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150312,0.564883975420516,0.395194767937447,0.49097668565465,0.0867469048323172,0.647819886109407,0.270258309908045,0.347900662624276,0.116764527789485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150313,0.650356561998665,0.36473335754706,0.559069842622383,0.173237448545238,0.458150353437235,0.341043870432529,0.149007382053742,0.114669318939072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150314,0.509800019032672,0.377762291742807,0.538535398196599,0.22099440393156,0.554040382315522,0.198617273929875,0.171967857074234,0.218731650490318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150315,0.575082902167272,0.398289788992337,0.561499120125583,0.198692671336131,0.456433562429488,0.29536031348448,0.163931416048316,0.277911407655861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150316,0.551045128731235,0.282179555813254,0.492357760698299,0.197722663813916,0.546959074257279,0.204016965292267,0.15353085957527,0.290950836183757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150317,0.494752256520882,0.307610052430195,0.475357708788741,0.179827918068247,0.448004684146209,0.186457999341725,0.151220350541693,0.273361923104877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150318,0.442040386019351,0.215945551697768,0.360622825667582,0.141015666940231,0.334070301102917,0.187630676543559,0.142864312497305,0.252302078245144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150319,0.395257169896108,0.118780060570494,0.357378127507602,0.099483462945157,0.399642600753818,0.109513775679539,0.0402023005013765,0.13754534773738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150320,0.368467408056714,0.157195418723207,0.300271499647596,0.168621208135042,0.264158339133648,0.154823301028698,0.164716183886627,0.181008451585687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
