"","date","FXI.US.EQUITY","VXFXI.INDEX","CN10YR","CN2YR","CN210SLOPE"
"1","20200416","0","0.52","0.56","0.12","0.04"
"2","20200417","0","0.64","0.52","0.12","0"
"3","20200420","0","0.68","0.52","0.16","0"
"4","20200421","0","0.76","0.6","0.16","0.04"
"5","20200422","0","0.88","0.56","0.12","0"
"6","20200423","0","0.72","0.56","0.16","0"
"7","20200424","0","0.76","0.56","0.08","0"
"8","20200427","0","0.76","0.56","0.16","0"
"9","20200428","0","0.76","0.64","0.16","0"
"10","20200429","0","0.56","0.56","0.2","0"
"11","20200430","0.04","0.6","0.6","0.2","0.04"
"12","20200506","0","0.8","0.6","0.16","0"
"13","20200507","0.04","0.64","0.64","0.16","0"
"14","20200508","0","0.68","0.56","0.12","0"
"15","20200511","0","0.68","0.6","0.16","0"
"16","20200512","0","0.8","0.6","0.16","0"
"17","20200513","0.04","0.68","0.28","0.16","0.04"
"18","20200514","0.04","0.6","0.24","0.24","0.08"
"19","20200515","0.04","0.76","0.24","0.2","0.08"
"20","20200518","0.08","0.76","0.28","0.16","0.08"
"21","20200519","0.08","0.8","0.28","0.2","0.04"
"22","20200520","0.12","0.72","0.36","0.16","0"
"23","20200521","0.04","0.64","0.32","0.2","0"
"24","20200522","0","0.72","0.36","0.2","0.04"
"25","20200525","0.04","0.76","0.32","0.12","0.04"
"26","20200526","0.04","0.72","0.32","0.16","0.04"
"27","20200527","0.04","0.72","0.36","0.16","0.04"
"28","20200528","0.08","0.8","0.32","0.24","0.04"
"29","20200529","0.08","0.88","0.44","0.24","0.04"
"30","20200601","0.04","0.8","0.28","0.24","0.08"
"31","20200602","0.04","0.76","0.24","0.32","0.04"
"32","20200603","0.04","0.76","0.24","0.44","0.16"
"33","20200604","0.08","0.76","0.28","0.36","0.08"
"34","20200605","0.08","0.68","0.2","0.36","0.08"
"35","20200608","0.04","0.64","0.28","0.28","0.04"
"36","20200609","0.04","0.64","0.24","0.28","0.08"
"37","20200610","0.08","0.68","0.24","0.28","0.12"
