Dates,601318 CH Equity,600036 CH Equity,600030 CH Equity,601166 CH Equity,601398 CH Equity,601328 CH Equity,300059 CH Equity,000001 CH Equity,600000 CH Equity,600016 CH Equity,601688 CH Equity,600837 CH Equity,601288 CH Equity,002142 CH Equity,601229 CH Equity,601211 CH Equity,601601 CH Equity,600999 CH Equity,601169 CH Equity,601988 CH Equity,601818 CH Equity,601628 CH Equity,600919 CH Equity,000166 CH Equity,000776 CH Equity,601009 CH Equity,601939 CH Equity,601788 CH Equity,601336 CH Equity,600958 CH Equity,600015 CH Equity,600109 CH Equity,601377 CH Equity,300033 CH Equity,601901 CH Equity,002736 CH Equity,000783 CH Equity,601108 CH Equity,601555 CH Equity,601066 CH Equity,600705 CH Equity,601162 CH Equity,600061 CH Equity,600926 CH Equity,601878 CH Equity,000728 CH Equity,601881 CH Equity,601838 CH Equity,600390 CH Equity,601198 CH Equity,601997 CH Equity,002958 CH Equity,601998 CH Equity,002673 CH Equity,601319 CH Equity,600369 CH Equity,601658 CH Equity,002939 CH Equity,000627 CH Equity,601916 CH Equity,601577 CH Equity,601236 CH Equity,600928 CH Equity,601077 CH Equity,002945 CH Equity,1299 HK Equity,5 HK Equity,939 HK Equity,2318 HK Equity,388 HK Equity,1398 HK Equity,3988 HK Equity,2628 HK Equity,11 HK Equity,2388 HK Equity,3328 HK Equity,2882 TT Equity,2881 TT Equity,2886 TT Equity,2891 TT Equity,2884 TT Equity,2892 TT Equity,5880 TT Equity,2880 TT Equity,5876 TT Equity,2885 TT Equity,2801 TT Equity,5871 TT Equity,2887 TT Equity,2883 TT Equity,2890 TT Equity,2888 TT Equity,2823 TT Equity,2834 TT Equity,6592 TT Equity,2812 TT Equity,2809 TT Equity,2845 TT Equity,2889 TT Equity,9941 TT Equity,2838 TT Equity,2867 TT Equity,6005 TT Equity,2849 TT Equity,2905 TT Equity,2820 TT Equity,2855 TT Equity,2897 TT Equity,2850 TT Equity,2851 TT Equity,2836 TT Equity,6024 TT Equity,2832 TT Equity,2816 TT Equity,2852 TT Equity,601375 CH Equity,601099 CH Equity,600909 CH Equity,600816 CH Equity,002839 CH Equity,002797 CH Equity,002500 CH Equity,000750 CH Equity,000712 CH Equity,000686 CH Equity,000562 CH Equity,23 HK Equity,3328 HK Equity 
2006-01-03,11945.0634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182534.9628,81141.345,11945.0634,4652.0752,,,24336.2564,24978.3547,20454.2083,21414.7987,15436.1615,7017.599,7434.3843,5594.7707,1910.4228,4150.3307,,3969.1643,,1239.9063,2387.0557,,2715.232,4040.13,3433.5583,3133.1729,352.7125,1075.3696,,337.383,368.7534,838.6631,714.421,199.3897,511.7143,,543.3837,542.0235,118.2595,532.3083,527.6201,,99.9751,177.6961,274.5383,,144.6437,113.0376,90.9272,,,,,,,,,,,,4586.0763,21414.7987
2006-01-04,12544.1523,9248.6788,1611.7631,,,22448.327,,1514.6697,4974.0629,3823.8156,,200.5234,,,,,,,,,,24681.1332,,,57.7369,,,,,,2571.7686,42.6729,,,,,413.5484,,,,230.7305,,110.0719,,,115.1042,,,60.8384,,,,,,,50.8297,,,140.079,,,,,,,,184724.7537,84038.1663,12544.1523,4857.5534,,,24681.1332,25199.9499,20863.0234,22448.327,15660.4589,7121.2069,7609.9589,5746.2384,1909.7201,4216.5076,,4052.7625,,1271.158,2379.8238,,2732.9447,4112.6541,3521.4894,3175.3271,349.9009,1081.5368,,337.7114,375.5851,843.8691,721.1598,201.2705,525.009,,561.1671,541.8498,118.7053,534.7336,530.8333,,100.1419,179.3722,273.2356,,144.0482,112.9778,90.9867,,,,137.9059,,,,71.9746,72.685,76.5674,303.3337,4605.4907,22448.327
2006-01-05,12344.5639,9544.7383,1649.0621,,,22743.9931,,1524.6764,5057.7507,3824.7164,,206.3793,,,,,,,,,,24508.854,,,58.6636,,,,,,2650.4829,43.475,,,,,422.2336,,,,230.7849,,111.023,,,117.6993,,,61.1173,,,,,,,51.0553,,,140.8494,,,,,,,,185165.5708,81865.8213,12344.5639,4761.697,,,24508.854,25323.5639,20999.6539,22743.9931,15979.4487,7193.9586,7740.9673,5960.037,1976.5152,4350.6011,,4243.3843,,1308.8394,2464.2399,,2832.6795,4224.204,3692.1331,3309.6007,372.0795,1104.6366,,350.7718,391.2791,866.1519,735.1503,204.8001,533.7943,,600.9993,558.0662,121.1019,548.0634,557.6354,,103.9097,181.9858,280.7455,,150.9644,116.5966,93.5288,,,,137.9384,,,,71.9915,73.0798,77.3895,304.1599,4615.287,22743.9931
2006-01-06,12664.0009,9748.2925,1673.4467,,,23482.1316,,1546.1776,5202.6578,3833.193,,202.5931,,,,,,,,,,25544.1099,,,59.112,,,,,,2650.1215,44.261,,,,,419.3138,,,,228.3244,,111.9329,,,121.5347,,,61.6381,,,,,,,50.194,,,142.3048,,,,,,,,186624.6127,84038.1663,12664.0009,4789.0407,,,25544.1099,25224.6074,21135.7427,23482.1316,15913.4747,7189.9739,7696.2441,5947.6313,1936.8889,4298.3183,,4209.596,,1301.2777,2420.1248,,2816.3137,4182.5156,3670.8019,3334.7745,366.8471,1090.2673,,343.9679,377.23,858.4312,727.6106,202.8844,530.7103,,584.8137,552.1872,118.2162,542.2899,549.0998,,102.1398,180.1578,273.6504,,148.6159,114.4151,94.5917,,,,137.9196,,,,71.9817,73.4475,78.3839,310.1555,4624.9642,23482.1316
2006-01-09,12987.6173,9648.6376,1781.7097,,,24080.3307,,1541.8695,5141.2867,3798.4719,,203.3445,,,,,,,,,,26069.9654,,,60.2734,,,,,,2661.4253,44.7159,,,,,419.4542,,,,239.3349,,112.8958,,,122.0035,,,62.9819,,,,,,,49.3562,,,145.3028,,,,,,,,189752.3504,85513.5696,12987.6173,4989.272,,,26069.9654,25454.4037,21415.0906,24080.3307,15742.9766,7244.8833,7701.6595,5970.8564,1994.3146,4376.7353,,4260.4305,,1321.1114,2476.2399,,2853.8095,4284.1177,3698.8356,3341.1134,368.0955,1094.5694,,348.0389,388.5955,864.987,733.1674,205.1718,531.9067,,589.2799,567.1043,120.644,551.6854,555.0781,,103.3127,182.3161,268.6498,,150.7426,115.2888,95.3141,,,,137.9657,,,,71.7391,74.6053,81.0238,315.5436,4645.8758,24080.3307
2006-01-10,13147.6345,10006.8679,1778.2796,,,23489.7054,,1515.0265,5154.8285,3788.7191,,205.696,,,,,,,,,,26070.3018,,,59.8049,,,,,,2692.1408,44.443,,,,,430.8214,,,,236.8581,,112.4108,,,125.4033,,,62.9694,,,,,,,50.8417,,,143.7991,,,,,,,,191362.89,84065.2716,13147.6345,5057.8712,,,26070.3018,25454.7321,21347.1651,23489.7054,15867.9958,7229.2708,7738.3079,5991.2124,2008.9244,4358.205,,4241.9265,,1318.2644,2455.883,,2887.5428,4327.0183,3758.1753,3346.6383,361.1031,1086.8567,,351.6119,377.5985,860.3915,728.2771,205.0979,530.7604,,583.7491,568.5515,119.2005,550.4966,548.539,,103.874,181.9232,264.9264,,153.8813,115.4194,95.1087,,,,137.9384,,,,71.7249,74.5905,80.8067,315.481,4637.209,23489.7054
2006-01-11,13027.243,9875.1841,1768.5016,,,23341.068,,1502.4985,5167.7884,3742.5624,,202.2164,,,,,,,,,,25551.3598,,,59.33,,,,,,2649.6616,43.8134,,,,,424.963,,,,236.7847,,110.5262,,,122.3694,,,62.9499,,,,,,,51.0395,,,141.5429,,,,,,,,191355.4838,84062.018,13027.243,4927.7615,,,25551.3598,25503.0759,21550.9364,23341.068,16134.2,7293.4488,7797.1258,5970.8142,2005.7922,4405.9161,,4300.4714,,1321.1387,2497.0458,,2930.8259,4476.4262,3785.9186,3424.003,374.4665,1094.517,,361.6148,388.8442,872.6858,730.4468,206.984,534.4866,,591.3475,586.3207,121.378,557.4902,549.4619,,107.2344,185.5374,269.2228,,159.0757,123.187,101.3984,,,,137.8956,,,,73.302,74.001,79.1741,314.6287,4656.5128,23341.068
2006-01-12,12907.0274,9878,1799.7713,,,23635.9147,,1514.9889,5198.3846,3761.6278,,201.5907,,,,,,,,,,25550.7005,,,61.4012,,,,,,2660.8314,44.4419,,,,,419.3592,,,,241.7108,,111.9454,,,125.8282,,,64.0261,,,,,,,51.0541,,,146.7452,,,,,,,,191789.0887,84059.8491,12907.0274,4790.5653,,,25550.7005,25601.0733,21482.1829,23635.9147,16630.511,7236.1731,7897.5715,6029.0247,2032.1172,4478.149,,4307.6449,,1329.0961,2512.0858,,2980.5274,4538.2984,3876.3322,3482.971,384.5055,1102.4539,,361.863,377.5798,883.4292,738.1714,207.491,533.1248,,599.1892,579.1276,122.6186,560.8481,552.7714,,108.6677,185.0864,267.6858,,156.0578,126.5942,103.6283,,,,137.9349,,,,73.0562,74.7775,81.0057,321.5109,4666.1341,23635.9147
2006-01-13,13027.075,9875.0617,1888.4288,,,24818.0306,,1497.6565,5056.1209,3670.5445,,201.5307,,,,,,,,,,26241.5986,,,62.5239,,,,,,2618.3954,44.4287,,,,,424.9578,,,,237.9961,,116.0742,,,126.2186,,,65.3295,,,,,,,48.4763,,,149.6503,,,,,,,,191791.5629,86234.9232,13027.075,4824.8948,,,26241.5986,25626.0677,21550.6584,24818.0306,16492.2216,7210.6124,7709.794,5874.7156,2015.4767,4416.7966,,4236.4405,,1319.4595,2480.6608,,2946.0475,4417.9075,3784.0394,3375.1449,376.9425,1086.5022,,353.373,383.0252,877.5748,735.564,206.7581,530.1004,,594.9403,566.3952,121.3393,561.4908,543.6885,,106.7145,185.2141,261.2323,,156.497,121.0252,104.8757,,,,137.8939,,,,72.768,75.3216,81.5845,326.6968,4656.4528,24818.0306
2006-01-16,12944.4824,9877.8775,1830.5139,,,25255.9966,,1469.1351,4887.6829,3518.6082,,194.0714,,,,,,,,,,25890.9702,,,60.7157,,,,,,2509.7942,43.2973,,,,,415.0602,,,,229.5617,,114.7195,,,122.4027,,,64.4221,,,,,,,47.6356,,,144.5312,,,,,,,,191898.1355,86941.6407,12944.4824,4762.2299,,,25890.9702,25596.1202,21478.0268,25255.9966,16260.1121,7162.1352,7654.2886,5842.2489,2029.0619,4380.1626,,4179.6135,,1297.3867,2463.1141,,2896.0448,4426.9025,3802.9952,3362.8733,377.7099,1075.29,,347.3479,383.8051,876.6221,730.4214,205.7018,531.1797,,581.1944,556.8399,119.5514,560.0048,543.0093,,106.1455,184.8081,260.1873,,157.8082,121.0816,104.2809,,,,137.9332,,,,73.8552,73.8324,81.4067,312.4504,4645.7523,25255.9966
