Dates,GCNY3M Index,GCNY10YR Index,SHIF3M Index,FXI US EQUITY,VXFXI INDEX
2006-01-03,,,,20.9967,
2006-01-04,,,,21.4967,
2006-01-05,,,,21.5133,
2006-01-06,,,,22.0133,
2006-01-09,,,,22.2633,
2006-01-10,,,,22.0467,
2006-01-11,,,,22.3,
2006-01-12,,,,22.2,
2006-01-13,,,,22.6133,
2006-01-16,,,,,
2006-01-17,,,,22.3267,
2006-01-18,,,,22.3533,
2006-01-19,,,,23.09,
2006-01-20,,,,22.6467,
2006-01-23,,,,22.76,
2006-01-24,,,,23.0167,
2006-01-25,,,,22.87,
2006-01-26,,,,23.0667,
2006-01-27,,,,23.96,
2006-01-30,,,,24,
2006-01-31,,,,23.9167,
2006-02-01,,,,23.8767,
2006-02-02,,,,23.37,
2006-02-03,,,,22.95,
2006-02-06,,,,23.6767,
2006-02-07,,,,23.4233,
2006-02-08,,,,23.48,
2006-02-09,,,,23.25,
2006-02-10,,,,23.3333,
2006-02-13,,,,23.28,
2006-02-14,,,,23.9667,
2006-02-15,,,,23.8833,
2006-02-16,,,,23.9133,
2006-02-17,,,,23.8833,
2006-02-20,,,,,
2006-02-21,,,,24.3067,
2006-02-22,,,,24.8233,
2006-02-23,,,,24.6667,
2006-02-24,,,,24.6167,
2006-02-27,,,,24.5467,
2006-02-28,,,,24.2,
2006-03-01,,,,24.3767,
2006-03-02,,,,24.4367,
2006-03-03,,,,24.52,
2006-03-06,,,,24.3,
2006-03-07,,,,23.6267,
2006-03-08,,,,23.31,
2006-03-09,,,,23.2333,
2006-03-10,,,,23.3667,
2006-03-13,,,,23.5667,
2006-03-14,,,,23.9333,
2006-03-15,,,,24.1233,
2006-03-16,,,,23.99,
2006-03-17,,,,24.0233,
2006-03-20,,,,24.0933,
2006-03-21,,,,24.21,
2006-03-22,,,,24.2467,
2006-03-23,,,,24.4167,
2006-03-24,,,,24.53,
2006-03-27,,,,24.7267,
2006-03-28,,,,24.44,
2006-03-29,,,,24.6,
2006-03-30,,,,24.85,
2006-03-31,,,,24.76,
2006-04-03,,2.826,,25.2567,
2006-04-04,,2.854,,25.5833,
2006-04-05,,2.868,,25.75,
2006-04-06,,2.869,,25.95,
2006-04-07,,2.875,,25.5933,
2006-04-10,,2.861,,25.8867,
2006-04-11,,2.861,,25.4233,
2006-04-12,,2.865,,25.3667,
2006-04-13,,2.861,,25.56,
2006-04-14,,2.86,,,
2006-04-17,,2.88,,25.8833,
2006-04-18,,2.907,,26.8033,
2006-04-19,,2.925,,27.0867,
2006-04-20,,2.928,,27.0933,
2006-04-21,,2.96,,27.2133,
2006-04-24,,2.914,,26.5533,
2006-04-25,,2.979,,25.88,
2006-04-26,,2.964,,26.0967,
2006-04-27,,2.961,,25.5167,
2006-04-28,,2.971,,26.2,
2006-05-01,,,,26.3,
2006-05-02,,,,26.9067,
2006-05-03,,,,26.7267,
2006-05-04,,,,27.1,
2006-05-05,,,,27.3533,
2006-05-08,,2.984,,27.91,
2006-05-09,,2.965,,27.8167,
2006-05-10,,2.995,,27.4667,
2006-05-11,,2.968,,27.04,
2006-05-12,,2.995,,26.8333,
2006-05-15,,2.977,,26.4,
2006-05-16,,2.982,,26.5933,
2006-05-17,,2.987,,25.7567,
2006-05-18,,2.98,,25.53,
2006-05-19,,2.989,,26.05,
2006-05-22,,2.972,,24.3233,
2006-05-23,,2.96,,24.7,
2006-05-24,,2.95,,24.3667,
2006-05-25,,2.958,,25.0833,
2006-05-26,,2.96,,24.9467,
2006-05-29,,2.987,,,
2006-05-30,,2.987,,24,
2006-05-31,,2.982,,24.4233,
2006-06-01,,2.983,,24.6633,
2006-06-02,,2.982,,24.95,
2006-06-05,,2.984,,24.1667,
2006-06-06,,2.981,,24.7,
2006-06-07,,2.982,,24.4667,
2006-06-08,,2.985,,23.7,
2006-06-09,,2.988,,23.36,
2006-06-12,,3.016,,22.8333,
2006-06-13,,3.035,,22,
2006-06-14,,3.025,,22.6333,
2006-06-15,,3.042,,23.6667,
2006-06-16,,3.051,,23.6867,
2006-06-19,,3.106,,23.2167,
2006-06-20,,3.104,,23.2333,
2006-06-21,,3.096,,23.92,
2006-06-22,,3.084,,23.85,
2006-06-23,,3.1,,24.0767,
2006-06-26,,3.124,,24.13,
2006-06-27,,3.124,,24.0367,
2006-06-28,,3.131,,24.6167,
2006-06-29,,3.134,,25.7333,
2006-06-30,,3.14,,25.6,
2006-07-03,,3.148,,26,
2006-07-04,,3.156,,,
2006-07-05,,3.158,,25.3133,
2006-07-06,,3.157,,25.99,
2006-07-07,,3.164,,25.5,
2006-07-10,,3.163,,25.89,
2006-07-11,,3.148,,25.9567,
2006-07-12,,3.162,,25.6333,
2006-07-13,,3.171,,24.8067,
2006-07-14,,3.181,,24.8333,
2006-07-17,,3.169,,24.48,
2006-07-18,,3.177,,24.7,
2006-07-19,,3.193,,25.71,
2006-07-20,,3.186,,25.34,
2006-07-21,,3.154,,25.2333,
2006-07-24,,3.214,,26.0367,
2006-07-25,,3.233,,25.9067,
2006-07-26,,3.245,,25.7333,
2006-07-27,,3.272,,26.1333,
2006-07-28,,3.279,,26.45,
2006-07-31,,3.288,,26.2167,
2006-08-01,,3.27,,25.7,
2006-08-02,,3.273,,26.04,
2006-08-03,,3.262,,26.1167,
2006-08-04,,3.283,,25.9,
2006-08-07,,3.262,,26.08,
2006-08-08,,3.246,,26.1167,
2006-08-09,,3.241,,26.4333,
2006-08-10,,3.232,,26.6633,
2006-08-11,,3.238,,26.66,
2006-08-14,,3.221,,26.75,
2006-08-15,,3.212,,27.2167,
2006-08-16,,3.207,,27.35,
2006-08-17,,3.202,,26.8733,
2006-08-18,,3.203,,26.8,
2006-08-21,,3.219,,26.45,
2006-08-22,,3.225,,26.6333,
2006-08-23,,3.218,,26.2633,
2006-08-24,,3.199,,26.1933,
2006-08-25,,3.197,,26.1267,
2006-08-28,,3.199,,26.1167,
2006-08-29,,3.205,,26.3667,
2006-08-30,,3.21,,26.4933,
2006-08-31,,3.209,,26.41,
2006-09-01,,3.193,,26.67,
2006-09-04,,3.198,,,
2006-09-05,,3.196,,26.88,
2006-09-06,,3.193,,26.3667,
2006-09-07,,3.196,,26.2667,
2006-09-08,,3.19,,26.4,
2006-09-11,,3.189,,25.94,
2006-09-12,,3.182,,26.4133,
2006-09-13,,3.182,,26.71,
2006-09-14,,3.182,,26.4167,
2006-09-15,,3.181,,26.51,
2006-09-18,,3.177,,26.8367,
2006-09-19,,3.177,,26.5,
2006-09-20,,3.164,,27.1333,
2006-09-21,,3.154,,27,
2006-09-22,,3.15,,26.9,
2006-09-25,,3.113,,27.25,
2006-09-26,,3.098,,26.9167,
2006-09-27,,3.105,,27.0833,
2006-09-28,,3.079,,27.19,
2006-09-29,,3.036,,27.1167,
2006-10-02,,,,27.13,
2006-10-03,,,,27.1667,
2006-10-04,,,,27.5733,
2006-10-05,,,,27.6333,
2006-10-06,,,,27.3747,
2006-10-09,,3.036,2.6248,27.1533,
2006-10-10,,3.039,2.6325,27.4167,
2006-10-11,,2.983,2.6338,27.5333,
2006-10-12,,2.998,2.638,28.0667,
2006-10-13,,3,2.642,28.0333,
2006-10-16,,2.995,2.6459,28.1867,
2006-10-17,,2.976,2.6484,27.96,
2006-10-18,,3.003,2.6483,28.2433,
2006-10-19,,2.985,2.6483,28.3033,
2006-10-20,,2.953,2.6482,28.32,
2006-10-23,,2.965,2.648,28.3333,
2006-10-24,,2.951,2.6481,28.4667,
2006-10-25,,2.953,2.648,28.54,
2006-10-26,,2.983,2.6479,28.7333,
2006-10-27,,2.899,2.6479,28.15,
2006-10-30,,2.95,2.6479,28.0833,
2006-10-31,,2.962,2.6479,28.53,
2006-11-01,,2.945,2.6479,28.4867,
2006-11-02,,2.952,2.6479,28.8333,
2006-11-03,,2.959,2.6479,28.9733,
2006-11-06,,2.966,2.6557,29.5567,
2006-11-07,,2.963,2.683,29.3733,
2006-11-08,,2.961,2.7082,29.3333,
2006-11-09,,2.955,2.7236,29.84,
2006-11-10,,2.96,2.7401,29.9,
