Date,FXI US EQUITY,VXFXI INDEX,CN10YR,CN2YR,CN210SLOPE,CRDT_SPD
1/2/2019,38.76,26.51,3.276,2.715,0.561,8.12
1/3/2019,38.09,27.41,3.227,2.699,0.528,8.14
1/4/2019,39.38,25.03,3.234,2.69,0.544,8.12
1/7/2019,39.47,24.83,3.241,2.683,0.558,8.12
1/8/2019,39.65,24.42,3.223,2.613,0.61,8.10
1/9/2019,40.33,23.48,3.218,2.628,0.59,8.14
1/10/2019,40.57,22.44,3.215,2.642,0.573,8.13
1/11/2019,40.39,21.31,3.209,2.639,0.57,8.11
1/14/2019,39.91,22.08,3.225,2.648,0.577,8.06
1/15/2019,40.3,21.25,3.24,2.649,0.591,8.04
1/16/2019,40.84,21.75,3.203,2.612,0.591,8.10
1/17/2019,40.97,21.74,3.18,2.599,0.581,8.08
1/18/2019,41.37,21.02,3.196,2.61,0.586,8.07
1/21/2019,37.92,32.845,3.212,2.622,0.59,8.01
1/22/2019,40.52,22.96,3.211,2.632,0.579,7.98
1/23/2019,40.98,21.67,3.211,2.628,0.583,8.00
1/24/2019,41.41,20.96,3.214,2.63,0.584,8.07
1/25/2019,42.19,21.37,3.23,2.634,0.596,8.09
1/28/2019,41.84,22.21,3.23,2.628,0.602,8.07
1/29/2019,41.84,22.22,3.222,2.63,0.592,8.07
1/30/2019,42.58,21.92,3.21,2.614,0.596,8.10
2/11/2019,42.54,20.69,3.181,2.58,0.601,8.18
2/12/2019,42.62,20.14,3.175,2.568,0.607,8.17
2/13/2019,43.02,20.14,3.175,2.554,0.621,8.20
2/14/2019,42.86,20.32,3.182,2.544,0.638,8.16
2/15/2019,42.63,20.44,3.188,2.538,0.65,8.14
2/18/2019,37.92,32.845,3.214,2.567,0.647,8.12
2/19/2019,43.25,21.2,3.218,2.562,0.656,8.15
2/20/2019,43.5,21.23,3.214,2.557,0.657,8.16
2/21/2019,43.4,20.92,3.229,2.569,0.66,8.15
2/22/2019,44.14,20.8,3.234,2.579,0.655,8.15
2/25/2019,45.02,21.91,3.27,2.593,0.677,8.18
2/26/2019,44.65,22.4,3.294,2.621,0.673,8.19
2/27/2019,43.93,22.59,3.287,2.615,0.672,8.18
3/4/2019,44.42,22.14,3.305,2.647,0.658,8.19
3/5/2019,44.97,21.6,3.308,2.661,0.647,8.21
3/6/2019,44.52,21.94,3.315,2.671,0.644,8.21
3/7/2019,43.53,23.08,3.284,2.646,0.638,8.25
3/8/2019,42.75,23.24,3.267,2.624,0.643,8.23
3/11/2019,43.6,22.12,3.261,2.637,0.624,8.19
3/12/2019,44.11,21.94,3.268,2.649,0.619,8.24
3/13/2019,43.99,21.58,3.268,2.653,0.615,8.24
3/14/2019,43.85,20.43,3.269,2.665,0.604,8.26
3/15/2019,44.46,20.01,3.267,2.652,0.615,8.24
3/18/2019,44.99,19.62,3.26,2.676,0.584,8.31
3/19/2019,45.17,20.14,3.256,2.671,0.585,8.31
3/20/2019,44.9,21.1,3.256,2.67,0.586,8.29
3/21/2019,44.89,20.77,3.255,2.653,0.602,8.30
3/22/2019,43.59,22.15,3.245,2.645,0.6,8.29
3/25/2019,43.5,22.37,3.215,2.628,0.587,8.25
3/26/2019,43.57,20.79,3.202,2.654,0.548,8.31
3/27/2019,43.49,20.81,3.196,2.657,0.539,8.41
3/28/2019,43.83,19.77,3.199,2.644,0.555,8.41
3/29/2019,44.27,20.16,3.207,2.642,0.565,8.37
4/1/2019,44.98,20.39,3.242,2.654,0.588,8.35
4/2/2019,44.74,19.86,3.281,2.658,0.623,8.32
4/3/2019,45.06,20.57,3.308,2.691,0.617,8.35
4/8/2019,45.71,19.02,3.344,2.689,0.655,8.34
4/9/2019,45.61,18.72,3.363,2.732,0.631,8.35
4/10/2019,45.52,18.63,3.396,2.768,0.628,8.31
4/11/2019,44.89,18.93,3.377,2.766,0.611,8.30
4/12/2019,45.44,18.56,3.387,2.778,0.609,8.30
4/15/2019,44.93,18.63,3.44,2.866,0.574,8.34
4/16/2019,45.6,18.34,3.489,2.908,0.581,8.29
4/17/2019,45.66,18.5,3.485,2.905,0.58,8.26
4/18/2019,45.73,17.57,3.472,2.882,0.59,8.31
