date,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,DGB,XEM,ETH,ETC,NEO,ZEC,BAT,MIOTA,EOS,BCH,BNB,ADA,BTG,TRX,XTZ,BSV,MKR,ATOM,LEO,LINK,HT,MIN,INNBCL,STO,TAGZ5,CRO,HEX
20150201,0.223699989321969,0.0309246936413457,0.0499452731616331,0.0482473281162533,0.172874448268521,0.1197734246014,0.0205724701095563,0.0439845450159843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150202,0.221841521972217,0.0238355171470206,0.0526384504028037,0.0465782462662519,0.192384457283408,0.11446885916287,0.0199581685488067,0.0445390401125086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150203,0.233393481553538,0.0244855543523876,0.0495616069764625,0.0266624554684444,0.00544515366111085,0.0528251803499069,0.0149048816471161,0.0701384094252453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150204,0.232649350385589,0.0392628601833021,0.0151763983967832,0.0696913751987582,0.203351608191703,0.0487154132604276,0.0128514625345779,0.0919991496390966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150205,0.317939246451951,0.128381860554315,0.0149308440138569,0.0424261615005599,0.167941846402739,0.0720389010055173,0.0166527748276002,0.0977305532719278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150206,0.315596441128402,0.0287340177025462,0.0135512777014817,0.0591375775944622,0.159302582793271,0.1301484963731,0.046156912637338,0.0986292053468512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150207,0.25493134237249,0.0488678087159476,0.0438858048768572,0.0102817762280061,0.170692505149457,0.0993257353763231,0.051102659329858,0.0963950755829356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150208,0.221377869056504,0.0455365887775676,0.0426116037876464,0.088544354322016,0.176982445681814,0.0503723773382416,0.0510541745442456,0.0454014391934215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150209,0.340957900107318,0.0409367557450526,0.0421822500096955,0.0787839049283984,0.0504052130657332,0.0775558961316924,0.0464585119710424,0.0308624599005544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150210,0.340117936326039,0.0439858952311973,0.00909231426166504,0.0954027777503117,0.0635756176279886,0.106301251754937,0.167685825739211,0.030365647919587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150211,0.373850239465788,0.0664824358613474,0.0398422899580996,0.0111505163573265,0.0290765069392533,0.112293072430353,0.17136873876426,0.046472281151541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150212,0.391205980246233,0.0547349226067939,0.0304324692527904,0.00909394318170292,0.016908065486799,0.0870543495463191,0.157707979716591,0.0452989934400764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150213,0.379851042640662,0.0612876499949732,0.0341661016234978,0.00840245137483334,0.034845978268644,0.124407803615697,0.00755512996593305,0.0515182331151882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150214,0.343862267594241,0.0634253178721828,0.0225536336877414,0.0338550085866986,0.0310560535505831,0.0945187033954782,0.00781864339073551,0.0561030752641362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150215,0.236279569461216,0.126648256594055,0.0390823347265382,0.0814882906643839,0.0595567666216105,0.035930704916423,0.107700601148026,0.151129538185671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150216,0.226953000707353,0.127573753308118,0.0391905326987391,0.00502178871929409,0.0684170987172713,0.100848297234254,0.117298826189199,0.217987665368349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150217,0.265686246577597,0.0364872770518066,0.11823916357717,0.0546766963338714,0.0554332267074417,0.0921053481811843,0.0802222449126762,0.0443531818140506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150218,0.312892323165609,0.129799202549881,0.0763261191080374,0.0511995641307837,0.0501533369216518,0.0908822584054941,0.0806164391846816,0.072320539120945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150219,0.294249847022427,0.0564793761067802,0.117040569306831,0.0216449674937472,0.0628068114042084,0.0314380286532065,0.091672170388835,0.117558185215344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150220,0.306378102632995,0.0617263570569251,0.0538046019173349,0.00328750933693283,0.0720387698455432,0.0493602017454153,0.0894290256921934,0.0269462135429117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150221,0.29507617295722,0.0578841229182256,0.0552606222973566,0.128909438515384,0.0655580225344457,0.019270649081903,0.0911836913172106,0.037590169822375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
