,BTC,ETH,XRP,DOT,LINK,BCH,LTC,BNB,CRO,BSV,ADA,EOS,TRX,XTZ,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.140212148029924,0,0,-8.67361737988404e-19,0,0,0,0,0.0911495612131823,0,0.0972891609617152,0,0.0741962243658278,0,0,0.025838285768832,0,0,0
ETH,0,0,0.20963355593312,0,0,0,0,0,0,0.158468114673786,0.0822708876735609,0,0.0692281025431277,0.144862727322856,0,0,0.0576555333647315,0,0,0.0817675613898189
XRP,0,0.122941062869108,0,0.055437419539303,0,0.34896256227589,0.00301481659632019,0,0,0,0.051230263724571,0,0.0892098417333154,0.0148259382533711,0,0,0,0,0,-0.0134298940441958
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0.61125842553301,0,0.0439686091648434,0,0,0,3.46944695195361e-18,0,0,0.0969002336686955,0,0,0.263251861087413,0.254817152618006,0,0,0,0,0
BCH,0.212114775591853,0.0407452861576999,0.0611115244321833,0,0,0,0.31306142224223,0,0.0701136465099629,0.260814951088604,0.00705282372304257,0.0898784185600448,0,0.00205217502231074,0,0,0,0,0,0
LTC,0,0,0,0,0.0303797457273661,0.0275711494569335,0,0,0,0.12760113555763,0,0.407653860783747,0.0111975854862577,0.0511848454042346,0,0,0,0,0,0
BNB,0,0.298568279615818,0,0,-0.0261002703174986,0,0.115362045289782,0,0,0,0,0.106539286924007,0,0.0627722823838792,0.0585039510952235,0,0.0146226156098956,0,0,0
CRO,0.365587612903293,0,0,0.0176303637784306,0,0,0,0,0,0.190023245547118,0,0,0,0,0,0,0.115808401153102,0,0,0
BSV,0,0.196758959899299,0,0,-0.0226318092172723,0.680560253814089,0,0,0,0,0,0.06786799425047,0.0300428066707681,0,-0.059446481487801,0,0,0,0,0
ADA,-0.0663258980645775,0.16019375900346,0.114623862488719,0,0.186462673043734,0,0,0,0,0,0,0.0830809346854496,0.138278046587762,0.10769593506569,0.177024287043777,0,-0.0822721465400458,0,0,-0.067817314427562
EOS,0,0.136618928590384,0,0,0.0159127160069377,0.538348710846044,0,0,0,0.0752898427445873,0.0283412295081938,0,0.00586135461547272,0.086033673309205,0.207455900724639,0,0,0,0,0
TRX,0,0.0841089888055628,0,0,0.00305209757691832,0,0.437189730367555,0,-0.180431734522211,0.114872427301165,0,0.0972582085441775,0,0.199231701478898,0.108178840961367,0,0,0,0,0
XTZ,0,0.205157969137497,0,0,0.308369279709261,0,0,0,0,0,0.0298065406666651,0,0,0,0.248860608208174,0,0,0,0,0.0418349992497953
XLM,0,0,0,0,1.73472347597681e-18,0,0,0.0440188994471758,0,0,0.329837045791183,0.109360055645325,0.0347859332711768,0.146998201710187,0,0,0,0,0,0.0587907440188267
BV010082.INDEX,0,0,0,0.0257541824154154,-0.0274513739694004,0,0,0,0,0,0.0039093093777337,-0.0117896944209684,0,0,-0.0115013243796981,0,-0.0234380631199439,0,0,0.0347470860549937
CVIX.INDEX,0.124856318842243,0.376803184840375,0.0617468230416639,0.0608658649881479,-0.0540568942346791,-0.727649894800293,0,0,0.678363892406601,0,-0.110894629021088,0,0.122649740382891,0,0.050525491390994,0,0,0,0,-0.128193948888066
DXY.INDEX,0.00440104973235122,0,0,0.0183714948456486,-0.00629510492402588,-0.0561826560463573,0.038765815866829,0,0,0,-0.00568254541331232,0.0223517706818628,0,0.0108336586410329,0,0.148442264130936,0.0149674833261701,0,0,0.0122467898173244
SPX.INDEX,0,0,-0.0164208633870133,0.00892743194872759,0.00261707330627774,0,-0.0269972648949601,-0.00745853186338503,-0.040182738100781,0.0254280695977992,-0.0119287345917293,0,0,0.0192304535116905,0,0,-0.00192900738852255,0,0,-0.101911822835663
VIX.INDEX,0,0.0847295934433042,0,0.0647080118514733,0,0.0646815476376933,0,0.279648576055309,0,0,-0.155082102406735,0,-0.0844794505794169,0,-0.0253644821955488,0,-0.0512744735820218,0,-3.95442188519308,0
