,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,ADA,LINK,XLM,CRO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00108368773091333,0.243300028108921,0,0,0.103816559679591,0,0,0.174307739788222,0,0,0,0,0.144780863042779,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,-0.0000000000000000277555756156289,0,0,0,-2.64158646030794,0,0,0,0,0,0,2.03022702095924
ETH,0.0604134310131383,0.0054036875476668,0,0,0.197699362094472,0.000314072717382347,0.017024553109355,0,0.243918364981907,0.133902100196603,0.106779055020183,0,0,0.0433156917231683,0,0,0,0,0,0
XRP,0,-0.00311446950319477,0.119466599478142,0,0,0,0,0,0.0276230903389072,0.158800453450883,0.0979738173004812,0.162821357907176,0,0.0312326517707074,0,0,0,0,0,0
BCH,0,-0.000230042969238341,0.338918541166961,0,0,0.336385787790279,0.0149060098848232,0,0,0,0.0602014296443223,0,0,0,0,0,0,0,0,0
BSV,0.240186858763156,-0.00780523947155628,0.159385169124134,0,0.463626863871401,0,0,0,0.00000000000000000346944695195361,0.0462501024719942,0.033287271902583,0,0,0.00697907495100295,0,0,0.0525659516261029,0,0,0
TAGZ5,0,0,0.0532203416563997,0,0.568839615576366,0,0,0,0,0,0,0,0,0.0748221762465728,0,0,-0.0973067931864616,0,-0.0341305272221198,0
LTC,0,-0.000344776869008669,0.0956485189665183,0,0.0646059852456989,0.131454178787663,0,0,0.0605988241263922,0.328831216955698,0.0733314504776464,0.0464380999158287,0,0,0,0,0,0,0,0
BNB,0,-0.00564132843593686,0.433155683278644,0,0,0.144330390372693,0,0,0,0,-0.00000000000000000346944695195361,0.206908360440621,0.0115829936193117,0,0,0,0,0,0,0
EOS,0,0,0.285608225550497,0,-0.000000000000000000867361737988404,0.16364416776171,0.0028067828097893,0,0,0,0.0128255272974367,0.0202086034844683,0,0.247229852974152,0,0,0,0,0,0
XTZ,0,-0.00298591743868748,0.23046970717511,0,0,0.122345052350747,0,0,0.189700729567313,0,0,0,0.320723203749549,0.196135644791041,0,0,0,0,0,0.0245142490506735
ADA,0,0,0,0,0,0,0,0,0.131788691101201,0.117809715797163,0.344386932056273,0,0,0.142205628619433,0.0142627461262304,0,0,0,0,0
LINK,0,-0.0107160108926869,0,0,0.101753875182639,0,-0.0216187772999712,0,0.06890601083626,0,0.411807572735347,0,0,0.0445680391880381,0,0,0,0,0,0.00200813407014704
XLM,0,0,0,0,0,0.0734432160465156,0,0,0,0.252157749791785,0.0525347694903816,0.246736191106628,0.0620758625729418,0,0.0805065954207117,0,0,0,0,0
CRO,0,0.0061450263538214,0,0,0,0,0,0,0,0,0.286304605966703,0.160985617938868,0,0.15080528067187,0,0,0,0,0,-0.0391999134687663
BV010082.INDEX,0.268244451089658,-0.00499993182036134,0,-0.68906542995268,0,0,0,0,0,-0.120592098315719,0.25111758904236,0,0,0.0604045460243343,0,0,0.0727939414132285,0,0.358474898435408,0.120595919179116
CVIX.INDEX,-0.0601777549460904,0.00650438893060671,0,-0.290094374485235,0,-0.110889892708595,-0.0948446871312283,0,-0.269279682578735,0,0.518967294688284,0.0185263329406709,-0.341927168117082,0,0.427013325723759,1.01138236617404,0,0,-0.638097438257159,-0.110713993329391
DXY.INDEX,0.0379021666911461,-0.000319628871166539,0,-0.146586106270347,0,-0.0216511034945459,0.00421008953289136,0,0,0,0.0477717861203463,0,0,0.0334525371127293,0.0214305115152268,-0.00000000000000000173472347597681,-0.00235930625148327,0,0,0
SPX.INDEX,-0.171097566940603,0.00929859683436772,0,0,-0.188669606326362,0,-0.0101199334077589,0.0469938025140975,-0.103339534767759,0,0,0.0952294211234975,0,0.0724789511822558,0.234714920394212,0.458192590626922,-0.131238936565626,0,0,-0.198660155397045
VIX.INDEX,0.210120033747972,0.0192681144039815,0,0,0,0,0,0.197313346121074,0,0,0,0,-0.488570246050109,0.110810357810857,0,0.823947888961851,-0.0319761357813558,0,-1.5362357806113,0
