,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,CRO,ADA,XTZ,LINK,XLM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.216494147213012,0,0,0,0,0.410459913556244,0,0,0,0,0,0,0,0.153792933021334,0,0,0,0,0.0194540076504026
ETH,0.144501207430795,0,0,0.144254755228516,0.111370998368995,0.104493098256129,0.210003407296591,0.0301111974829246,0,0,0.0439870992464167,0,0.0542395037618068,0,0.15819274491986,0,0,0,0,0
XRP,0,0.000000000000000000433680868994202,0,0,0,0.294727796361658,0,0.331597793251141,0,0.0235016713344802,0,0,0.063149657299719,0,0,0,0,0,0,0.0210830771098443
BCH,0,0.211376196421417,0,0,0.410439710477295,0.017026282599389,0,0.349745339433402,0,-0.000000000000000000216840434497101,0,0,0,-0.026014511356719,0,0,0,0,0,0
BSV,0.199675460285766,0.272550679286127,0,0.374022767595109,0,0.0842053828270019,0,0.135522468294763,-0.0762541249057932,-0.0935580244536736,0,0,0,0,0,0,0,0,0,-0.0229763090546782
LTC,0.0651139145005881,0.421662639906258,0.109766981874255,0.0833383608325566,0.0162328307176415,0,0,0.163751829055507,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0.148067564634744,0.311753943403825,0,0.0228076768741595,0.100025709640876,0.0879961799450421,0,0,0,0,0.0599193831233682,0,0.0620621012666911,0,0,0,0,0,0,0.0170980326145555
EOS,0,0,0,0.0791708555917113,0,0.438008911384381,0,0,0,0.138581939590965,0,0.0132471354440281,0,0,0.182202322409698,0,0,0,0,0
CRO,0,0,0.36246897694424,0,0,0,0,0,0,-0.0162969472589434,0.497634889824553,0,0,0,0,0,0,0,0,0
ADA,0,0.691607893391032,0,0,0,0,0,0,0.0051769389855896,0,0.117143910961349,0,0.309027734948418,0,0,0,0,0,0,0
XTZ,0.111602931910051,0,0,0.0819443934147806,0,0,0,-0.00000000000000000346944695195361,0.135126445591022,0,0,0.484686300581189,0.176456920818288,0,0,0,-0.0942224800500178,0,0,0
LINK,0.045154177079281,0,0,0.123179922162492,0,0,0,0.186012899099003,0,0.0239022165494381,0.628224843804258,0,0,0,0,0,0,0,0,0.0256981354649475
XLM,0,0,0,0.305054619490737,0,0.095567480586073,0,0,-0.0000000000000000000067762635780344,0.282371148586404,0.143584116198747,0,0,0,0,0,0,0,0,0
LEO,-0.31796869352775,0.0775096213543678,-0.0878823447598303,-0.125843922052093,0,0.238587277689513,0.207083384333909,0,0,0.013740781911437,0.0108889314495794,0,0.0322365143677577,0,0,0.292573333483236,-0.165910362228742,0,0,0
XMR,0.0250004956902851,0.181317937373891,0,0,0,0.34018901896141,0,0.0569570650654957,0.0159481985540122,0,0.163654395502959,0,0.0474894756800737,0,0,0,0,0,0,0.0340305406048574
BV010082.INDEX,-0.10407342078882,0,0,0,0,0,0.0615455615739956,-0.136949993514499,0,0,0,0.0640256597403217,-0.0393483667638694,0,0.17343618149207,0,-0.0211346495176155,0,0.298526710596755,0.0386615764593802
CVIX.INDEX,0,0,-0.457072020503018,0,-0.557281103057442,0,0,0.3650939664199,0.431738834503313,-0.266136578179999,0,0,0.132234018139914,0,0.347041000062668,0,0,0,-0.147095671460588,-0.195245078890032
DXY.INDEX,0,0,0.0381125598432073,0,-0.0201502938950807,0,-0.0370735737599102,-0.0485201652881223,0.050432017059967,0.017176082650096,0,0,0,0,0,0,0.0206796745199665,0,-0.12283077279724,-0.00585806587551869
SPX.INDEX,0,0,0,0,-0.0308098616493332,0,0,0,0,0.0437195630881705,0,-0.0136386655844185,0,0,0,0,-0.066896369513842,0,0,-0.183666666743254
VIX.INDEX,0.0534964084738206,0,0,0,-0.272778089392986,0,0,0.313213427234706,0,0.163868252595187,0,-0.184065357476377,0.0291048071469364,0,0,0,-0.302658820954437,0,-4.02082879073109,0
