,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,ADA,XLM,LINK,CRO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00122215007463992,0.253129604598696,0,0,0.109879282385345,0,0,0.156066970231603,0,0,0,0.121837428106678,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,-1.54779046549387,0.649491676956186,0,0,0,5.21893104291413,0,0.203095079137641,-5.15986131671236,-4.60392017407315,0,0,0,5.78510145137511,2.18379661810412
ETH,0,0,0,0,0.128059714171907,0.0310221241209449,0.023949961703709,0,0.241002658138663,0.143126951736543,0.123265936811168,0,0.0639371206673465,0,0,0,0,0,0,0
XRP,0,-0.00323387723679527,0.172818009013492,0,0,0,0,0,0.0429414424649319,0.268249021048899,0.00672871892121509,0.174150087427637,0.0532941843218669,0,0,0,0,0,0,0
BCH,0,-0.00698577451694095,0.465944083612367,0,0,0.164011573017677,0.0186244200433467,0,0,0.116488878513335,0.0228186645600496,0,0,0,0,0,0,0,0,0
BSV,0.232636840704678,-0.00477990098435068,0.129823504103171,0,0.439375316554187,0,0,0,0,0.13757497438707,0,0,0,0,0,0,0,0,0,0
TAGZ5,0,0.00155418203261102,0,0,0.564098720728573,0,0,0,0,0,0.145398302416297,0.0181766328069581,0,0,0,0,0,0,-0.123786379962568,0
LTC,0,-0.00150880491446355,0.0578069737144882,0,0.0617186942888672,0.159108064192561,0,0,0,0.20125297168962,0.117243882641951,0.142119024106509,0.00000000000000000346944695195361,0,0,0,0,0,0,0
BNB,0.115193996255128,-0.00489694266492361,0.323623791999173,0,0,0.0910338670506334,0,0,0,0,0,0.238777768218236,0,0.0823096989309274,0,0,0,0,0,0
EOS,0,0,0.423818800973044,0.0501325451829309,0,0.0915561352202791,0.000000000000000000433680868994202,0,0,0,0.00279946525036644,0.0848146070348664,0.172836157488015,0,0,0,0,0,0,0
XTZ,0,-0.00298578757515727,0.230484362046039,0,0.0000000000000000138777878078145,0.122343381875203,0,0,0.189699342161132,0,0,0,0.196124176559824,0.320725164569899,0,0,0,0,0,0.0245142395507066
ADA,0,-0.00464950069411784,0,0,0,0,0.0162441080235291,0,0.157264795192244,0.0957078530113253,0.303807544493222,0,0.110047207072153,0.0107205070665385,0.0311802182053101,0,0,0,0,0
XLM,0,0.000132974627339536,0,0.277355808067484,0,0.0988577239065988,0,0,0.0205297604161952,0.106434415984022,0.0832260440993482,0.163874886298527,0,0,0.0877429425836762,0,0,0,0,0
LINK,0,-0.0114096763239446,0,0,0,0.0814190349562175,-0.0192325411970903,0,0.0246539770218259,0,0.425514151649958,0,0.0470352276552714,0,0,0,0,0,0,0
CRO,0,0,0,0,0,0,0.055695309055919,0,0,0,0.296447683101769,0.0769518027196927,0.207434924246669,0,0,0,0,0,0,-0.0396665324588749
BV010082.INDEX,0.139734615250191,-0.00995935297870303,0.324705562389097,-0.534096360979343,0,-0.359874921831461,0,0,0,0,0.0225685639737559,0,0.19777419274592,0,0,0,-0.0129701745785511,0,0.11675864136665,0.067239305895214
CVIX.INDEX,0,0.00330063547473574,0,-0.445888585646103,0,-0.143041151476023,-0.0709277502182139,0,0,0,0.0399639004235601,0.270703074055541,0,0,0.3592692136306,1.11973008715766,0,0,-0.664507318127193,-0.121972335521623
DXY.INDEX,0.0784831375507067,-0.000458057281489634,0,-0.126665234616824,0,-0.0272314270408806,0.0051825077735094,-0.047023153421987,0,0,0.0750782613495794,-0.0232105776085207,0.0470000251914111,0,0,0,0,0,-0.0212355289002868,0
SPX.INDEX,0,0.00850082175424102,0,0,-0.232443444552992,0,-0.0143473906891606,0,0,0,0,0.0378253630031375,0.0336998544821883,0,0.141129719615923,0.402608778387261,-0.0843944586435794,0,0,-0.16875792758643
VIX.INDEX,0.0955747883813705,0.0143739648258016,0,0,0,0,0.00286428830458356,0.194921555553344,0,0,0,0,0.123590137777968,-0.617974624861616,0,0.695386462610774,0,0,-1.3252560003575,0
