,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,XLM,LINK,ADA,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.000000000000000000216840434497101,0.260408513155202,0,0,0.0660317907553691,0,0,0.237331976571476,0,0.115877921978288,0,0,0,0,0,0,0,0,0
INNBCL,0,0,15.6218893908642,2.92302113918321,0,-1.65534235956398,1.58758450706711,0,0,-22.4262357704288,-7.38226838407287,7.59711320660831,0,6.40836338016731,0,19.6022354563459,5.52625324352086,0,13.0217151987254,4.19617669023383
ETH,0,0.00249339178772362,0,0,0.087036308867466,0,0.00735470067902854,0,0.274019938347922,0.265503268250086,0.274514271396801,0,0.0597157160863062,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.068173579414268,0.303057757875644,0,0,0.0763742642237763,0.28567249471291,0,0,0,0,0,0
BCH,0,0,0.177676046228608,0,0,0.251928284698529,0.0142565466754214,0,0.103706496820807,0.19671339518786,0.178506500766648,0,0,0.0666864763313773,0,0,0,0,0,0
BSV,0.284288796531923,-0.00979549344278172,0.21783641673439,0,0.283895414494845,0,0,0,0.0532887206711856,0,0.156105182251082,0,0,0,0,0,0,0,0,-0.0278331547073437
TAGZ5,0,0,0,0,0.590735418242332,0.0780104894695751,0,0,-0.199396628871785,0,0.194954923697048,0.0247157311986814,0,0,0,0,0,0,-0.183519087983357,0
LTC,0,0.000598328525852902,-0.00000000000000000346944695195361,0,0.065982580785413,0.0982791652271946,0,0,0.139464444342367,0.17835156122921,0.172976403626727,0,0.00986376503513713,0.129540703893441,0,0,0,0,0,0
BNB,0,-0.00674832220533835,0.504493522352506,0,0.0112159119803952,0.0864840889978632,0,0,0,0,0.0988130149807691,0,0.0923273036012906,0,0,0,0,0,0,0
EOS,0,-0.0000337618762993458,0.29586279317997,0,0.209707864437904,0.104730020805479,0.000000000000000000867361737988404,0,0.0203988588715946,0,0.0409128858993934,0.156373960105452,0,0.0880673466773264,0,0,0,0,0,0
XTZ,0,0,0.537883347297345,0,0,0.0809326525802001,0,0,0,0,0,0,0.38941116780319,0,0,0,0,0,0,0
XLM,0,-0.000300196904940717,0.233643575504,0.274260581750559,0.268626156001366,0.0382920755580255,0,0,0,0,0.0270806873605165,0,0,0.000000000000000000867361737988404,0,0,0.00742633904115719,0,0,0
LINK,0,0,0.127750038114773,0,0,0.190419017085881,0,0,0.140019576074069,0,0.470904079801944,0,0,0.0944603596092505,0,0,0,0,0,0
ADA,0,-0.0026021349728166,0.347282618829123,0,0,0,0,0,0.140696512285272,0,0.295814096544846,0,0.0652814531849691,0,0,0,0,0,0,0
LEO,0,0.00238930533461887,0.089613360544236,0,-0.0554787445778187,0,-0.0244597486172809,0,0,0,0,0,0.0216726549205831,0,0,0,-0.105122121594858,0,-0.0195154920953285,0
BV010082.INDEX,0.2167902364865,0.00351599812296679,0,0,0,-0.207578567825765,0,0,0,0,0,0,0,0,0,0,-0.147559342608299,0,0.138994538313924,-0.0542489724657613
CVIX.INDEX,0.0998321017116385,0.0105983359316761,0,-1.00833706095161,0,-0.319126647806844,-0.122232552946958,0,0,-0.0732363403337343,0.869209382499519,0,0,0,0,0,0,0,-1.06825717851726,0.12359502305711
DXY.INDEX,0.0202152610606738,-0.0000736998484440061,0,0.000000000000000000216840434497101,0,0,0.00261824878839202,0,0.0162397561732908,0,0,0.000659187169199553,-0.0205613174373445,0,0,0.071162262170298,0.0123808568012882,0,0,-0.01295410640537
SPX.INDEX,0,0.00656151965009756,0,0,0,-0.136808416975224,0,0,0,0,0,0,0.11562897797217,0,0,0.266412993429837,0,0,0,-0.246196507424593
VIX.INDEX,0.35129422910335,0.0489264145589593,0,0,0.13943211934745,0.411551088647332,0.0506699836516497,0.274340079944585,-0.721324557300858,0,-0.967050569321497,0.66325730562695,0,0.087677950197151,0.0702840863457518,0.735180991354519,0.45665367887343,-1.65371712771543,-2.26292624619399,0
