,BTC,ETH,XRP,BCH,DOT,BNB,LINK,CRO,LTC,BSV,ADA,EOS,TRX,XTZ,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.158823203169223,0,0,-3.46944695195361e-18,0,0.101022604835764,0.0747604032423279,0,-4.33680868994202e-19,0,0.0724184179364793,0.039564183743504,0,0,0,0,0
ETH,0,0,0.372277097623304,0,0,0,0.0773448646884073,0.205167544694173,0.00446751147809462,0,0,0,0.0404669259871503,0.0844727812044075,0.12084357769898,0,0.00256934734264028,0,0,0.00933379656403784
XRP,0,0.130672049716416,0,0.352959383735799,0.0574156394881682,0,0,0,0.0222207407066731,0,0.0391814669601004,-6.93889390390723e-18,0.0467231921917815,0.0250025256387249,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.407425011721989,0.495608166055541,0,0,0,0.0341606736982599,0.00526405865288665,0,0,0,0,0
DOT,0,0.389692602737122,0,0,0,0,0.181398429230274,0,0,-0.354104647018055,0.0992783433325598,-0.070780528562971,0.250774813073446,0,0.150364248224049,0,0,0,0,-0.0310060325301841
BNB,0,0.373405242812199,0,0,0.00388464541864386,0,0.129166322676734,0,0.259005017403874,0,0,0,-0.0769706630796903,0.0606691356630912,0,0,0,0,0,0
LINK,0,0.888286793285444,0,0,0.0086983878541273,0.321031156853641,0,0,-0.229182387919324,0,0.160592619552198,0,-0.0310567024362086,0.252375767088818,-0.103868521234019,0,0,0,0,-0.211087590996862
CRO,0.421225290408621,0,0,-1.38777878078145e-17,0.0065882281538869,0.0788501355518727,0,0,0.183074064012168,0.0098270712741212,0,0,-0.0207834930382895,0,0.0184261488239024,0,0.12413644347045,0,0,0
LTC,0,0.108820739923972,0,0.275193330762217,0,0,0.0685677263645978,0,0,0.0905804623292351,0.00797473518163609,0.112644044079466,0,0,0.0535570284406685,0,0,0,0,0
BSV,0,0.0428148171198725,0,0.678123038613708,0,0.0514211163950346,0,0,6.93889390390723e-18,0,0,0.0870169526907063,0,0,0,0,0.0203566209819802,0,0,0
ADA,0,0.326742073118151,0,0,0,0.247252222421586,0.0565535395130284,0,-8.67361737988404e-19,0,0,0.151461254433537,0,0.111511500750405,1.38777878078145e-17,0,-0.0644079011885687,0,0,-0.0238154701943953
EOS,0,0.113556898796289,0,0.562282126496428,-0.0426267563979543,0,-0.014581000343428,0.133721101660452,0,0,0,0,0.0180327828109336,0.256193628406105,0,0,0,0,0,0
TRX,0,0.600301964090911,0,0,0.0206608983972673,0,0.215790415866803,0,0,0,0,0,0,0,0,0,-0.17938594116668,0,0,-0.0890050553962969
XTZ,0,0,0,0.0775083966527002,0,0.0684239136305229,0.271607695008144,0,0,0,0.145168735293289,8.67361737988404e-19,0,0,0.248510901699829,0,0,0,0,0
NEO,0,0.24169932702305,0,0,0.0577124289289172,0,0.111012048325968,0,0,0,0.162496077535895,0.293224161235409,0.0298225335962034,0,0,0,0,0,0,0
BV010082.INDEX,0.023196059972119,0,0,0,0.022783177977234,0.00146891506410207,-0.012547217688302,0,0.0196597431732267,0,0,-0.0315625679212879,-0.00115763344080426,0,-0.0337774183266885,0,-0.0217176481853525,0,0,0.0172111241703585
CVIX.INDEX,0,0,0.0849995300112348,-0.186260908641549,0.0280779382087909,0.0253730317340939,0,0.408717349422284,0,0,-0.0712745112283442,0,0.0850810367004352,0.032670047515655,0,0,0,0,0,0
DXY.INDEX,0,0,0,-0.0636135373289393,0.00971771061654275,0,-0.0122908439987509,0.0248111298825636,0.0221095990447917,0,0,0.021007354720932,0.00461506855441204,0.0247228365318037,-0.0290283879683308,0,0.00834973979934519,0,0,0
SPX.INDEX,0,0,0,0,0.0161257598237834,-0.0187994731599878,0.0138457366698492,-0.109389116257268,0,0,0,0,0.0626601050281937,0.0338883510407253,-0.0384071072819073,0,0,0,0,-0.0759991739054358
VIX.INDEX,0,0,0,0,0.109506128279872,0,0.00254417199504667,0.0273226068877498,-0.0670940299027995,0,0,0,0.336500899124865,0.128632575497964,-0.261901805070934,0,0,0,-1.15193555824533,0
