,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,TAGZ5,BNB,EOS,XTZ,LINK,XLM,ADA,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.000000000000000000216840434497101,0.246364631662492,0,0.0897425698824384,0.107247485989358,0,0,0.309630996495939,0,0,0,0,0,0,0,0,0,0,0
INNBCL,0,0,23.7010913131979,9.35066858989584,0,-4.91991872680162,0,1.64091334345793,0,-32.741428223949,-7.57705359799261,0,7.46228042673643,6.41468615982778,0,19.847799048117,4.83783933929562,0,9.83576904343443,2.51870530796098
ETH,0,0.00276556950866128,0,0,0.0737099975213894,0.00100443650120576,0,0.00911433081331956,0.274604591052674,0.214566280199238,0.314677699711111,0.0496368328411223,0,0,0,0,0,0,0,0
XRP,0,-0.00445196811104638,0,0,0,0,0,0,0.0909712581632706,0.347099183746713,0,0.0493756512891204,0,0.270645914850001,0,0,0,0,0,0.0406579509277557
BCH,0,0,0.177676046228609,0,0,0.251928284698529,0,0.0142565466754213,0.103706496820807,0.19671339518786,0.178506500766647,0,0,0.0666864763313777,0,0,0,0,0,0
BSV,0.284288796531923,-0.0097954934427817,0.217836416734391,0,0.283895414494844,0,0,0,0.0532887206711849,0,0.156105182251082,0,0,0,0,0,0,0,0,-0.0278331547073437
LTC,0,0.000587423264738071,0.00570903286798954,0,0.0714942646565926,0.0986434317170933,0,0,0.142747761769877,0.171311042235892,0.172511086170713,0.0100622900693153,0,0.1203608037427,0,0,0,0,0,0
TAGZ5,0,0,0,0,0.226257785444451,0,0,0,0,0,0.191890430674624,0,0,0,0,0,0,0,0,0
BNB,0,-0.00700417213558731,0.453135986670795,0,0.0198882256655535,0.0957294905091436,0,0,0,0,0.0918414638913409,0.0890155085414081,0,0.0454667966445251,0,0,0,0,0,0
EOS,0,-0.00281651752419079,0.338289015680431,0,0.144741445329789,0.134638514285494,0.0576096666548962,0.00432112044917748,0,0,0,0.0124499781969435,0.173344746468492,0.0730917416182007,0,0,0,0,0,0
XTZ,0,0,0.407587584069207,0,0,0.0281274483952004,0,0,0.255830242196698,0,0,0.325190130699363,0,0,0,0,0,0,0,0
LINK,0,-0.000343877129093548,0,0,0,0.199923396201151,0,0,0.193671225531997,0,0.560874641266937,0,0,0.0557455970826429,0,0,0,0,0,0
XLM,0,0.0000870174571005656,0.195712474198773,0.320399084463611,0.252355444584751,0.0602209070198532,0,0,0,0,0.0232291396852205,0,0,0,0,0,0.0194692528870922,0,0,0
ADA,0,0,0.00165948248860048,0,0,0,0,0,0.350653312934417,0,0.480046590194737,0,0,0,0,0,0,0,0,0
LEO,0,0.0035827091357626,0.0996304094383715,0,-0.138843574966468,0,0,-0.018091187415531,0,0,0,0.0337860860385579,0.0160027067654304,0,0,0,-0.0968564487414783,0,-0.0510458492491856,-0.0182864684507519
BV010082.INDEX,0,0.00409453773356343,0.146008926961504,-0.145230100150034,0,-0.253502228976516,0,0,-0.0541756799276803,0,0,0,0.223712231076437,0,0,0,-0.126085136232465,0,0.179992057311805,-0.0306977149281747
CVIX.INDEX,-0.0000000000000000277555756156289,0.0101712412383568,0,-0.988743125557462,0,-0.32265063862148,0,-0.124615152343029,0,0,0.875834093400165,0,0,0,0,0.0138757842030832,0,0,-1.07790808822552,0.120664452978406
DXY.INDEX,0.00296246939235226,0,0,-0.00529752479832333,0,0,0,0.00157430135413561,0.0183019826896683,0,0.00948658606152044,-0.0258401951857776,0.00863863741405651,0,0,0.069596826205861,0.0146336557088714,0,0,-0.0161825045229803
SPX.INDEX,0,0.00656141368063328,0,0,0,-0.136808664444064,0,0,0,0,0,0.115628508647087,0,0,0,0.266413039631173,0,0,0,-0.246195585589286
VIX.INDEX,0.262222693486299,0.0467477311028687,0,0,0.141553567711559,0.439717699716695,0.274454572506607,0.053718814225472,-0.70002507080359,0,-0.943427418242096,0,0.759352422045357,0,0,0.726856279360611,0.449162024395891,-1.48113385666168,-2.24071836316475,0
