,BTC,ETH,XRP,BCH,DOT,BNB,LINK,CRO,LTC,BSV,ADA,EOS,TRX,NEO,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.158823203169222,0,0,3.46944695195361e-18,0,0.101022604835764,0.0747604032423284,0,0,0,0.0395641837435041,0.0724184179364792,0,0,0,0,0
ETH,0,0,0.401719434069004,0,0,0,0.0842521865149209,0.122582647928796,0.0244184314340735,0,0,0,0.0188444774276711,0.130028987852522,0.0557191130560859,0,0.0224525546511738,0,0,0
XRP,0,0.125959591994658,0,0.297446193172478,0.0585407321920893,0,0,0,0.0541662975784359,0,0.0648167147051862,0,0.0335161806246364,0,0.0175987411629393,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.407425011721989,0.495608166055541,0,0,0,0.00526405865288667,0.0341606736982599,0,0,0,0,0
DOT,0,0.389687809633948,0,0,0,0,0.181402564578273,0,0,-0.354272050910562,0.0992896104800203,-0.0706800567664176,0.250777891937042,0.150320967408354,0,0,0,0,0,-0.0309919995384639
BNB,0,0.373405242812199,0,0,0.00388464541864386,0,0.129166322676734,0,0.259005017403874,0,0,0,-0.0769706630796903,0,0.0606691356630912,0,0,0,0,0
LINK,0,0.885252109124518,0,0,0.00581297249379299,0.298555990904226,0,0,-0.234596531382582,0,0.142790080572703,0,-0.0286206888240108,-0.107047669504249,0.271086779731092,0,0.0784249028187186,0,0,-0.212793649043832
CRO,0.117105556934215,0.0166483518156402,0,0,0.0171680137799173,0.184907826814237,-0.0526309555948124,0,0.302932315167015,0.0375460230800659,-0.125938661606334,0,-0.0254635833255907,0.0964241644630592,0,0,0.142417436623715,0,0,0
LTC,0,0.109728175573843,0,0.306295401158922,0,0,0.0709298938913076,0,0,0.135811001899958,0.0175309991258897,0.0465405610530519,0,0.0515289975971638,0,0,0,0,0,0
BSV,0,0.0440067112174882,0,0.692670721598961,0,0.0108048543110671,0,0,0.073331337754035,0,0,0,0,0.0258016098837536,0,0,0,0,0,0
ADA,0,0.283217152808624,0,0,0,0.256588564077502,0.0336012850440322,0,0.140560244876308,0,0,0,0,1.38777878078145e-17,0.150059367806373,0,-0.0587434711679652,0,0,0
EOS,0,0.113562033199223,0,0.562284576256922,-0.0426309814504983,0,-0.0145797366058299,0.133715368497329,0,0,0,0,0.0180328433016785,0,0.256189468974813,0,0,0,0,0
TRX,0,0.600301964090911,0,0,0.0206608983972672,0,0.215790415866803,0,0,0,0,0,0,0,0,0,-0.17938594116668,0,0,-0.0890050553962965
NEO,0,0.24169932702305,0,0,0.0577124289289173,0,0.111012048325968,0,0,0,0.162496077535895,0.293224161235409,0.0298225335962035,0,0,0,0,0,0,0
XTZ,0,0,0,0.0775083966527004,0,0.0684239136305227,0.271607695008144,0,0,0,0.145168735293289,8.67361737988404e-19,0,0.248510901699828,0,0,0,0,0,0
BV010082.INDEX,0.0231960599721189,0,0,0,0.022783177977234,0.00146891506410206,-0.012547217688302,0,0.0196597431732268,0,0,-0.0315625679212878,-0.00115763344080427,-0.0337774183266885,0,0,-0.0217176481853525,0,0,0.0172111241703585
CVIX.INDEX,0,0,0,0,0,0,0,0,0.0556631961838764,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0.00322549546670646,0,0,-0.0478338284944435,0.0130408296534602,0,-0.00959237769268161,0.015499074621932,0,0,-0.00688278461300475,0.0255286041866301,0.00345025375038865,-0.0223280617284935,0.0127183267601026,0,0.0076775521294154,0,0,0
SPX.INDEX,0,0,0,0,0.0161257391787347,-0.0187990820816294,0.0138459873178222,-0.109388178494229,0,0,0,0,0.0626601009760429,-0.0384071370007952,0.0338874285218759,0,0,0,0,-0.0759991995364373
VIX.INDEX,0,0,0,-1.73472347597681e-18,0.10269453116855,0,-0.0402744051372839,0,-0.0340339977305569,-0.198527557294254,0,-0.0139870213480267,0.248509302886328,-0.243890796563878,0.243579602163372,0,0,0,-1.83447393255326,0
