,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,TAGZ5,EOS,XTZ,XLM,LINK,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.253368198810294,0,0,0.0634847720685903,0,0.245203800496923,0,0,0.119180622567217,0,0,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,-4.74858132621847,0,0,3.83464604475904,0,0,2.60940844235577,-0.0000000000000000277555756156289,9.91611358469813,-10.1253946788462,12.4309515280243,2.19959410022923,0,8.74930775984169,1.84096726836009
ETH,0,0.000509706250730827,0,0,0.148634624409035,0.0761330862663153,0,0.258513826827995,0,0.10413123351399,0.301478370342083,0,0,0,0.0532559318637277,0,0,0,0,0
XRP,0,-0.00457113170911137,0,0,0,0,0.186668826590956,0.120691544975418,0,0.246505874538483,0,0,0.00840473214677496,0.226903290195637,0,0,0,0,0,0.04132946341319
BCH,0,0,0.547428089518797,0,0,0.310981813150316,0,0,0.0117743256949376,0,0,0,0,0,0,0,0,0,0,0
BSV,0.277455216770291,-0.00969151938413328,0.218246289890847,0,0.287580366287598,0,0,0.0513892738983128,0,0,0.157196588344728,0,0,0,0.00216743581367402,0,0,0,0,-0.0286049554757368
LTC,0,0.000943850802415482,0.0170605436234387,0,0.104335810936712,0.0943470522387089,0,0.169453733341586,0,0.129086744593375,0.191747649931451,0,0.00959215463808472,0.064631505715824,0,0,0,0,0,0
BNB,0,-0.00625269648538909,0.372861827170844,0,0.31503396724137,0.0928402048457084,0,0,0,0,0.0899560250014007,0,0,0,0,0,0,0,0,0
TAGZ5,0,-0.00040994806225489,0,0,0.610240442962313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,-0.00444227846063958,0.316585631830963,0,0.226825215033168,0.0809288848926963,0,0,0.0143458585709981,0,0.0629524964427833,0.161055936287148,0,0,0.0618303435915401,0,0,0,0,0
XTZ,0,0,0.407597406317763,0,0,0.0281304721141197,0,0.255827615968123,0,0,0,0,0.32518120623747,0,0,0,0,0,0,0
XLM,0,-0.00162728668811846,0.321205143536016,0,0.27026542321025,0,0,0,0,0,0.0212003129077082,0,0,0.0671944718827946,0.0342287892672446,0,0,0,0,0
LINK,0,-0.000591603456568372,0,0,0.0723966468026841,0.218843899044958,0,0.113944329549807,0,0,0.592494793697654,0,0,0,0,0,0,0,0,0
ADA,0,-0.000373522130642335,0.0893205677558628,0,0,0,0,0.332191855527506,0,0,0.423459930688429,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.041283450570433,0,0.306244333887234,0,0.138828176359446,0.173838423837676,0,0,0.167719471846161,0,0,0,0,0,0
BV010082.INDEX,0.304837637568422,0.00308340332686461,0,0,0,-0.114646407401561,0,-0.157131345318527,0,0,0,0.166614232513892,0,0,-0.225891439803881,0,-0.16880245712834,0,0.108743006199214,-0.0419395202868821
CVIX.INDEX,0.442676410433007,0.010201106332468,0,-0.936296963096882,0,-0.139875576195465,0,0,-0.128599004403697,0,0.490807372724845,0,-0.0451255722046768,0,0,0,0,0,-0.816670686136035,0.215211328841328
DXY.INDEX,0.0316089266123442,-0.000032496688687739,0,0,0,0,0,0.00907584962057057,0.00305047531195554,0,0,0.00092374560956846,-0.0216657152923002,0,0,0.0636956980646326,0.011796378960544,0,0,-0.0138836834703035
SPX.INDEX,0,0.00767806993733097,0,0,0,-0.110268449690038,0,0,0,0,0,0,0.104085943757366,0,-0.0190028290209431,0.256450702896952,0,0,0,-0.254120405852637
VIX.INDEX,0.483688117876875,0.0357456860164294,0,0,0.254892969326503,0,0.71127115637788,-1.19219577646483,0.139734686759924,0,-0.597458453383132,0.52016736215697,0,0,-0.0594330057436691,0.360932312143833,0.312445975244827,-0.796303381192387,-1.70297749615339,0
