,BTC,ETH,XRP,DOT,LINK,BCH,LTC,CRO,BNB,BSV,EOS,ADA,TRX,XTZ,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.00109024782121153,0,0,0,0.188486268450661,0,0.076035320197869,0.0268277953568167,0.0556359139165076,0.0559042350463642,0,0,0.0616859980496906,0,0,0.0862394268802669,0,0,0
ETH,0,0,0.138634703881833,0,0.0759416065159371,0,0,0,0.135522664844255,0.0879153820477088,0,0,0,0.187432654362949,0,0,0.0333024404591599,0,0,0
XRP,0,0.122046662917171,0,0.0610655245263562,0,0.370797420509791,0.0225727514351195,0,0,0,0,0.0525797087233194,0.0525797575854555,0,0,0,0,0,0,0
DOT,0,0,0.291783277456734,0,0.143031477085053,0,-0.184891396386501,0,0,0,0,0,0.0248441520415581,0,0,0,0,0,0,-0.321794998224795
LINK,0,0.554354508479993,0,0,0,0,0,0,0,0,0,0.123478947076096,0,0.255549963720425,0.220008959369998,0,0,0,0,0
BCH,0,0,0,0.0400560196865567,0,0,0.47425971287406,0.0613180649406323,0,0.284435586214137,0.0562951309179146,0.0605299643920478,0,0.0376301723966093,0,0,0,0,0,0
LTC,0,0,0,0,6.93889390390723e-18,0.329168339896003,0,0,0.100606137328143,0.0629979163160917,0.144531072254277,0.0544071383421878,0,0.0818817884251547,0.0309811110801021,0,0,0,0,0
CRO,0.42021153359846,0,0,0.00588499345688045,0.00975448064764519,0,0.20259612463393,0,0.0669770998351126,0.0154722788844033,0,0,-0.0123932600854852,0,0,0,0.121362045158514,0,0,0
BNB,0,0.223774793516491,0,0,0,0,0.21893976662931,0,0,0.0572016925601513,0.0184207599460226,0,0,0.0812345870874465,0.147316189565491,0,0,0,0,0
BSV,0,0.0964149433947763,0,0,0,0.675410277397933,0.0840875419854214,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0
EOS,0,0.069298765901845,0,0,1.73472347597681e-18,0.514743883964429,0,0,0,0.113840458930572,0,0.051381572875706,0,0.134639157563692,0.161044124391752,0,0,0,0,0
ADA,0,0.17779478370368,0,0,0.124255313598298,0,1.38777878078145e-17,0,0,0,0.0372867609103975,0,0,0.193173350137377,0.32372753378747,0,-0.0347528923006994,0,0,0
TRX,0,0.537527125900287,0.00919392217170245,0.0684564275118905,0.170616872918086,0,0,0,0,0,0,0,0,0,0.102600532447526,0,0,0,0,-0.421153451331292
XTZ,0,0.276483847946574,0,0,0.340685515386193,0,0,0,0.140827722210139,0,-0.0603601410394952,0,0,0,0.221061289943333,0,0,0,0,0.0744697876963488
XLM,0,0,0,0,0.0170721880489798,-1.73472347597681e-18,0.0225931127915141,0,0.128490291580743,0,0.0814337537022,0.290936305639976,0,0.173910337274923,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0187899587410006,-0.0186511095058256,0,0,0,0.018007186256663,0,-0.019625846588805,0.0227405018067432,-0.00229075406855117,0,-0.0371045513538686,0,-0.0174199005737708,0,0,0.00242989073245458
CVIX.INDEX,0,0,0,0,0,-0.1166712651561,0,0.428708997520057,0,0,0,0,0.0917820002661573,0,0,0,0,0,0,0
DXY.INDEX,0.0230798092946071,0,0,0.021593076152112,-0.0125182996395435,-0.0713808358819049,0.0420350995472628,0,0,0,0.0248377634540412,0,0,0.0091559239181605,0,0.0480375280900773,0.00563815878274012,0,0,0.0175326236515569
SPX.INDEX,0,0,0,0.00834038698746825,0.00242314418190167,0,0,0,-0.0248761685837219,0,0,-0.0272132526831884,0,0.0131131929757799,0,0,-0.00917586890736544,0,0,-0.13420373852759
VIX.INDEX,0,0,0,0.0593537464533336,0.0304461960428678,0,0,0,0.296705206349736,0.0876113090492986,0,-0.212562644126608,-0.0477549858885688,0.000129398972580672,-0.0432015302875155,0,-0.0608686407767751,0,-3.58085374057253,0
