,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,XLM,ADA,LINK,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.236525645498683,0,0,0.102148923229224,0,0,0.173466123036267,0,0,0.111056582966136,0,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,-4.85791806056976,2.35249342096797,0,0,-3.92826889119695,3.88071148596478,2.65255585248825,0,-1.32826469580963,0,0,2.48612100561391,0,6.94538147384304,3.72973952777679
ETH,0,0,0,0,0,0.0715737171522304,0.0236998939484581,0,0.222103539598312,0.0000000000000000000542101086242752,0.187660231879518,0,0,0,0.163391010604575,0,0,0,0,0
XRP,0,-0.00282962261046711,0.219998873779485,0,0,0,0,0,0,0.238880734646331,0.000102570903575224,0.0738403723802782,0.161685908666055,0.00250998591694946,0,0,0,0,0,0
BCH,0,-0.00742538928838672,0.335818571863956,0,0,0.195274614627886,0.0212873204697334,0,0,0.162418588991751,0,0.0323228640596501,0.00183529442456598,0,0,0,0,0,0,0
BSV,0.269156562469451,-0.0132316672759326,0.00501539432667962,0,0.446890604261054,0,0,0,0.142672811320978,0,0.11345781510346,0,0,0.0826552930080084,0.0529335224236307,0,0.117967698879852,0,0,0
TAGZ5,0,0.00165499520224385,0,0,0.562464029087555,0,0,0,0,0.00000000000000000173472347597681,0.150425913041046,0.0115698265609971,0,0,0,0,0,0,-0.133158779036714,0
LTC,0,-0.00108175828718708,0.111803297260616,0,0,0.13872403954385,0,0,0.0366028593383618,0.242107874451799,0.157372393244414,0,0.0415977417194501,0,0.023072787942677,0,0,0,0,0
BNB,0.146532881368549,-0.00454786151515022,0.309298825244065,0,0,0.0906983400935677,0,0,0,0,0,0,0.230813289536711,0.077221040294666,0,0,-0.00363470238468057,0,0,0
EOS,0,0,0.280206383866187,0,0.123949077101227,0.0546200366705561,-0.000000000000000000433680868994202,0,0,0,0.0182897377810196,0.237040978039176,0,0,0.063716360314947,0,0,0,0,0
XTZ,0,-0.00376974528732888,0.338830279619689,0,0,0.16139899156206,0,0,0.0425940466296958,0,0,0.161283499293836,0,0.357871643711917,0,0,0,0,0,0
XLM,0,0.00130655931614861,0,0.256384219371493,0.271275093022797,0.0808620310091782,0,0,0.0048303153058077,0,0.080739433763205,0,0.0790565690326214,0,0,0,0,0,0,0
ADA,0,-0.00306332910204007,0,0,0,0,0,0,0.0267980223831087,0,0.183933709577218,0.116655869900316,0,0.103017334106084,0.343930172235379,0,0,0,0,0
LINK,0,-0.0110089063447869,0,0,0,0.119529405314617,-0.0213040659201902,0,0.0416001356832994,0,0.423188216520519,0.048661441998489,0,0,0,0,0,0,0,0
XMR,0,-0.00599244308528734,0.157649825429725,0.0296954788089839,0,0.0947157056694609,0,0,0.0483987160496737,0.0595915291152997,0.0957367827738697,0.263138111827785,0.0758086393505395,0,0,0,0,0,0,0
BV010082.INDEX,0.0288298791527457,-0.00990488118707202,0.250915741550068,-0.0761094499662003,0,-0.183749721077125,0,0,0,0,0,0,0,0,0,0,-0.167333459271767,0,0.158677846191574,0.0131479287275953
CVIX.INDEX,0,0.0242120634543356,0.23745861163989,-0.365953642644348,0,-0.227372164717368,-0.0994069217588429,0.194464945624756,0,0,0.717483432066935,0.123240762378631,0.0000000000000000277555756156289,-0.520935250617205,-0.246778892585153,0.776676840283731,0,0,-0.463826768319269,-0.051461977001971
DXY.INDEX,0.0516610389882288,0,0,-0.0831461590693428,0,-0.0180856923446792,0.000544343857098743,-0.0870095755061638,0.0446611322935282,0.0216030189645958,0.03339927143561,0.0316794514992587,0,0,0.0116355276019517,0.0302899522183267,0,0,-0.0346355896737142,-0.0198208722205845
SPX.INDEX,0,0.00837062704778708,0,0,-0.00290222174229262,0,0,0,-0.088638487278363,0,0,0,0,0,-0.00249075274822719,0.409700135443962,0,0,0,-0.228611800874673
VIX.INDEX,0.125833837762029,0.0357011393647392,0,0,0,0.196679087399373,-0.0491868754508216,0.29762766764677,0,0,0,0.124091685095297,0,-0.625573014264174,0,0.899730645023983,0.132496985297275,0,-1.90661276696045,0
