,BTC,ETH,XRP,BCH,ADA,BSV,LTC,CRO,BNB,LINK,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.165926641218248,0,0,0,0.0560513115430588,0,0.175551571519132,0,0.00294065955370022,0,0.0668068303954399,0,0,0.0860981925439347,0,0,0,0,0.0139485392169572
ETH,0.0107822249305688,0,0,0,0.0252592584085801,0.139964704082348,0.176060538825113,0.0972301038584174,0,0.0305853431350462,0,0,0,0.103096068954311,0.0842446881772615,0,0,0,0,0
XRP,0,0,0,0,0.0686945152484933,0.139193731799999,0.0820358108647948,0,0,-0.00000000000000000010842021724855,0.171308250133651,0,0,0,0.156051746020673,0,0,0,0,0
BCH,0,0.0715798982812671,0,0,0.016819201868982,0.0865914206022805,0.0580101203289997,0,0,0,0.376611758924071,0.0467173770222913,0,0.0174248261198023,0,0,0,0,0,0
ADA,0,0,0.410496701228865,0,0,0,0.525456084025688,0,0,0.197432159360526,0,0,0,0,0,0,0.0588917956953603,0,0,-0.00636191071460768
BSV,0,0.352271664764569,0.128858300500451,0,-0.058397304167768,0,0.145380939245378,-0.038082567856727,0,0,0.108636351811773,0.0414072607528301,-0.0380324242171659,0.0969898769158242,0.146070877847708,0,0,0,0,-0.0036413341396585
LTC,0.176647968830644,0.0250698584540863,0,0.101940510344137,0.033570563176644,0.0816768117083427,0,0,0.129415411397064,0,0.105338712371632,0.100913481494136,0,0,0.114075236914207,0,0,0,0,0
CRO,0,0,0,0.128090562721292,0,0,0,0,0.103852511069583,0.000000000000000000867361737988404,0,0.119088249346941,0,0.153410486606485,0.346980199913934,0,0,0,0,-0.00998059311897182
BNB,0,0.127883658698075,0,0.307211107778814,0,0.0409288342460775,0.115325489549043,0.13248091985568,0,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0.311944959689391,0,0,0.241153049890882,0,0,0,0.269087093040231,0,0,0,0,0,0,0,0.0715717938958889
EOS,0,0,0,0.290111383957756,0.0714000332014927,0.189080112623156,0.147115566970058,0,0,0.0225674367705898,0,0.0334246716709255,0,0,0.104209804364815,0,0,0,0,0
XTZ,0,0,0,0.0982302751887685,-0.0230532972427822,0,0,0.207791118456809,0.02401244919059,0.381285585799153,0,0,0.128518418881922,0.0885136782417136,0,0,0,0,0,0.030134589457493
XLM,0,0,0,0.274616284587338,0.262679519834558,0,0,0,0,0.0903855049277759,0,0.164600362195368,0,0,0,0,0,0,0,0.0192349416506008
XMR,0,0.136495572541241,0,0,0,-0.033340802006729,0.190678246268956,0.154821176392649,0.318080975904256,0.0516617322737649,0,0.0731848636986425,0,0,0,0,0,0,0,0
TRX,0,0.176926543604053,0,0,0,0.0779663742345246,0.0176564875346528,0.010257149635398,0,0,0.52253917800324,0,0.0774916230668696,0.0529319475230219,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00322053457498743,-0.000512522265928033,0,0.0294974880065198,0,0.0294017787479462,0,0.0218630851604681,0,0,0,0,0,0,0.067869856178447,-0.000173829566607171
CVIX.INDEX,-0.236289016026269,0.0438397574098078,0,0,-0.213161449456388,-0.0679980506152374,0,0.191191137370731,0.542153922314989,0.1214767168421,0,-0.170497235609632,0.148177856256203,-0.339353871376527,0.269546569717909,0,0,0,0,-0.105498523821721
DXY.INDEX,0.00534050050602873,-0.0467234946828339,0.0364356488592081,0,0.0213658763798494,0,0,0.0191661254531328,0,0,-0.0536900902692944,0.00541959253018386,0.00735439231675896,-0.0535550909460104,0.0569972704594714,0,0.0233877310214317,0,-0.0723852880274019,0
SPX.INDEX,0,0,-0.0776432945270164,0,0,0,-0.0105247546437457,0.0822841274946263,0,0,0,0.0164495764709947,0.0586852197534721,0,-0.0594389506503197,0,0,0,0,-0.141843539064338
VIX.INDEX,0.198056205918387,0,0,0,0.488642079409327,0,-0.397150137657318,0.0993227851404453,0,0,0,0,0,-0.186544398462119,-0.548364925390077,0,-0.258594148450998,0,-3.82596049362367,0
