,BTC,ETH,XRP,BCH,DOT,BNB,LINK,CRO,LTC,BSV,ADA,EOS,TRX,XMR,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.163879585437712,0,0,0.0286349225503996,0,0.100214620029296,0.0904045116241761,0,0,0,0,0.0728258613937109,0,0,0,0,0
ETH,0,0,0.0301939224776133,0,0.0239741376001594,0,0.169526068258895,0,0,0,0.290109012321931,0,0.0832586162540849,0,0.112259265000831,0,0.0421956516422368,0,0,0.0757436816677151
XRP,0,0.154150990287112,0,0.230795700868356,0.0589275564032438,0,0.000866709526656021,0,-4.33680868994202e-19,0,0.116314951686525,0.0461511812394319,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.154694564876838,0.303132190837024,0,0.205430675571455,0,0.112131702578459,0.0421191481195308,0,0,0,0,0
DOT,0,0.352734779100678,0.316343107855588,0,0,0.128412264027365,0.151570602295767,0,-0.253593267542931,-0.332526214754009,0.303132117817965,-0.2433852311745,0.202190947065071,0,0,0,0,0,0,-0.00168504989570436
BNB,0,0.333489468543983,0,0,0.00485188953432016,0,0.148169555179429,0,0.296473913718008,0,0,0,0,0,0.0683305152464958,0,0,0,0,0
LINK,0,0.910907629596677,0,0,0.0403449154520646,0.136907445678808,0,-0.322738461904268,-0.148339844892639,0,0.104230158796677,0,-0.0946468523988076,0.213477683970452,0.126968798477984,0,0,0,0,-0.217346681867868
CRO,0,0.0648576652404692,0,0,0.0313488089840743,0.0686989590915613,0,0,0.157225514593683,0.215604471757107,0,0,-0.0217793913157475,0,0,0,0.167910760797812,0,0,0
LTC,0,0.0313261962185159,0,0.261226035490499,0,0,0.0824421152655918,0,0,0.0114983481204883,0.0770839336902342,0.300600368940569,0,0,0,0,0,0,0,0
BSV,0,0,0,0.608347509365113,0.0140951425053728,0.0406875033729279,0,0.041207375969852,0.0022247861385694,0,0,0.111951256357423,0,0.0686929051513013,0,0,0,0,0,0
ADA,0,0.383203235572654,0,0,-1.73472347597681e-18,6.93889390390723e-18,0.0496246199783228,0,0,0,0,0,0,0.324468501307803,0.164801600552929,0,-0.0279524460890453,0,0,-0.113870705164084
EOS,0,0.283441187948689,0,0.543876409257057,-0.0534951427595781,0,-0.0668089269967122,0,0,0,0,0,0.0506819117177091,0,0.288398528673201,0,0,0,0,0
TRX,0,0.514367417832406,0,-0.37146761043553,0.108019709274805,0,0.166220360031143,0,0,0.458454809089302,0,-0.0458268233485242,0,0.247673694941158,0,0,-0.0446994371536822,0,0.400192124939385,-0.0492111674001783
XMR,0,0,0,0.10276141049601,0,0,0,0,0,0.207252611676505,0.0465239993494243,0,0,0,0.223721075384828,0,0,0,0,0
XTZ,0,0,0,0,0,0.0175889842165748,0.293819823950623,0,0.0789829263613755,0,0.136352436435614,0,0,0.289934790368532,0,0,0,0,0,0
BV010082.INDEX,0.0356060543001834,-0.0190036385807549,0,0,0.0219652698255346,0,-0.0153598217347791,0,0,0,0,-0.0277279780483908,-0.00456326410394768,0.00290836281089709,0,0,-0.0287034718565134,0,0,0.00804128739191697
CVIX.INDEX,0,0,0,0,0.0205259381105884,0,-0.0479505595165332,0.070663915182302,0,0,0,0.131328361849551,0.0395475061876164,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,-0.0545312238845315,0.0216641413991735,-0.00497447448163956,-0.0219761038142385,0.0217618895627504,0,0,-0.00519342161424678,0.0390518809627836,0,0.0190049456556459,0.00152382919790328,0,0.00914547440807485,0,0,0
SPX.INDEX,0,0,0,0,0.0163428268397883,1.73472347597681e-18,0,-0.11654052468921,0,0,0,0,0.0533636647576178,-0.0290740875881132,0.0187230850897075,0,0,0,0,-0.075912824338911
VIX.INDEX,0.176669319292576,0,0,-0.272250935118196,0.0772650589892949,-0.099747568260435,-0.14856352408206,0,-0.109039735383082,0,-0.0854344858035215,-0.398043600483421,0.228159600958818,0.591625596506926,0.308371136150089,0,-0.20219773474699,0,-1.3593584802378,0
