,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,XLM,ADA,LINK,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00243938902084541,0.216601084256962,0,0,0.124650201640539,0,0,0.217770448808847,0,0,0.119594181972497,0,0,0,0,0.0252034865269848,0,0,0.0295645968616841
INNBCL,0,0,0,0,0,-5.08113434917756,2.73035636724809,0,0,-1.3485569678407,2.65899336696429,0,0,0,0,0,2.7398338307435,0,7.24104321932176,4.31480102178003
ETH,0,0,0,0,0,0.0994250827773137,0.022730201054157,0,0.315951337933669,0.188237450588502,0.210845642445288,0.0250814987835781,0,0.0269724093318148,0,0,0,0,0,0
XRP,0,-0.00448281934756211,0,0,0,0,0,0,0.0954567642821025,0.348083098824,0,0.0086101862049379,0.261583070839804,0.0419365523339639,0,0,0,0,0,0.0450544771440002
BCH,0,-0.00760251826688347,0.324616179518932,0,0,0.199204941743301,0.0215302977491485,0,0,0.160762656648116,0.00000000000000000346944695195361,0.0275351010777976,0.00663228254007833,0,0,0,0,0,0,0
BSV,0.334978761695125,-0.00976651744822309,0.258828228997339,0,0.190097354855725,0,0,0,0.0476474439334209,0,0.14020383671543,0,0,0,0,0,0,0,0,0
TAGZ5,0,-0.000167991349250586,0,0,0.529260232142943,0,0,0,0,0,0,0.0809198189764103,0,0,0,0,0,0,-0.0208772895098606,0
LTC,0,0,0,0,0,0.117935496168537,0,0,0.0727463111691473,0.319911575519334,0.130230477975917,0,0.16648830234359,0,0,0,0.00265216398201647,0,0,0
BNB,0.0153316241665207,-0.00453262160862434,0.381458491416975,0,0.0801450583190087,0.107557468237346,0,0,0,0,0.000619094943049098,0,0.183358281223266,0.02558544138181,0,0,0,0,0,0
EOS,0,-0.000171617272302214,0.442390596806535,0,0.0962803403712121,0.0527309366602753,0,0,0,0,0,0.200713697883013,0,0,0.0365133290073151,0,0,0,0,0
XTZ,0,0,0.518322411523578,0,0,0.0135496017314152,0,0,0.289775480747733,0,0,0.0783012517351777,0,0.249221653956463,0,0,-0.0164851912171502,0,0,0
XLM,0,0.00149723746085813,0,0.259835644963864,0.274700976282324,0.0814168971310955,0,0,-0.00000000000000000173472347597681,0,0.0801233956112675,0,0.0804907915832577,0,0,0,0,0,0,0
ADA,0,0,0.264203991135803,0.0196779140284322,0,0,0,0,0,0.0607402232194053,0.313456031082921,0.145152837585628,0,0,0,0,0,0,0,-0.00000000000000000173472347597681
LINK,0,0,0.119491873918205,0,0,0.172875775945601,-0.0350068647199909,0,0.170982323458768,0,0.502980539131385,0,0.053764010440054,0,0,0,0,0,0,0.0355038904013712
XMR,0,-0.00660170713707314,0.206690546880828,0,0,0.112701865779517,0,0,0,0.0368065996351662,0.0641813722036299,0.251878884907072,0.136983391092163,0,0,0,0,0,0,0
BV010082.INDEX,0.189571506084536,-0.0142236243472135,0.380756525456396,-0.363217761864648,0,-0.501081311832467,0,0,0,0,0,0.19007704091655,0,0,-0.0959118385005147,0,-0.126545117712056,0,0.154994193899082,0.045142531548981
CVIX.INDEX,0.646495664753853,0.0226730201112225,0,0,0,-0.375170253789349,-0.113983377709562,0,0,-0.203379397271411,0.989168769197646,0.0537310163318044,0,-0.372867702809259,-0.619529009391184,0.628825202380631,0,0,-0.895273034857664,-0.0563929752067629
DXY.INDEX,0.0253083618334761,0.000773961604226952,0,-0.0207874649492156,0,-0.00352950401195218,0,0,0.0351408780353094,0,0,0.0102178714905358,0,-0.0232591689759457,0,0.0452474472982366,0.0243357693479653,0,0,-0.0180826356925532
SPX.INDEX,0,0.00837722329265566,0,0,0,-0.00327391886204421,0,0,-0.0877991833199158,0,0,0,0,0,0,0.409495535300656,0,0,0,-0.228895701137522
VIX.INDEX,0.185308987892677,0.0343230526126969,0,0,0,0,-0.0216596376513205,0.395049512129223,0,0,0,0.0521258348356308,0,-0.554038249450553,0,0.566223007252894,0.230261759397097,0,-1.58446539325985,0
