,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,ADA,CRO,LINK,XLM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.258728199178672,0,0,0.0118156188135564,0,0.216876152355098,0,0,0,0,0,0.137876438304886,0,0.0233583465870692,0,0,0,0,0
ETH,0.0778734224031893,0,0,0.34486950307068,0.0650970964784446,0,0.161463951966026,0.136803447189519,0.0943900362125949,0.0327256136570094,0,0,0,0,0,0,0,0,0,0.0299617963119949
XRP,0,0.0943510137713388,0,0,0,0.0467264352657215,0,0.226812968247286,0.0800055412725841,0.055810922364088,0.108004404464163,0.00843859283365313,0.0458417359292257,0,0,0,0,0,0,0
BCH,0.0273957951954033,0.420559545126111,0,0,0.282714239014987,0.0869146757908032,0,0.0600660023238917,0,0.019861945377079,0,0,0,0,0,0,0,0,0,0
BSV,0.101574920411346,0.147889108168692,0,0.56746445309317,0,0,0,0,0,0,0,0,0.0345494531198201,0,0.0754760649440576,0,0,0,0,0
LTC,0,0.0784129655485319,0,0.0848108074931821,0.133429393710684,0,0.0501805339827579,0.313742811383234,0.0150886199097068,0.0724718358023233,0,0,-0.00000000000000000346944695195361,0,0.0777321759340559,0,0,0,0,0
BNB,0.0872767101742921,0.23847742173396,0,0.100450301378409,0.0550157239845177,0,0,0.0750041914820104,0,0,0.239541393471032,0,0,0,0.120112654403863,0,0,0,0,0
EOS,0,0.420420869012527,0.0603278489103656,0.0503261438506685,-0.0000000000000000138777878078145,0.0696048389859313,0,0,0,0.0386099681078312,0.011022823117001,0,0.147217275741325,0,0.0992509467226992,0,0,0,0,0
XTZ,0.0945833482242731,0,0,0,0.190269218538409,0,0.17929902121257,0.0308049516990251,0,-0.167067716219706,0.110203239735351,0.378656886081103,0.295713552695511,0,0,0,0,0,0,0.0472787764994759
ADA,0.0749126894802248,0.230005052169457,0,0,-0.0524033579095253,0,0,0,0.287277520044317,0,0.0289866117536755,0,0.232957316993848,0,0.177967020027656,0,0,0,0,0
CRO,0,0,0.473844319285923,0,0,0,0.0865889713605741,0,0.0750454681765381,0.0775821749813635,0,0,0.0664099464254672,0.0963389491517743,0,-0.203783183144348,0.231856171760648,0,0,-0.072643889977136
LINK,0,0.129666171333668,0,0,0,0,0,0.0424415723079191,0.340847410344063,0.111545802895922,0,0,0,0,0,0,0,0,0,0.0113852652397413
XLM,0,0,0.0751493698669052,0,0.0889830549904517,0,0,0.273359128590184,0,0.27896010098755,0.00606020054388437,0.0817711811761788,0,0,0,0,0,0,0,-0.00678744361942644
LEO,-0.113413226521028,0,0.0767964265385539,-0.0315982094390593,-0.103295263775071,0,-0.0427177536020868,0,-0.00701141460939899,0.085812913364878,0.00483052549921744,0.0204620824527278,0,0,0.158042754739059,0,-0.0453441199166322,0,0,-0.0157825425581685
XMR,0,0.225997142898434,0,0,0.0150374761036654,0,0.228169120056313,0.236317875621991,0.00891929865649259,0,0,0,0.0814575924826211,0,0,0,0,0,0,0
BV010082.INDEX,0.225406543292878,0,0,-0.149881605896727,0.0403101822482479,0,0.0630217899908998,-0.332203392059423,0.109779995469035,-0.106528090578829,-0.0418304493918347,0,0.113049945416566,-0.0603823824659637,0,0,0,0,0,0.0456925869845505
CVIX.INDEX,0,0,-0.282573966278057,0,-0.169422557474419,0,0,0,0.0976355985456439,0,0.52308509986637,-0.115827132458257,0.0326856253149146,0,0,-0.324714326044913,0,0,0,-0.0780769019949137
DXY.INDEX,0,0,0,0,-0.013770288372912,-0.0159820080928879,0,0,0,-0.0015394547347291,0,0,0.0138386397416639,0,0.033692742344681,0,0.0545753093863078,0,-0.111614467199352,-0.0256233784265247
SPX.INDEX,0,0,-0.0308550661531413,-0.381468675035881,0,0.482708961967236,0,0,0,0.0541672334902346,0,0.0244630255619676,-0.0250318382868243,0,-0.199637200169607,-0.363913344709476,-0.0788991237591349,0,0,-0.184357643721544
VIX.INDEX,0.123142593114241,0,0,-0.0942481746733098,0,0,-0.12194808509855,0,-0.362256894095486,0,0,-0.0723114934236354,0.446467274254704,0,0,0,-0.00000000000000000693889390390723,0,-2.69624861720904,0
