,BTC,ETH,XRP,BCH,BSV,ADA,LINK,LTC,BNB,CRO,XTZ,EOS,XLM,XMR,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.131144928509598,0,0.267649437014606,0,0.00993537247471268,0,0,0.0584844053962,0.00740457887669127,0.046373591672167,-0.000000000000000000867361737988404,0,0.176874046300814,0,0,0,0,0,0
ETH,0.208313224145703,0,0,0.182917324668049,0.106614704661854,0.0170504867491849,0.0673576672974691,0,0.134174708078733,0.0290196591989761,0.00000000000000000346944695195361,0.00646111351687234,0,0.151816169779377,0,0,0,0,0,0.00710323186225437
XRP,0,0,0,0,0.151404844451859,0.0501318758756683,0,0.189706281560107,0,0,0,0.279248735237153,0.0277857274349468,0,0,0,0,0,0,0
BCH,0,0.162364249133604,0,0,0.236563688788808,0.0229592295372464,0.0027782344460332,0.176527392428133,0,0.0507089896034726,0,0.217246871362636,0,0.098144868619587,0,0,0,0,0,0
BSV,0.0517352159737446,0.295463866498855,0,0.0711117654173551,0,-0.0149520227577154,0,0.235413174353335,0,0,0,-0.0000000000000000138777878078145,0,0.176975404452509,0,0,0,0,0,0
ADA,0,0.961107142550471,0,0,0,0,0.145704658401472,0,0,0,0.00000000000000000173472347597681,0,0.053789366529312,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0.239424009678547,0,0,0,0.0764515994161571,0.331439044977865,0.203991766194442,0,0,0,0,0,0,0,0.0522636640825865
LTC,0.120529511244201,0.265230724325336,0.0556413051586755,0,0.10132475262509,0.013802651976594,0,0,0.0762021358429982,0.00000000000000000173472347597681,0.0366006258965938,0.133760346116624,0,0.0639469051121709,0,0,0.0444984732481379,0,0,0
BNB,0.0414567072933708,0.164597236698445,0,0.349764310397643,0,0.0227654581633622,-0.0508857997524319,0.148380998362771,0,0.0591877853650647,0,0,0,0.0385559374505796,0,0,0,0,0,0.0288689020768581
CRO,0,0,0,0.193579533932837,-0.087926973537446,-0.100316209671301,-0.0230035837930645,0.391380808946828,0,0,0.305552258243642,0.18566157044875,0.0941613839535541,0,0,0,0,0,0,-0.0118206400282323
XTZ,0,0,0,0.039109934449381,0.109047918694334,0,0.374617793586084,0,0,0.229623561277618,0,0,0.134469492836949,0,0,0,-0.0313207367669229,0,0,0
EOS,0,0,0,0.351402420281455,0.139247132667058,0.0939431971248837,0.0539083023210245,0,0,0.172144856850209,0,0,0,0.00054769287346347,0,0,0,0,0,0
XLM,0,0,0,0.304201662778147,0,0.224847832190058,0.135783616702511,0.239781834134558,0,0,0,0,0,0,0.0158196341910126,0,0,0,0,0
XMR,0,0.194064910655672,0,-0.00000000000000000346944695195361,0,0,0,0,0.278815075260303,0.177617839397276,0.208118565664833,0,-0.0181858459600802,0,0,0,0,0,0,0.0213230397226878
LEO,0,0.523430470784182,-0.16798082943088,0,0.0361272033565142,0,-0.210190218923298,0,-1.03702431341506,0.0397762394822067,0.410655190459893,0.314158392631727,0.200397860684812,0.0549031293716288,0,0,-0.341761490042943,0,0,0.0488095280763401
BV010082.INDEX,0,0,0,0.023515619991601,0,-0.00913035792228692,0.0240130259691426,0,0,0.033501899105596,0.020399333108079,-0.0170004116550944,-0.00920617073725921,0.0187142720143008,0,0,-0.000267779573721894,0,0.0931402699150051,-0.00000000000000000010842021724855
CVIX.INDEX,0,0,0,0,0,-0.172741139998501,0,0,0.191082156240284,0.242994289015571,0.000000000000000000867361737988404,0,0.128384091640045,-0.198918254353488,-0.286359246694969,0,0,0,0,-0.147975256649013
DXY.INDEX,0.00934808789137386,0,0.0411247944240986,0,0,0.0147592514378933,-0.00154596204776827,0,0,0.0245770234594626,0,-0.0555586594367662,0,-0.00669954099732239,-0.0560989465174155,0,0,0,-0.151486590204085,0
SPX.INDEX,0,0,0,0,0,0.0284834444340994,-0.0264647287990568,0,0,0,0.0335614044774645,0,0,-0.0246905281082659,-0.0600224927826436,0,-0.0170421173125702,0,0,-0.1468153025478
VIX.INDEX,0,0,0,0,0,0.01641274309488,-0.0129681792284604,0,0.718327193960199,0.129320404282216,-0.0414487801580045,0,0,-0.433769949366495,0,0,-0.453306739739339,0,-4.02302892263922,0
