,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,ADA,LINK,XLM,CRO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.261676350195301,0,0,0.0912867861223319,0,0.156061243869258,0,0,0,0,0,0.15130215780973,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,1.22871049342647,0,0,-3.33551824602016,0,0,0,0.353506031730852,0,0,1.78333338904013
ETH,0,0.00778706766564912,0,0,0.269597109497971,0.0389857400595327,0,0.187517003657417,0.159187806030537,0.0812730750035939,0.00801976143737254,0.0486067215600627,0,0.0167577555291163,0,0,0,0,0,0
XRP,0,-0.00254966133229479,0.13210640340419,0,0,0,0,0,0.223945509439044,0.0792395035321597,0,0.160617820413094,0,0.034987497957745,0,0,0,0,0,0
BCH,0,0,0.434853369616776,0,0,0.285452319170021,0,0,0.102532271924028,0.0216697017709373,0.00607420358699523,0,0,0,0,0,0,0,0,0
BSV,0.240186858763156,-0.00780523947155618,0.159385169124135,0,0.463626863871401,0,0,0,0.0462501024719945,0.0332872719025818,0,0,0,0.00697907495100307,0,0,0.0525659516261027,0,0,0
LTC,0,-0.00080169842582455,0.0570052117204666,0,0.056188146380139,0.151226717115756,0,0.0174958887321795,0.272842345591027,0.0692049319596648,0,0.14027018883484,0,0,0,0,0,0,0,0
BNB,0.134666166353447,-0.0069774392628511,0.341923653559706,0,0,0.0676157763550972,0,0,0,0,0,0.222877326340496,0.115449758410292,0,0,0,0,0,-0.0654596501837016,0
EOS,0,0.00370795951315211,0.356429190421631,0.0647559199316941,0.0413566316734661,0.0803075625357469,0.0931098887076918,0,0,0,0.0358707281144937,0.0596683266093827,0,0.181406395064487,0,0,0.0167707845368302,0,0,0
XTZ,0,0,0.291521532447208,0,0,0.114289518832834,0,0.258986297471787,0,0,0,0,0.34115704435551,0.136103359985749,0,0,-0.0668640739620952,0,-0.0231182557767785,0.0150628652895771
TAGZ5,0,0.0143631394801799,0.303782246211968,0,0.102183891572788,0,0,0,0.170475567972357,0.0924664566456646,0,0,0,0,0,0,0,0,0,0
ADA,0,-0.000371314925482321,0.00000000000000000346944695195361,0,0,0,0,0.0428347687206738,0.139978840439119,0.388651870541504,0,0,0,0.185772253468278,0,0,0,0,0,0
LINK,0,-0.00651029878452677,0.0904242325990482,0,0.0504246085968322,0,0,0,0,0.390011611151458,-0.0256771540023112,0.0249797955195088,0,0.0317313575682379,0,0,0,0,0,0.00957687854242247
XLM,0,0.00111947000757324,0,0.0800725905912404,0,0.107484687258627,0,0.0269478913100358,0.207760394149338,0,0,0.24156839079939,0.107822083693208,0,0.0681057728901525,0,0,0,0,0
CRO,0,0.00405332094117849,0,0.335545188168882,0,0,0,0,0,0.192264607161523,0,0.0296991130102436,0,0.195495733474723,0,0,0,0,0.240369423727442,-0.0531952500381261
BV010082.INDEX,0.233329698933668,-0.00596345288437281,0,-0.502816718034361,0,0.0112027550919009,0,0,0,0.0170113000131016,-0.0131022399332241,0,0,0.108265918440565,-0.0828171072271249,0,0.0243856152348674,0,0,0.0599120181492554
CVIX.INDEX,0,0.00998490516756149,0,-1.00594983330542,0,-0.0395523961559875,0,0,0,0,-0.0462434299943311,0.37088976558512,0,0,0.449185770127533,0,0,0,-1.47971046567907,-0.340310099898879
DXY.INDEX,0.0175163375643955,-0.000737609679705051,0,-0.0923472534419532,0,-0.0153957470182427,0,0.00807933701357012,0,0.0382711578659813,0,-0.00492501218706369,-0.0144010186421996,0.00735324163097854,0.0435115700537226,0.0332207870727251,0,0,-0.00907793147077401,0
SPX.INDEX,0,0.00840206833391319,-0.268363213296097,0,-0.0218881819287589,0,0,0,0,0,-0.0163755128804568,0,0,0.118862962071272,0.12268592105213,0,-0.0661772664847417,0,0,-0.24133018880631
VIX.INDEX,0.0427687187080456,0.0315004454655052,0,-0.0375176227005158,0,0,0,0,0,0,-0.0527296336790516,0.0311551763504888,-0.330509772785796,0.214513369402252,0,0,-0.240439602249401,0,-2.37797142874974,0
