,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,ADA,CRO,LINK,XLM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.229862245624706,0,0,0.0845421153961811,0,0.219285195643076,0,0,0,0,0,0.124205555422138,0,0.00172556566960295,0,0,0,0,0.00565728153613207
ETH,0.117336984068842,0,0,0.356116855893823,0.0169867566622318,0,0.168544603171905,0.156315020301633,0.0868374149708458,0.0134309288970582,0,0,0,0,0,0,0,0,0,0.0195866243315687
XRP,0,0.0730583837324792,0,0,0,0.0620773692618388,0,0.171189444628348,0.0929375928148607,0.0647779975651804,0.125950030142004,0.0158110808440141,0.0474591376594533,0,0,0,0,0,0,0
BCH,0.0202764616080005,0.411474657008809,0,0,0.280907500238923,0.11509818167426,0,0.0547766619498437,0,0.0254561683037177,0,0,0,0,0,0,0,0,0,0
BSV,0.0984111074494503,0.104243291987337,0,0.583055826838636,0,0,0,0,0.0135798614243933,0,0,0,0.0262819183424019,0,0.116641707718093,0,0,0,0,0
LTC,0,0.080234471281202,0,0.0956960953027139,0.131880640669512,0,0.0526847425966696,0.305138960241182,0.0147634846108242,0.0706269628211096,0,0,0,0,0.0795493984936241,0,0,0,0,0
BNB,0.0538683416559532,0.256254257721669,0,0.116365999729382,0,0,0,0,0.00406755014906749,0,0.378222349130011,0,0,-0.0661995966938823,0.172185795767617,0,-0.0823271611205257,0,0,0.00810896472226883
EOS,0,0.419670898578661,0.0876258289010771,0.0519818003231313,0,0.0414807168260927,0,0,0.00960519592869848,0.042603011635824,0,0,0.149501146848285,0,0.0838612140484961,0,0,0,0,0
XTZ,0.0200194923691496,0,0,0,0.206024762879838,0,0.155961656237145,0.153813547496157,0,-0.208167623482621,0.16855380352127,0.339489754884834,0.259656406709303,0,0,0,0,0,0,0.0356515610804231
ADA,0,0.354087589829636,0,0,0,0,0,0,0.200307757730479,0,0,0,0.258112083452675,0,0.0870637820646931,0,0,0,0,0
CRO,0,0,0.473844319285923,0,0,0,0.0865889713605741,0,0.0750454681765381,0.0775821749813634,0,0,0.0664099464254674,0.0963389491517744,0,-0.203783183144348,0.231856171760648,0,0,-0.0726438899771362
LINK,0,0.0111437727076498,0.354667802592743,0,0,0,0,0,0.338071849981249,0.0485123084637348,0,0,0,0,0,0,0,0,0,0.00959840394024768
XLM,0,0,0.0776116791875816,0,0.0789123075510059,0,0,0.270529212624487,0.0218740722471925,0.282502691623283,0,0.0544324305657086,0,0,0,0,0,0,0,0
LEO,-0.10898661097835,0,0.0738046112326638,-0.0267812551676765,-0.0883616147602993,0,-0.0483804866020002,0,0,0.0872483242234326,0.00726815511667566,0.0119592426046008,0,0,0.140366553762343,0,-0.0535825285571807,0,0,-0.0147811328366468
XMR,0,0.223885300377214,0,0,0.0136052234533844,0,0.236948594951042,0.239732661755726,0.00630968460505788,0,0,0,0.0768064540660138,0,0,0,0,0,0,0
BV010082.INDEX,0.225406543292878,0,0,-0.149881605896725,0.040310182248248,0,0.0630217899909002,-0.332203392059425,0.109779995469035,-0.106528090578827,-0.0418304493918347,0,0.113049945416564,-0.0603823824659634,0,0,0,0,0,0.0456925869845504
CVIX.INDEX,0,0,-0.292849326276041,0,-0.16575784351942,0,0,0,0,-0.0176230150641917,0.5244565777258,-0.0651907872382003,0.1280152191105,0,0,0,0,0,0,-0.050682360338152
DXY.INDEX,0,0,0,0,-0.0137700650137736,-0.0159811513695132,0,0,0,-0.00153838174005621,0,0,0.0138367844519932,0,0.0336914892466103,0,0.0545773055984572,0,-0.111616661133013,-0.0256229898521844
SPX.INDEX,0,0,0,-0.373519417918204,0,0.391055424444552,0,0,0,0.0608508103977214,0.0373517233579928,0,0,0,-0.172977124360289,-0.327722806776811,-0.072961957988001,0,0,-0.181018687454196
VIX.INDEX,0.121937144975382,0,0,-0.0625726167681922,0,0,-0.134441627015839,0,-0.335194013380203,0,0,-0.098093223963808,0.435085673806378,0,-0.0000000000000000138777878078145,0,-0.00000000000000000693889390390723,0,-2.67892628476029,0
