,BTC,ETH,XRP,BCH,BSV,LTC,ADA,BNB,EOS,CRO,XTZ,LINK,XLM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.216494147213011,0,0,0,0,0,0.410459913556246,0,0,0,0,0,0,0.153792933021334,0,0,0,0,0.0194540076504025
ETH,0.126736816941653,0,0,0.270659500688813,0.0206797575591077,0.156088841853848,0.00921647697774011,0.214299798749839,0.0108096375066407,0,0,0,0.0376646240921956,0,0.0559465042691064,0,0,0,0,0
XRP,0.0575291642652363,0,0,0.0170915461213313,0,0.260960099730152,0,0,0.302382520264458,0,0.0211490400067419,0,0.0680148423788059,0,0,0,0,0,0,0
BCH,0,0.105605966499937,0,0,0.352078950100246,0.147438677941172,0,0,0.393745507587609,0.0322525060759329,0,0,-0.00000000000000000346944695195361,0,0,0,0,0,0,0
BSV,0.0734725837693707,0.300001543901303,0,0.268210955015296,0,0.207235084735325,-0.019155848897252,0,0.142058368122936,-0.0766712537167785,0,0,0,-0.039313390341771,0,0,0,0,0,-0.00000000000000000346944695195361
LTC,0.0494947198560199,0.429744203364852,0,0.141231568591295,0.0445211802921463,0,0,0,0.14968192445695,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0.694868732409417,0,0,0,0,0,0,0,0,0.114399417288537,0,0.307442181997389,0,0,0,0,0,0,-0.00448102301256513
BNB,0.133117767019378,0.323367701437988,0,0.0923060318047948,0.0660254477106374,0.0547736003014572,0.00918914378993412,0,0,0,0.0679079244419667,0,0.0412430841178939,0,0,0,0,0,0,0.0280287351793494
EOS,0,0.0574061794833678,0,0.321194855528233,0,0.354637971596519,0.0815256777496086,0,0,0,0,0,0,0,0.113258428840945,0,0,0,0,0
CRO,0,0,0.19097900528916,0,0,-0.0000000000000000138777878078145,0,0,0,0,0.554711101645842,0,0.035485898159957,0,0,0,0,0,0,0
XTZ,0,0,0,0.00170361549923743,0,0,0,0.344955406363632,0,0.142184175252766,0,0.476547054512552,0.050792768720843,0,0,0,-0.0181025833562763,0,0,0.0334607258146176
LINK,0.0743426835013075,0,0,0,0,0,0,0,0.201270168704077,0,0.515273694126376,0,0.166675894189816,0,0.0574781170906951,0,0,0,0,0
XLM,0,0,0,0.255264721159434,0.00899007519741273,0.283106651511843,0.243139191884529,0,0,0,0,0.0851496952062509,0,0,0,0,0,0,0,-0.00824683920091364
LEO,-0.236828233037273,0,0,0,0,0.182119243997427,0,0,0,0,0.095921786028981,0,0.0589594863789597,0,0,0.115682127534323,-0.106348207622957,0,0,0.0135609080645606
XMR,0,0.348366318922225,0,0,0,0.13874749513428,0.0129746518492917,0,0,0,0.207014330291049,0.0531219549572872,0.00000000000000000010842021724855,0,0,0,0,0,0,0
BV010082.INDEX,0.0141497788279894,0.113480895149348,0,0,0,0,-0.00654871691932855,0,-0.104852179049161,0,0.0716475329444476,-0.0118812595491586,-0.0351429975116604,0.185578729628621,0.0433673660376116,0,0,0,0.198089990743835,0.00685425729794674
CVIX.INDEX,0,0,-0.103656156222995,0,-0.309393012538562,0,-0.197913313890989,0.473799606663814,0,0.276502923946987,0,0.0234911873850575,0,-0.188386536934054,-0.138269945967477,0,0,0,0,-0.149999697908576
DXY.INDEX,0,0,0,0,-0.0191511088274687,0,0.0306401628674716,-0.0432598920141034,-0.0297035305359086,0.0508779312562921,0,0,0,-0.0170082269037647,0,0,0.0279459739415912,0,-0.11593668921515,0
SPX.INDEX,0,0,0,0,-0.0348879619678994,-0.084852707124942,0.0763406943708154,0,0,0,0,-0.033896182835123,0.0228723164039617,-0.0262957664153894,0,0,-0.0638882330121485,0,0,-0.196147880225127
VIX.INDEX,0,0,0,-0.00234173009884583,0,0,0.244551683964015,0,0,0,0,-0.27088912409839,0,-0.162824163831394,0,0,-0.39960453644709,0,-3.70232690502969,0
