,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,CRO,ADA,XTZ,LINK,XLM,XMR,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.216494147213011,0,0,0,0,0.410459913556246,0,0,0,0,0,0,0.153792933021334,0,0,0,0,0,0.0194540076504026
ETH,0.0625164374239064,0,0,0.287921303025399,0.00955073350218838,0.191378359222044,0.203512062388465,0,0,0.00217509314453232,0.0374257940659368,0,0.00601833666018577,0.103292112701054,0,0,0,0,0,0
XRP,0,0,0,0,0,0.239740012297101,0,0.352945696573303,0,0.0467761184328914,0.0125628481099733,0,0.0646726741558977,0,0,0,0,0,0,0.00313989015688455
BCH,0,0.234229447338843,0,0,0.422434382514395,0,0,0.328722028096584,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0.126189996068688,0.124428690570406,0,0.497919071991712,0,0,0,0.0591365678078704,0,0,0,0,0.0232359628539631,0.0061724845177671,0,0,0,0,0,0
LTC,0.108044861004622,0.270387778846403,0.0918600139942196,0.0838160081999793,0,0,0,0.203188424623654,0.00000000000000000693889390390723,0.0443477293031237,0,0,0,0,0,0,0,0,0,0
BNB,0.16608879401717,0.260123564657031,0,0.0354979829927596,0.183601257988907,0,0,0.0772226130958028,0,0,-0.00000000000000000173472347597681,0,0.0823272749165958,0,0,0,0,0,0,0.0160849120556862
EOS,0,0.103665549224842,0,0.147540614557199,0,0.476316946304364,0,0,0,0.0608579906306284,0,0,0.060542784300098,0.102041724084453,0,0,0,0,0,0
CRO,0,0,0.370063915258396,0,0,0,0,0,0,0,0.348799270303357,0.00000000000000000173472347597681,0.114122343132621,0,0,0,0.00171341031372168,0,0,-0.0157498564985206
ADA,0,0.676572846941777,0,0,0,0,0,0,0,0,0.131693077797994,0,0.305832780212121,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0.271104710727466,0.113015333170772,0,0.0411170019214673,-0.116414537690951,0,0.401551874539469,0.179317533677392,0.031038909880231,0,0,0,0,0,0.0328226699672442
LINK,0,0.168461276972488,0,0,0,0,0,0.413393626507806,0,0.0371510868289724,0.310982794607587,0,0,0,0,0,0,0,0,0.0267987808091749
XLM,0,0.0656788588679689,0,0.245117560043198,0,0.0901885802544903,0,0,0.0277763503886158,0.28190794738099,0,0.115896053156375,0,0,0,0,0,0,0,0
XMR,0.0630120772953302,0.135749463764511,0,0,0,0.256513162054245,0.0360450898887373,0.1332195904767,0,0,0.180355310544191,0,0.0870991520647506,0,0,0,0,0,0,0.0317479813746777
LEO,-0.206029113945512,0,0,0,0,0.11000404188751,0,0,-0.0247691008173049,-0.00000000000000000173472347597681,0.168693006526792,0,0.0610322871461578,0,0,0.045034655376345,-0.0912343433760868,0,0,0.0109200693692451
BV010082.INDEX,-0.122345596857508,0,0,0,0,0,0.125715014472281,-0.206420010690135,0.0264348633138125,0,0.0721685377044665,-0.0233875952205175,-0.0483662576426088,0.207275832054597,0.0452418774124296,0,-0.0157205179347379,0,0.501326148595205,0.0615168584155807
CVIX.INDEX,0,0,-0.304296154964366,0,-0.178347009988631,0,0,0,0.422203167827014,0,0,-0.180900850764333,0,0.190721134084068,-0.0751180366252934,0,0,0,-1.13432426552176,-0.210830733094114
DXY.INDEX,0.0682019608650175,-0.0301653953466692,0.0231649519582989,0.04165850956785,-0.0674146878634155,-0.0345181668723934,-0.0370036570690949,-0.0423572823611443,0.0473968800989686,0.0123358580053192,0,0,0.0156952431171959,0,-0.0483123076335151,0,0,0,-0.205768702657239,-0.035007572179673
SPX.INDEX,0,0,0,0,0,0,0,0,0,0.025497708950001,-0.104501199184081,0,0,0.0386601680419105,0,0,-0.129530026442704,0,0,-0.180341662004673
VIX.INDEX,0,0,-0.249167520732573,-0.119752126279323,0,0,0,0,0,0.264104564866508,-0.470070566318399,0,0,0.36722511203548,-0.164808497845772,0,-0.636187786591498,0,-3.82097441177375,0
