,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,ADA,LINK,XLM,CRO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00134608313231956,0.250630808455219,0,0,0.108288378582003,0,0,0.153816536329848,0,0,0,0,0.148484443438532,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,-2.64157668895943,0,0,0,0,0,0,2.03023062000944
ETH,0,0.00572108552171754,0,0,0.283637174021802,0,0.00959083725692093,0,0.204062459284732,0.190352176245905,0.0800426377404015,0.0284699559631494,0,0,0,0,0,0,0,0
XRP,0,-0.00254966133229479,0.132106403404191,0,0,0,0,0,0,0.223945509439043,0.0792395035321595,0.160617820413094,0,0.0349874979577453,0,0,0,0,0,0
BCH,0,-0.00643606839236292,0.509357408795412,0,0,0.199590977554932,0.0197334710096265,0,0,0.0639154314905576,0,0,0,0,0,0,0,0,0,0
BSV,0.154816811218313,-0.0106784550009145,0.141200407231832,0,0.499928644801066,0,0,0,0.0749015516638072,0,0.0701622383619063,0,0,0,0,0,0.100588609665017,0,0,0
TAGZ5,0,0.0114937046035356,0.251958470362062,0,0.348232113452057,0,0,0,0,0.0299129400619248,0.0494290963727191,0,0,0,0,0,0,0,0,0
LTC,0,-0.00105553254506173,0.0650122787606147,0,0.0884141066497723,0.151921016819183,0,0,0,0.321230804141691,0.029603452175185,0.102981236334373,0,0.0254911781531451,0,0,0,0,0,0
BNB,0.135430010612318,-0.00440618875764176,0.37118471404248,0,0,0.0670718743229884,0,0,0,0,0,0.230139982339319,0.0867491148680208,0,0,0,0,0,0,0
EOS,0,0.000259557729181937,0.306406110153944,0.107122564924283,0,0.129441137226902,0.0410703702238799,0.133841600005009,0,0,0,0.054599596405983,0,0.168920047302903,0,0,0.0450324055535953,0,0,0
XTZ,0,-0.00202656540737368,0.28936531791827,0,0,0.0976554027099207,0,0,0.244788233895049,0,0,0,0.350812315888048,0.141008251970217,0,0,-0.0556578918797467,0,0,0.0227028530702865
ADA,0,0,0.0938943034817928,0,0,0,0,0,0,0.10803914151344,0.376782912746428,0,0,0.162336670234922,0,0,0,0,0,0
LINK,0,-0.00696573146883368,0.0564642230469919,0,0,0,-0.0229875133307097,0,0,0,0.397581934705978,0.0771379295469281,0,0.0116402793891525,0,0,0,0,0,0
XLM,0,0.00101622736932134,0,0.0755422411476114,0,0.109048884440146,0,0,0.0165141573206929,0.213793777216433,0,0.246403838990747,0.11008206442814,0,0.0661431056195061,0,0,0,0,-0.0030294196491391
CRO,0,0,0,0.0917568768102328,0,0,0.0576824855061375,0,0,0,0.271547988453118,0.0740235722686781,0,0.198128376094447,0,0,0,0,0,-0.0547594806060862
BV010082.INDEX,0.204991965746508,-0.00284564652556813,0,-0.421514239581769,0,0,-0.00000000000000000010842021724855,0,0,-0.0197541471068367,0,0,0,0.106251136898357,-0.103415613519658,0,0,0,0,0.0588283441646188
CVIX.INDEX,0,0.00826613046355001,0,-0.753561250316907,0,-0.10021033140996,-0.0770031554230693,0,0,0.404939170468564,0,0,0,0,0.459407875140726,0,0,0,-1.51052517175955,-0.398369839483768
DXY.INDEX,0.0312062470961109,0.0000932362011906162,0,-0.146563020826638,0,-0.0228813230007815,0,0,0.0271605244043995,0,0.0303560685929405,0,0,0.0284916389353099,0.0419364496636355,0.0267031797621148,0.000000000000000000433680868994202,0,0,0
SPX.INDEX,-0.139645419515684,0.00875829128151184,0,0,-0.184427085184143,0,-0.0179580005353417,0,0,0,0,0,-0.01723413982337,0.0891831751558165,0.225562043685258,0,-0.181216719560721,0,0,-0.194767999384284
VIX.INDEX,0.145832516311731,0.0286409632189521,0,0,0,0,-0.0246112860501076,0,0,0,0,0,-0.264053051191907,0.0692579815237165,0,0,-0.283962240952501,0,-1.99672390507707,0
