,BTC,ETH,XRP,BCH,BSV,LTC,BNB,CRO,EOS,ADA,XTZ,LINK,XLM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.216494147213012,0,0,0,0,0.410459913556244,0,0,0,0,0,0,0,0.153792933021334,0,0,0,0,0.0194540076504026
ETH,0.0625164374239076,0,0,0.2879213030254,0.00955073350218859,0.191378359222043,0.203512062388465,0,0,0.00217509314453217,0.0374257940659372,0,0.00601833666018598,0,0.103292112701054,0,0,0,0,0
XRP,0,0,0,0,0,0.249328464503867,0,0,0.353375249105916,0.0391824713461596,0.00000000000000000693889390390723,0,0.0697764199911027,0,0,0,0,0,0,0
BCH,0,0.206787823031793,0,0,0.423269413150788,0,0,0,0.356305863213716,0,0,0,0,-0.0323683538590799,0,0,0,0,0,0
BSV,0.199675460285766,0.272550679286127,0,0.374022767595109,0,0.084205382827001,0,-0.0762541249057937,0.135522468294764,-0.0935580244536737,0,0,0,0,0,0,0,0,0,-0.0229763090546784
LTC,0.00975499115198898,0.497860395250184,0.0369624967865769,0.0824097129788337,0,0,0,0.0112686712936093,0.175551987116381,0,0,0,0,0,0,0,0,0,0,0
BNB,0.141099714090363,0.298871971487504,0,0.00143420996147446,0.14320404017833,0.0701132304971961,0,0.0172862693827315,0,0,0.0722487084150912,0,0.0597847961970613,0,0,0,0,0,0,0.020517811794904
CRO,0,0,0.333078259580638,0,0,0,0,0,0,0,0.502487363620838,0,0,0,0,0,0.00601605010737315,0,0,0
EOS,0,0.087339667276371,0,0.0382544432544864,0,0.477246883927092,0,0,0,0.113570138357945,0,0,0.0327012203092867,0,0.128857165777238,0,0,0,0,0
ADA,0,0.691607893391034,0,0,0,0,0,0.00517693898558808,0,0,0.117143910961349,0,0.309027734948419,0,0,0,0,0,0,0
XTZ,0.204405012810484,0,0,0.143709520923935,0,0,0,0.118956024905694,0,0,0,0.520515908231783,0,0,0,0,0,0,0,0.0140064500758237
LINK,0.171300856787653,0,0,0,0,0,0,0,0.121712231758609,0,0.494904506156451,0,0.167681209898369,0,0,0,0,0,0,0
XLM,0,0,0,0.305054619490736,0,0.0955674805860729,0,-0.0000000000000000000067762635780344,0,0.282371148586404,0.143584116198747,0,0,0,0,0,0,0,0,0
LEO,-0.323584532798912,0.0299060651813628,-0.00700101920614809,0,0,0.0902965893730511,0.269683354509932,0,0,0.00692955484861145,0,0,0.00809097162177495,0,-0.00000000000000000346944695195361,0.293956529737858,-0.132529369303206,0,0,0.00775664532118237
XMR,0.0480986675522645,0.145339704401795,0,0,0,0.364464524902672,0,0.000875082389541513,0.0834016517454245,0,0.158664040601625,0,0.051021056542853,0,0,0,0,0,0,0.0349717081299847
BV010082.INDEX,-0.145733548060376,0,0,0,0,0,0.119531440995623,0,-0.140081124044811,0,0.0155020634537642,0.0532479363701361,-0.0635850339403144,0.0247173208594935,0.188237766976257,0,-0.0286618411137876,0,0.317726365583319,0.0329111731821772
CVIX.INDEX,0.134052102075325,0,-0.529239432044024,0,-0.607444281153604,0,0,0.396087149197947,0.477889046110936,-0.288293991405105,-0.0973845221247508,0.115388592882353,0.224713037983498,-0.134763739937132,0.287572280377462,0,0,0,-0.194366902564,-0.231992737648439
DXY.INDEX,0,0,0.0381104580781075,0,-0.0201525862654277,0,-0.0370583557939464,0.0504353122517,-0.0485288125671224,0.0171732399427153,0,0,0,0,0.000000000000000000433680868994202,0,0.020677566260651,0,-0.122849089217493,-0.00586194696556253
SPX.INDEX,0,0,0,0,0,-0.0421988559785221,0,0,0,0.050846373689621,0,-0.0215462479715667,0,-0.0400943541360024,0,0,-0.0886323842151541,0,0,-0.194890623001047
VIX.INDEX,0.0501171710940226,0,0,0,-0.268901285819722,0,0,0,0.308400310819456,0.166327579150842,0,-0.184801867678455,0.0276818884078442,0,0,0,-0.304723126272861,0,-4.01585813963932,0
