,BTC,ETH,XRP,DOT,BCH,BNB,LINK,CRO,LTC,BSV,ADA,EOS,TRX,XTZ,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0482729020445124,0,0,0.133294534513379,0,0.021927851194482,0.0309101870294489,-3.46944695195361e-18,0.183836660317172,0,0,0,0.0875183940688078,0.00963417322625838,0,0,0,0,0
ETH,0,0,0.412867234366581,0,0,0,0.0865795469592975,0.138685278032968,0.013038242283486,0,0,0,0.0173520664238353,0.0500162388642197,0.127957915854271,0,0.0173998355496881,0,0,0
XRP,0,0.12799253401391,0,0.0578478934378543,0.31722161544103,0,1.73472347597681e-18,0,0.0420860098574054,0,0.0549096527055292,0,0.0383633594466575,0.0219168513828224,0,0,0,0,0,0
DOT,0,0.389780041927103,0,0,0,0,0.181373810182887,0,0,-0.35418921577248,0.0993909756613517,-0.0708190117008734,0.250738553708203,0,0.150266867595948,0,0,0,0,-0.0309554274171034
BCH,0,0.0213030296101016,0,0,0,0,0,0,0.400823841671742,0.481931097928379,0,0,0,0.0317156479731483,0.00648184199263952,0,0,0,0,0
BNB,0,0.373405242812199,0,0.00388464541864386,0,0,0.129166322676734,0,0.259005017403874,0,0,0,-0.0769706630796903,0.0606691356630912,0,0,0,0,0,0
LINK,0,0.888286793285445,0,0.00869838785412724,0,0.321031156853641,0,0,-0.229182387919325,0,0.160592619552198,0,-0.0310567024362088,0.252375767088818,-0.103868521234018,0,0,0,0,-0.211087590996862
CRO,0.421225290408621,0,0,0.0065882281538869,-1.38777878078145e-17,0.0788501355518727,0,0,0.183074064012168,0.0098270712741212,0,0,-0.0207834930382895,0,0.0184261488239024,0,0.12413644347045,0,0,0
LTC,0,0.10985484548912,0,0,0.306553723041957,0,0.0708081147668491,0,0,0.136508855542315,0.0175828114294028,0.0456319767317965,0,0,0.0516599014853146,0,0,0,0,0
BSV,0,0.0428148171198723,0,0,0.678123038613708,0.0514211163950345,0,0,0,0,0,0.0870169526907063,0,0,0,0,0.0203566209819803,0,0,0
ADA,0,0.283217152808624,0,0,0,0.256588564077502,0.0336012850440322,0,0.140560244876308,0,0,0,0,0.150059367806373,1.38777878078145e-17,0,-0.0587434711679652,0,0,0
EOS,0,0.127614636827885,0,-0.0286000520876808,0.512327593180666,0,-0.022711988808517,0.20343055024489,0,0.0216614512341811,0,0,0,0.252033633378111,0,0,0,0,0,0
TRX,0,0.689201149509551,0,0.0684913668896285,-0.268989079267229,-0.0732999786017188,0.185800825280475,0,0,0.235491277437383,0,0,0,0,0,0,-0.163471665341014,0,0,-0.0958643876313047
XTZ,0,0,0,0,0.0451707539592082,0.102421567104979,0.252507019717378,0,0,0,0.16310810600657,8.67361737988404e-19,-0.0139467821490357,0,0.271178146964897,0,0,0,0,0
NEO,0,0.24169932702305,0,0.057712428928917,0,0,0.111012048325968,0,0,0,0.162496077535895,0.293224161235409,0.029822533596203,0,0,0,0,0,0,0
BV010082.INDEX,0.0041090498992065,0,0,0.0204575928078418,0,0.00381094282281109,-0.0220844876354095,0,0.0316742053311057,0,0,-0.029363866482637,-0.00374348893612869,0,-0.025063747977981,0,-0.0338040026960321,0,0,0.0110368422181505
CVIX.INDEX,0,0,0.084765686040426,0.0306347992036992,-0.207841573523226,0.0501885209199792,0,0.434095073636718,0,0,-0.042014552754275,0,0.101486321685574,0.00185527261629629,0,0,0,0,0,0
DXY.INDEX,0.0141254965238401,0,0,0.0112790405027292,-0.0638814714249017,0,-0.00660606119570467,0,0.0224773073469662,0,8.67361737988404e-19,0.0186416602663018,0.0124031921673798,0.0280519199094247,-0.0315469827934067,0,0.0109300353520763,0,0,0.00202114990971766
SPX.INDEX,0,0,0.00580134555423109,0.0164647344917333,0,-0.0257599810875634,0.0161432331918111,-0.0961975295850518,0,0,0,0,0.0632951102527951,0.0292912970941811,-0.0416179033019612,0,0,0,0,-0.0763633937739606
VIX.INDEX,1.53556869428247,0,0,0.0811402931337946,0,-0.155428407559805,0,-0.372888091261139,-0.484710895355192,-0.32021557519773,0,-0.0862743103675324,0.278009409019829,0.281814152286786,-0.192148783309023,-0.128229771911181,0,0,-2.20441959596936,0
