,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0735760216935059,0.0515070769622247,0,0,0,0,0,0,0,0,0,0.125944042937524,0,0.0679956755238862,0,0.00464359705981247,2.71050543121376e-20,0,0
X1398.HK.EQUITY,0,0,0,0,0.600334457786268,0,0,0,0,0,0,0,0.0892972316912258,0,0,0.0741730708263636,0,0,0.00548997281613618,0,0.0477118050001423,0,0,0.00568761283061981,0,0.00206798174627445,0,0.00365750607314743,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.188279873165721,0,0,0,0,0,0,0,0,0.1706514626409,0,0,0,0,0,0,0.225402641480414,0,0.0412588162337121,0.0749754956132806,0,0.0364367253184381,0,0,0.00878743330199688,0,0
X2318.HK.EQUITY,0,0,0,0,0.051219129859119,0,0,0,0,0,0,0,0.268690976429073,0,0,0,0,0,0,0,0.320545370608799,0.0635059721366764,0,0,0,0,0,-0.00373689536231966,3.46944695195361e-18,0,0
X939.HK.EQUITY,0,0.550468891582044,0,0,0,0,0,0,0,0,0,0,0.0766976955705005,0,0,0,0,0,0.106102495984598,0,0,0,0,0,0,0.0423008282008658,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0205690451791948,0.0486083576277581,0,0,0,0,0,0,0.394642133694337,0,0,0,0,0.0512608195116718,0,-0.0093717039379702,-0.00416935451094115,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907108609312552,0,0,0,0,0,0,0.10961162718657,0,0.0504391307522739,0.030205351064424,0,0.0568534856727055,0,0,-0.00831763926471242,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.142424108374685,0,0.0256012302231858,0,0,0,0,0.2272975303349,0,0,0,0,0,0,0,0,0.0180367465937835,-0.00396740121407277,0,-0.0332515754839877
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0469516680032514,0.103092706798798,0,0,0,0.0322486589119573,0,0,0,0,0,0.0649454688901563,0.07080379874803,0.0278578266720436,0,0.0037778642374594,0,0,0
X3988.HK.EQUITY,0,0,0,0,0.204336961740038,0,0,0,0,0,0,0,0,0.22012593955916,0,0,0,0,0.00886639353558967,0,0,0,0,0,0.10408786645433,0,0,0.00663503731065966,-0.00359230893435569,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35322513931035,0,0,0,0.0487614559633789,0,0.14893692125556,0,0,0.0326116687863583,0,0,0,0.00854643537225251,0.0017089173001679,0,0
X1299.HK.EQUITY,0,0,0,0,0.257793273649774,0,0,0,0,0,0,0,0.159600344392987,0,0,0,0,0,0,0,0.0241075219966977,0,0,0,0,0.035497242767336,0,-0.00535905287683747,0.0152084390629612,0,-0.00144725925621096
X2628.HK.EQUITY,0,0,0,0,0.169475840781542,0,0,0,0,0,0,0,0,0.371248178120477,0,0,0,0,0,0,0,0.236401296703873,0,0.230710737264641,0,0,0,-0.00354127912226519,-0.0387389435232398,0,0
