,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.169402715810558,0,0,0,0,0,0.0167222310993291,-0.0659853505719349,0,0,0,0,0,0.16100973338695,0,0,-0.075967487444989,0,0,0.146057220323756,0,0,0,0,0.00550513745814355,0,-8.67361737988404e-19
X1398.HK.EQUITY,0,0,0,0.0369833648024576,0,0,0,0,0.46578653374637,0,0.298363147724352,0,0,0,0,0.34407591215325,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.00293601155162115,-0.0170037198960985,0,0
X2318.HK.EQUITY,0,0,0,0.180907544739052,0,0,0,0,0,0,0.0628202860764439,0.216458400495528,0.221931081569708,0,0,0,0,0,0,0.0435240973744289,0,0,0,0,0,0.0227955911497769,0,0,-0.0126867030329029,2.16840434497101e-19,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262951691406967,0,0,0,0.0592157873854597,0,0.343334803276808,0,0,0,0.0687640613934997,0,0.00935721012315901,0,0.0134922488189575,0.0017242022932938,0,0
X939.HK.EQUITY,0.0876608229237208,0,0,0,0,0,0,0,0,0,0,0,0.146227213656231,0,0,0,0,0.0614599659816998,0,0,0.10717859596382,0,0,0.0849865158142265,0,0,0,0,0.0134291601262068,0.00865893503306682,0
X601939.CH.EQUITY,0.262600423812149,0,0,0,0,0,0,0,0,0,0,0,0.0663482564027829,0.104629152260803,0,0,0,0,0,0,0.0300048473958381,0,0,0,0,0,0,0.0107831345539254,-0.0120311948106048,0,-0.0447386178596633
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0910061737884191,0,0.0484462212144849,0,0,0.114034150719354,0,0,0.0196402785649352,0,0,0,0,0,0,0,0.00180828487541326,0.0160041358211703,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.09850418857727,0,0,-0.0861451308355647,0,0.0768355531949414,0.0387648640588742,0.205836941506654,0,0,0.00047711736719781,0.062959886240875,0,0.0285267215458058
X3988.HK.EQUITY,0,0.121414329545496,0,0,0,0,0,0,0,0,0,0,0.158616990094593,0,0,0,0,0,0,0,0.142442078365823,0.0361204658509844,0,0,0,-0.00455292433059406,0,0.000999242849712617,0,0.0232940300447126,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0294003299252726,0,0,0,0.0452334923910835,0.185225699198438,0,0,0.0322548749583952,0,0,0,0,-0.0310267533603413,0,-7.3849309553004e-05,0,0.0010763371754976,0
X600036.CH.EQUITY,0,0,0,0.525341477636132,0,0,0,0,0,0,0,0,0,0,0,0.228619213099372,0,0,0.110765282894901,0,0.0762028166685415,0,0,0,0.0113001370808626,0,-0.0923669052791354,0.00823920812830194,-0.0246649919409354,0.0272898672339967,-0.0161021777110947
X1299.HK.EQUITY,0,0,0,0.0721342379089173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194419442445677,0.366579204597675,0,-0.0542253021060605,0,0,0,-0.00484054419851089,0.0320915757114163,0.0371042357238884,-0.165636471695823
X2628.HK.EQUITY,0,0,0,0,0.139004856367345,0,0,0,0,0,0,0,0,0,0,0.714616551598708,0,0.162405724883222,0,0.00765191582516934,0,0.102625689531305,0,0,0,0,0,-0.00997676524082815,0.0168739285391927,0,0
X601628.CH.EQUITY,0,0,0,0.140936059980138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428860501600697,0,0,0,0.0373916291012165,0,-4.33680868994202e-19,0,0.0147379459284198,-0.0136461593657776,0.0385936996332373,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620268431436757,0,0,0,0.135529161836332,0,0,0,0.170758904463057,0.240691146220334,0.111312804782858,0,-0.0231235626407848,-0.0370221345350071,0,0
X3328.HK.EQUITY,0,1.09735615907732,0,0,-0.180529963717029,0,0,0,0,0,0.193604248979827,0,0,0,0,0,0.0498618594048922,0,0,0.0782495141202872,0,0,0,0,0,0.0615842039894924,0,-0.00586828015281494,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.0658323317029963,0,0,0,0,0,0,0,0,0,0.00767769560920355,0,0,0,0.453321302948629,0,0,0,0,0,0,0,-0.0090182198792794,0.0129929265472089,-0.0083079721302402,0
X601319.CH.EQUITY,0.181247289118783,0,0,0,0,0,0,0,0,0,0,0,0.50039973254273,0,0,0,0,0,0,0.429687834969671,0,-0.162367914298278,0,0.0978826256321766,0.0248767287938498,-0.03160925875779,0,-0.0216482837155029,-0.00205359563934819,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.138075721726136,0,0,0,0,0.0701860726688966,0.161311551984484,0,0,0.164570263071642,0.0986793891226819,0,0,0,0,0,0,-0.0047352398729504,-7.71131120183843e-05,0,0
X601601.CH.EQUITY,0,0,0,0.150669368750308,0,0,0,0,0,-0.323684334635985,0,0,0,0.179217102284418,0,0,0.022195575277314,0.0308683769742698,0,0,0,0,0.253418582730697,0.305799567372249,-0.105567030506426,0,0,-0.0137766939569115,0.0175563427221992,0.0233586610016439,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0973565551895458,0,0,0,0,-0.00706127437904728,0,0,0,0,0.624370394307608,0,0,0.318982970992246,0.115792898051978,-0.12722659975852,-0.0526100114742728,2.16840434497101e-19,0.0574817438928763,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.31193728071968,0,0,0,0.0142531131957331,0,0,0,0,0.0289637097684446,0,0.107833965652161,0,0,-0.00169186701079815,0,-0.00807115358971877,0.0478887358430068,0.0233670936257078,0
X000002.CH.EQUITY,0,0,0,0,0,-0.0963444405847116,0,0.43588935631701,0,0,0,0,0,0,0,-0.0440072501300274,0,0,0,0.497473451119556,-0.215907552530472,0,0,0.0831301620510566,-0.304585040360683,-0.0143405420978539,0,-0.0235871616235837,-0.00379386694444337,0.0589598237664465,0
X000001.CH.EQUITY,0,0,0,0.514267722852343,0,0,0,0,0,0.00807920917294598,0,0.0228840010452789,0.149747187498475,0,0,0,0.196714417314534,0,0,-0.0136982430417655,0,0,0,0,0,0,0,0,-0.00217316555261202,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.245883456271596,0,0,0.274644211551554,0,0.0124138618934871,0,0,0,0,0.104841369802459,0,0,0.148452683574785,0.0255963860703466,0,-0.128630527531212,0,0,0,-0.00487106802860123,-0.0111588489934641,0.0129915246338063,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052713145446863,-0.00900116160748381,-0.949800255375701,-0.826306511588826
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116279781076829,0,0,0,0.0146734075214636,0,0.100321921773836,0,-0.164388675189214,0,0,0
VXFXI.INDEX,0,0,0,0,1.90407948527183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.992986161087093,0,0,0.572874634033857,-5.8003611941277,0,0.173658850245088,0,-1.15836007134869
TED.SP,-1.27298246109613,0,-2.20659092276729,0,0,0,0,0,0,0,0,0,0,0,-0.0315946885023726,0,0,0,0,0.579601698051579,0.279945125953365,0,0.210604405931849,0,0,-1.18724822712822,-0.659026846951898,0.0363400421446686,0,0,0.0972306411892112
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,-0.0914513773682408,0,0,0,0,0,0,0,0,0,0.0553319311591642,0,0,0,0,-0.95630223667931,0,0.0260254098066851,-0.0198072141361478,0,-0.792153738426514
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,-0.144974057381211,0,0,0,0,0,0,0,0.0733158211494417,0,-0.364562793282736,0,0,0,-0.720594497905391,0,-0.018922634722353,0.00132489741764255,-0.691975390489922,0
