,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.332250902226702,0,0,0,0.086255244679698,0,0,0.017229782933179,0,0,0.167845522550183,0.00292584875729861,0,0,0,-4.33680868994202e-19,0,0.0503653443873961,0,0,0,0,0,-0.0210211953850778,0,0
X601398.CH.EQUITY,0,0,0,0.0612508586233499,0.417025793661846,0,0,0,0,0,0,0,0,0,0,0,0.0730375041247549,0,0,0,0,-1.73472347597681e-18,0,0.0977024019779889,0,0,0,0.00206142793590114,0,0,0
X2318.HK.EQUITY,0,0,0,0.478730945793724,0,0,0,0,0,0,0,0,0,0.1290119722556,0,0,0,0,0,0,0,0.0524741013842173,0,0,0,0,0.0438107556649672,0,-0.031685627121037,-0.0411653625945252,0.000982687579679516
X601318.CH.EQUITY,0,0,0,0,0.334017625481828,0,0,0,0,0,0.0804656002683103,0,0,0,0,0.0472719277989136,0.11916520502708,0,0,0,0,0.0947293071327941,0,0.365214074316508,0,-0.0155516952809585,0,-0.0253485024514658,0,0,0
X601939.CH.EQUITY,0,0,0,0.175157898753696,0,0,0,0,0,0,0,0,0.0308945169722897,0,0,0.220322895361472,0,0,0,0,0.0834565280583671,0.0290737910394963,0,0,0,0,0,0.00709093241558589,0,0,0
X939.HK.EQUITY,0.392950753018796,0,0,0,0,0,0,0,0,0.256572219439582,0,0,0,0,0.0108927384555585,0,0,0,0,0,-0.0203781785301943,0,0.157265496041465,0,0,0,0,-0.000312620444995567,0.0130591035323199,0.0341330587584183,0
X601288.CH.EQUITY,0,0,0,-1.73472347597681e-18,0.204737388114287,0,0,0,0,0,0,-0.031869777944543,0,0,0,0.146034796482526,0,0,0,0,0.00439427697465335,0.0551245802099398,0,0.145091917707691,0,-0.0148424571125867,0,-0.00743463253215765,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.00571135147283059,0,0,0,0,0,0,0.0689116500597052,-0.0168314071852167,0.128664103531557,0.267964361594345,-0.0176685165037325,0,0,0,0.0206480680794656,0,0,0.129792305615649
X601988.CH.EQUITY,0,0,0,0,0.111573168720664,0,0,0,0,0,0,0,0.140940183094314,0,0,0,0,0,0,0.100891435842572,0.0416538152054181,0,0,0,0,0,0,0.0115704766561836,-0.0163428924814294,0,0.0222700184459228
X3988.HK.EQUITY,0.372678739807206,0,0,0,0,0.219950241703378,0,0,0,0,0,0,0,0.157671677140024,0,0,0,0,0,0,-0.0204750001380726,-0.0320610818363721,0,0.0562538131921681,0,-0.0426174120195831,0,-0.00421302995311875,0.00215053737542283,0.00973929540578048,0
X600036.CH.EQUITY,0,0,0,0.376784180445288,0,0,0,0,0,0,0,0,0.0398425115696555,0,0,0.0767334050094871,0.0908407160849829,0,0,0,0.0527935934545335,0,0,0.236774710240616,0,0,0,0.0146041244509055,-0.0479181111249911,0.0257243982232871,0.132104696339462
X1299.HK.EQUITY,0,0,0,0.0509115371866493,0,0,0,0,0,0,0,0,0,0,0,0,0.0876176642670513,0,0,0,0.0437459376615156,0.0728561344560097,0.32900635122597,0,0,0.0601503388375993,0,0,0.0569197588912834,0,0.0591998780460385
X601628.CH.EQUITY,0,0,0,0.425846077422085,0.202849085874937,0,0,0,0,0,0,0,0,0.0522243693310942,0,0,0.23271053834904,0,0,0,0.152500883137474,-6.93889390390723e-18,0,0.291950990799199,0,0,0,-0.00803113368738321,0.00804439517944033,0.0767186266541726,0
X2628.HK.EQUITY,0,0,0,0.0140070938455068,0,0,0,0,0,0,0,0,0.243977327165911,0,0,0,0,0,0,0,-0.00252101142262098,0,0,0.327419885681321,0,0,0,-0.0371371277085658,0,0,-0.106756019281283
X3328.HK.EQUITY,0,0,0,0,0,0.0385941548861889,0,0,0,0,0,0.0731438912589082,0,0.186831785787536,0,0,0.0921809649452523,0,0,0,0,0,0.113710467269854,0,0,0,0,-0.00532146775504532,0,0.0328199841825715,0
X601328.CH.EQUITY,0,0,0,0,0.313946324675597,0,0,0,0,0,0,0,0,0,0,0,0.269804086661742,0,0,0,0,0.121931388781757,0,0.0244897998628406,0,0,0,0,0,0,0.0288332629657912
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.264452118856192,0,0,0,0,0,0,0.0623819764957516,0.00308342143884567,0,0,0.159222016236872,0,0,0,0.0160135688805044,0,0,0.0311230785759384
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00952885875803161,0.229344762877056,0,0,0,0,0,0,0,0,-0.0400574904785642,0,0.198822136097088,0,0,0.0107104868108484,0,0,0,-0.00746050903589518,-0.0573469673557342
X16.HK.EQUITY,0,0,0,0.00832026714813673,0,0,0,0,0,0,0,0,0,0.054655619070104,0,0,0,0,0,0,-0.0521557104099907,0.0709958378613793,0,0.0677191666676555,0,0,0,0,0.0305998712587035,-0.00949673809686385,-0.160878700317337
X600000.CH.EQUITY,0,0,0,0.152421877139963,0,0,0,0,0,0,0.239428391253948,0,0.0488842842998905,0,0,0,0.0561752963157895,0,0,0,0.0203853367515405,0,0.215037580552526,0.0577489347066482,0,0,0,0.00088039868834124,-0.0209515754392253,-0.001506939353543,0.0434279595895852
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.082142911418534,0,0,0,0.145325299865722,0,0,0,0,0.516882540817231,0,0,0,0,0,0.0238664383948605,-0.339786126259325,0,0
X000002.CH.EQUITY,0,0,0,0.592421672877225,0,0,0,0,0,0,0,0,0,0.175531704392755,0,0,0,0,0,0,0.0848548256581574,0,-0.263004407773637,0,0,0,0,0.0457333190746262,0.0248780071021579,-0.0429968623798436,-0.0519151525216525
X2388.HK.EQUITY,0,0,0,0,-0.0201734214284926,0.0892853258593477,0,0.0822593477070805,0,0,0,0.0424318175620066,0,0.0160246089329557,0.26715505156098,0,0,0.114099396813944,0,0,-0.0278185092105421,0,0,0,0,0,0,-0.0151527984693964,1.73472347597681e-18,0,0
