,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.0382683439958486,0,0,0,0,0,0.0466814509022854,0,0,0,-0.00915371551566501,-3.46944695195361e-18,0,0,0,0.381112921404282,0,0,0,0.0110270571551444,0,0,0,0,0,-0.00227979033260334,-0.0101396180096268,0,0.0385932057161228
X1398.HK.EQUITY,0,0,0,0,0.4608683510839,0,0,0.133295849517058,0.0640779345333446,0,0,0,0.0896080765526765,0,0,0.189401781727177,0,0,0,0,0.0176123013832006,0,0,0,0,0.0103288961015541,0,0.00319849957118195,0.0165867202731565,0,0
X601318.CH.EQUITY,0,0.17576379327667,0,0.201388978204077,0,0,0,0,0,0,0,0,0.103487921144225,0,0.0614017171107516,0,0,0.098603658517197,0,0.118199859986129,1.73472347597681e-18,0,-0.0212681887898453,0,0.016769368998238,0,0,0.0176314686383579,-0.0126213486763633,-0.039109647403399,0
X2318.HK.EQUITY,0,0,0.717412099907916,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0157215459896889,0.0277863663393796,0,0,0.0661025553525904,0,0,0,0,0.113004610154731,0,0,-0.0408379743152326,0,0.00591867481510423,0.00829941464701103,0,0
X939.HK.EQUITY,0,0.358359213486515,0,0,0,0,0,0,0.235518740913505,0,0,0,0.0196312958399079,0,0,0,0,0,0,0.062991745200859,0,0.117928633721792,0,0,0,0,0,0.0106511785782773,0.00512056777640434,0,0.0841570088946529
X601939.CH.EQUITY,0.0757589556411334,0,0,0,0.0545384471294608,0,0.233850396012753,0,0,0,0,0.0297781922814759,0,0,0,0,0,0.0255148698126822,0,0.0754868252661058,0,0.00649563028489192,0,0,0,0,0,-0.00965103349865686,0.0200380863476916,-0.0599545175977986,0
X601288.CH.EQUITY,0.180064209970769,0,0,0,0,0.320458475206704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200319243486297,0.0497551169804328,0,0,0,-0.0226482351627916,0,-0.000591853960530061,0.0131851348580878,0,0
X5.HK.EQUITY,0.014941341327591,0,0,0,0,0,0.28315698605178,0,0,0,0.201327021816307,-0.32493749200377,0.0702529988880825,0,0,0,0,0,0,0,0.0266930917003043,0.44520487772071,-0.00408071461785129,0,0,0,0,0,0.0141740345286377,0,0
X3988.HK.EQUITY,0,0.456523130245641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400645042701663,0,0.135959100696171,0,0,0,0,-3.06082632969154e-05,-0.00583627659420991,0.0438108963511166,0
X601988.CH.EQUITY,0,0,0,0.0117818614172387,0.0374784917335576,0.299680404919306,0,0,0,0,0,0,0.0819225058380411,0,0,0,0,0.029505870131368,-0.0070734484893111,0.0114738202288348,0,0,0,0,0,0,0,0,0,0,0.0572175114079103
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.222719024006156,0,0,0,0.111924540040863,3.46944695195361e-18,0,0,0,0,0.100338554806162,0,0.215329104583326,0.322562850272532,0,0,0,0,0,0,0,0.0116164714025257,0,0
X1299.HK.EQUITY,0,0.0626355774554635,0,0,0,0,0,0,0,0,0.0629831552986971,0,0,0.247010249040268,0,0,0,0,0,0,0.0630915677942104,0,0.161785050109245,0.261357464830732,0,0,0,0.0427695843394252,0.00337120071981067,0.140418976470931,-0.143231421249053
X601628.CH.EQUITY,0,0,0.304882827038797,0,0,0,0,0,0,0,0,0,0,0.280655452507648,0.0970801659121891,0,0,0.0406513594526961,0,0.0307733391191321,0,0,0,0,0.0727043404518366,-0.0838054675456448,0,0.0189579482269627,-0.0160382695061159,0.120040015606946,0
X2628.HK.EQUITY,0,0.0275239258730805,0,0,0.0211053886314958,0,0,0,0,0,0,0.0927422397864495,0.316469871240072,0,0,0,0,0,0,0,0,0.122572563775472,0.0686029951390909,0,0,0,2.71050543121376e-20,-0.00091373307608391,-0.015769788310969,0,0.0581698091592004
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.172775975185241,0,0,0,0,0,0,0.0301557190218157,0,0.168881862026723,0.142664756683141,0,0,0,0.207781872176704,0,0,0,-0.0088591972156138,-0.0181623994931349,0
X3328.HK.EQUITY,0,0.337732054796881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227267566428318,0.154860808247048,0,0,0,0,0,0.0164369968409928,0.00826445284807167,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00282049551070608,0.0232092667709027,0.133793177826327,0,0,0.167153121915397,0,0,0,1.0842021724855e-19,0,0,0.0577263186397294,0,0,0.00273871396137086,0.0262505515416694,-0.00787514593144065,0.0264387521930971
X600000.CH.EQUITY,0,0,0.230754977251957,0,0,0,0,0,0,0,0.189073428713947,0,0,0,0.165668203894383,0,0,0,0.103990973920845,0.128250112453399,0,0.0469122102319691,0,0,0,0,0,0,0.0139189979817059,-0.00758117212731578,0.102460930727263
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721158380477223,0.292581653095414,0,0,0.0811858688110885,0.0735726051116272,0.0736997363307999,0,0.0120491407510699,0.0109727658936949,0,-0.0662451631255089
X000001.CH.EQUITY,0,0,0.211853654561263,0,0,0,0,0,0,0,0.363012047736069,0,0,0,0,0,0,0,0.236306306913164,0,0.423808648979329,-0.150101883937105,0.111082382422278,0,0,-0.00360263057093962,0.113415507299239,-0.0111116151304381,0,-0.0981275442872931,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0239797444861012,0.286543960672541,0,0.217539440857789,0.459372796909982,0,-0.0683827311901186,0,0,0,0,0.0776215106927919,0,0,0,0.0489259591845413,-0.0487492523764656,0.0103362941911515,0,0.0300808711428821
X16.HK.EQUITY,0,0,0,0,0.32576210638577,0,0,0.234965185892923,0,0,0,0.520755006309384,-0.0783325359595741,0,0,0.212355038692643,0,0,0,0,0,0,0,0.0410362730388952,0,0.073075134436694,0,-0.0671575397990968,0.00596249277504842,0.058926099985933,0
X688.HK.EQUITY,0,0,0,0.0186883159974467,0,0,0,0,0,0,0,0,0,0.412656458597903,0,0,0,0,0.350405001410667,0.0123328621356839,0.0517992405872102,0,0,0.271747386578683,0,-0.123613308453698,0,0,0.00548245543688815,0,0.0855262277778937
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.528918701321272,0,0,0,0,0,0,-0.0666924472062658,0,0,0.0312288408923148,0,0,-0.0331888446709137,0,0,0.0191969724802373,0.0723055306564496,-0.0582016647526996,0
X601319.CH.EQUITY,0,0,0.442822774570208,0,0,0,0,0,0,0,0,3.46944695195361e-18,-0.265936042761474,0,0,0,0,0,0.576522297995625,0,-0.0650906243921463,0,0,-0.195900395596745,0,0.742504263786654,0,0.0218499725561339,0,0.615574173858142,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821150826000343,0,0,0,0,0,0,-0.0138146740820221,-0.913911664509717,-0.690878307333023
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.00572621927663557,0,0,0,0,0,0,-0.193271099521185,0,0,0.138912510238808,0,0,-0.013102483976086,0,-0.163766760494486,-0.057807234502241,-0.0628591545629651,0
VXFXI.INDEX,0,0.956861460508099,0,0,0,0,0,0,0,0,0,0,-0.57053603264671,0,0,0,0,-0.350127033193945,0,-0.225614867774475,0,0,0.849472218813962,0,-0.452216623688431,-0.601967304574706,-4.89366662702175,0,-0.318126949331402,-0.686617884143424,0
TED.SP,0,0,-1.25459781695252,0,0,0,0,-0.485587037574563,0,0,0,0,1.31268734028515,0,0,0,0,0,0,0,0,0,0,0.215917621114621,-0.0191439074006448,0,0,0,0,-0.1703951394216,0.480299945218736
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.749982453205421,0,-0.0447964519311128,0,0,-0.520506553396472
CREDIT.SP,0,0,0.0463777703021992,0,0,0,0,0,0,0,-0.0523546087121111,0,0,0.209396744339362,0,0,0,0,-0.0510800680135856,0,0,0,0,0,0,-0.66388181505929,0,0,0.0365105706919761,-0.63476604194887,0
