,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0.00203750728779117,0,0.00393175670697,0.302018077668674,0.0632224389751636,0,0,0,-0.137072267580476,0,0.016466045968173,0,0,0,0,0,0,0,0,0,0,0,0.0102011564241541,0,0
X1398.HK.EQUITY,0,0,0,0,0.616896606091519,0,0,0.150154263854606,0.0110635409301842,0,0.0203758648625946,0,0,0,-0.193944762183944,0,0,0,0,0.0310241636136938,0,0,0,0,0,0,0,0,0.012115553112842,0.0330026301364836,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0198957407878135,0,0.253565479131714,0,0,0,0,-0.0542888653234619,0,0.0843925391964022,0,0,0,0,0,0,0.0921871800929519,6.93889390390723e-18,0,0,0,0,0.00542757296085314,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.145703060854701,0.0371973958323759,0,0,0,0.0527545286351506,0.0924016266847473,0,0,0,0.0196136833640329,0,0,0,-0.0524518603931543,0,0,0,0.0266787480104895,0,0.00598466155570068,0.00384488004912664,0.0256993661003503,0
X939.HK.EQUITY,0,0.303004763343328,0,0,0,0,0,0,0.024876258561019,0,0,0,0.1319312914925,0,0,0,0.110468204254525,0,0,0,0,0,0,0,0,0,0,0,-0.00389190011658066,-1.0842021724855e-19,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.911807769644615,0,0.0267497229952615,0,0,0,0,0,0,0,0,0.0328803585093933,0,0,0,0,0,0,0.0707485815268761,0,0,0,-0.0044713596613842,0.0167591710408061,0
X601288.CH.EQUITY,0,0,0,0,0,0.721800668750097,0,0,-0.0214696586620081,0,0,0,0,0,0,0,0.0104926245138945,0,0,0,0,0,0,0,0.0921172180713584,0,0,0.00327714907928131,0.0108719481255295,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0.263772613412945,0,0.236329180669704,0,0,0,0.113337717415712,0,0,0,0,0,0,0,0,0.0720733675765119,0,0,0,0,-0.0032621260941516,0.0706115892503683,-0.190580233098621
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.441013172148095,0,0,0,0,0,0,0.111096181197587,0.437980554283531,0.0807566442439773,0,0,0,0,0,0,0.278180987741378,0.211243477361001,0,0.126892875830047,-0.236453993961206,0.018451162552827,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.256741766061235,0,0,0.00436438433288187,0,0,0,0.11001780018219,0,0,0,0,0,0,0,0,0.240208351613622,0,0,0.0879783263832245,-0.0408517212965427,0,0,0.0166003031001418,0.0370611966556317,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0.07165138671173,0,0,0,0,0,0.119945917160343,0.00842823973406574,0,0.0246104162262816,0,0,0,0,0,0,0,0.127488632095898,0,0,0,0.00536835969225999,0.0278776339746436,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,-0.0144195417122087,-1.73472347597681e-18,0,0,0,0,-0.0112197262874116,0,0,0,0.633851007915317,0,0.127646666459704,0,0,0,0,0,0.0890667555823549,0,0.062335133683861,0.0278649090558536,0.0533743020286158,0
X1299.HK.EQUITY,-0.0825846480596056,0,0,0,0,0,0,0,0.242192913948118,0,0,0,0,0.363756425137336,0,0,0.000381361900749627,0,0,0,0,0,0,0,0,0.0016636909909878,0,0.0197982964781302,0.0048451725339491,-0.0248563698839003,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,3.46944695195361e-18,-8.67361737988404e-19,0,0,0.294816310659804,0,0,-0.0782362193795283,0,0,0.113175415359354,0,0,0.0944137979303278,0,0,0,0,-0.118912886391264,0,-0.00152899797895687,0.0970014345264915,0.138263629830179
X388.HK.EQUITY,0,0,0,0,0,0,0,0.105906053728015,0.151951581955137,0,0,0,0.0406100057260034,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.194127072520471,0,0,-0.0616731538842559,0,0.477541593985271,-0.118790991109884,-0.0325184722865466,0.0421110622643585,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0.287696160416541,0,0,0,0,0,0.0161771217515607,0,0.463158335689204,0,0,0,0,0.125360816144893,0.0425681400208184,0,0,0.0995997116322047,0,0,-8.67361737988404e-19,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0890027564413837,0,0.059822945499278,0,0.258144510435253,0,0.0337053324704225,0.994589737344341,0,0,0,0,0,0,0,0,0,0,0,-0.0120881903023505,-0.01192318972592,0,-0.00161422168680104
X601166.CH.EQUITY,0,0,0,0,0,0.000841177376669423,0,0,0.0483590476216187,0,0,0.751977149884465,0,0,0,0,0,0,0,0,0,0.249350289512603,0,0,0,0.0127132038859796,0,0,0.00514640762094181,0,8.67361737988404e-19
X000002.CH.EQUITY,0,0,0,0,0,0.0724971258900838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199901078995419,-0.0187504029858118,0,0.167065518877682,-0.0143760569738398,0.0460775099829491,0
X3328.HK.EQUITY,0,0.133851950362195,0,0,0,0,0,0,0,0,0.0846825344167745,0.0455025174957903,0,0,-0.142670463128003,0,0,0,0.123738831305692,0,0,0,0,0,0,0,0,-0.110028942416357,0.0103981287066308,0.0165519597334799,-0.0279110748711855
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.11380372440649,0,0,0,0,0,0,0,0,0,0,0,0.0089631985135173,0.150609851676719,0,0.132900452840884,0.00996496483553468,0,0.0339426428514914,0.00909103901372159,0,-0.0123057570459153
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0.196625810262918,0,0,0,0,0,0,0,0.16830036530482,0.12736864731501,0,0,0,0,0.12438661546432,0,0,0.0214253600773442,0,-0.0219825198058206,0.00978206473475853,-0.0351391930118825,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0.0455920406527219,0,0,0,0,0,0,0,0.10171360458185,0.157221479633157,0,0,0,0.324788722839948,0,0,0.0710452062499578,-0.103091370078968,0,0,-0.0189718730558915,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.226775728377331,0,0.0334484592500022,0,0,0,0,0,0.010944401751422,0,0.117282874465396,0,0,0,0,0,0.394903296433532,0,0,0.0119338453770255,-0.00733777899976644,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0.111502047354522,0,0,0,0,0,0,0,0,0.0786142662264062,0,0,0,0,0.129784297256488,0,0.387012569991139,0,0,0,0.0572121875259905,0.0354020497923298,0.0214628019319623,-0.00971428783290671
CGB3M,0,0,0.255018146945884,0,0,0,0,0,0,0,0,0.134423693580088,0,0,-0.160214176067428,0.0158498210087406,0.141577050327909,0,0,0,0,0,0,0,0,0,0,-0.0319883024092156,0.0239984580623521,-0.870625640669973,-0.458467446183788
FXI.US.EQUITY,0.110529842665728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136974882257342,0,0.119599832829816,0,0,0,0,0,0,0,0.115495168198756,0,0,-0.0351437706723674,-0.00168936959750995,0.0456116213549028,0
