,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0.00234849657859673,0,0,0,0.303789555715149,0.0611392279388062,0,0,0,-0.129973645959487,0,0.0182497471262681,0,0,0,0,0,0,0,0,0,0,0,0.010155145322729,0,0.000273779680406482
X1398.HK.EQUITY,0,0,0,0,0.240626528732741,0,0,0.104993841144261,0,0,0,0,0,0,0,0,0.0476147064669775,0,0,0,0,0,0,0,0,0.00427418764433134,0,0,0.00342615481524282,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0800633577475203,0.300301465434941,0,0,0,0,-0.0484383186637358,0,0.0953173812530531,0,0,0,0,0,0,0,0,0,0,0,-0.00560956436903038,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.06734972589033,0.0918988203896843,0,0,0,0.16503475824611,0.0412187236680221,0,0,0,0.017987267206183,0,0,0,0,0,0,0,0,0,0.00744946674402802,-0.00437597364724832,0.00904976906803937,0
X939.HK.EQUITY,0,0.165697586276623,0,0,0,0,0,0,0,0,0,0,0.244032008173872,0,0,0,0.078556124948772,0,0,0,0,0,0,0,-0.0417476183488222,0,0,-0.0341177723905846,-0.00201464532261121,0.0071696579986616,-0.0279185947107195
X601939.CH.EQUITY,0,0,0,0,0,0,0.946715399667828,0.0459288010809485,0,0,0,0,0,0,0,0,0,0.0437532266995758,0,0,0,0,0,0.0412365498439381,0,0,0,0,-0.0063194661771287,0.0107198327411461,0
X601288.CH.EQUITY,0,0,0,0,0,0.817976517910687,0,-0.0330450327035679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610071105523969,0,0,0,-0.00784798894228629,0.000813456171265748,-0.00424323437080409,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.794037532876758,0,0,0,0,0,0,0.463190526925578,0.0129104742022176,0,0,0,0,0,0,0,0,0,0,-0.135258190133308,0.0115070882807319,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.281390074380355,0,0,0.236432806169679,0,0,0,0.159892828834406,0,0.0270621287667105,0,0,0,0,0,0,0,0.0402813640296441,0,0,0,-0.0140506608826178,0.0834218171492662,-0.132027502357049
X600036.CH.EQUITY,0,0,0,0,0,0.478677640147094,0,0,0.0287648622171794,0,0,0,0.085059156039429,0,0,0,0,0,0,0,0,0.0593193192739723,0.0910845203124857,0,0,-0.0188590984656635,0,0,0.00669222097694645,0.0166745157879384,0.0162441957604762
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0.0764603508548719,0,0,0,0,0.149876286138599,0,0,0,0,0,0,0,0,0,0.130538525602166,0,0,0,0,0,0.0134596404744179,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.0627952626259667,0,0,0,0,0,0,0,-3.46944695195361e-18,0.843296761085234,0,0,0,0,0,-0.052571671660897,0,0.0113544652312875,0,0.0171417573245978,-0.00370234109311182,0,-0.0131536174694771
X1299.HK.EQUITY,0,0,0,0,0,0,0,0.242905309177826,0,0,0,0,0,0.462222767693102,0,0,0.0140099294134592,0,0,0,0,0,0,0,-0.111829505261274,0.0552094229379289,0,0,-0.00259332454272706,0,0
X5.HK.EQUITY,0,0.0583440494830761,0,0.244689589047801,0,0,0,0,-0.229245126418719,0.252730757985739,0.103413930153334,0,0.298709678244909,0,0,0,0.0420640743103373,0,0,0,0,0,0,0,0.0253853533075798,0,0,-0.0422056137434837,-0.000272861296174061,0.0819100055302835,0.0696131738280408
X388.HK.EQUITY,0,0,0,0,0,0,0,0.232885910682759,0,0,0,0,0.114934379722613,0.126261468425831,0,0,0,0,0,0,0,0,0,-0.0540856546711609,0,0,0.142454432275787,-0.14762952691105,-0.0469009475544564,0.0474072456557068,-0.00400801197118961
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.191546474693081,0.128782778146731,0,0,0,0,0,0,0,0.472273616680904,0,0,0,0,0,0.202491792205244,0.0908281393280202,0,0.0289333179491065,0,0.066176996016854,-0.0227687555060771,0,-0.0302720413669177
X601066.CH.EQUITY,0,0,0,0,0.182078658411155,0,0,-0.0455205724539231,0.0971617955582166,0,0.0848666359011752,0,0,0,0.085518447556333,0.913073038857127,0,0,0,0,0,0,0,0,0,0,0,-0.01384087279282,-0.0299450064757942,0,-0.0201458205783237
X601166.CH.EQUITY,0,0,0,0,0,0,0,0.0489858755265011,0,0,0,0.76262689664064,0,0,0,0,0,0,0,0,0,0,0.210471076722775,0,0,0.00656277501144865,0,0,0.00546239302780929,0,-0.00470622796144996
X3328.HK.EQUITY,0,0,0,0,0,0,0,-0.0343922887168162,0,0,0.0763181430073991,0.061731916599955,0.199557550337778,0,-0.0824336936385461,0,0,0.0243311452133849,0,0,0,0,0,0.0327845568404486,0,0,0,-0.0895309757548604,0.00106655871478194,0.00698204933050502,-0.0811912992103345
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.14831837211705,0,0,0,0,0,0.0102545455131813,0,0.00544608727049134,0,0,0,0.1504758080107,0,0.0979792610237663,0,0,0,0.0327227482997522,0.00389537899717169,0,-0.027332956049822
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542991125465436,0,0,0.222071840029207,0,0,0,0,0,0,0,0,0,0,0.0623978572258993,-0.00457454145923218,0.0889028691471255,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0104758891535763,0,0,0,0,0,0,0,0,0,0,0,0.0440613958381516,0,0,0.67696167666404,0,0,0,0,0,-0.00711660481957131,0.00164396190804522,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.080302563664896,0,0.16107344159091,0,0,0,0,0,0,0.126678150926412,0.184074612756633,0,0,0,0.0442641868410634,0,0,8.67361737988404e-19,0,0,-0.037911781947774,-0.00861590198173604,0,0
X601319.CH.EQUITY,0,0,0,0,0,3.46944695195361e-18,0.106739411533006,0,0,0,0.0443957254860037,0,0,0,0,0.0209513689478851,0.0892708804000764,0,0,0,0,0,0.0208338131236908,0,0.647189537191581,0,0,0.0332357226986961,-0.0145750460013468,0,-0.144690100113224
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.166480433559842,0.165639240768229,0,0,0,0,0.0437440344223528,0,0,0.0814115860569023,0,0,0,0,0,0.118407603007556,0.279277269195696,0,0.0523440982174987,0,-0.117720723938533,0.0206942707486035,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0.203039555043946,0,0,-0.0131021068807604,0,0.0436146379848786,0.145436036716943,0,0,0,0,0,0,0,0,0,0,0.0256024292155246,-0.746545133544331,0
FXI.US.EQUITY,0.00957523259657211,0,0,0,0,0,0,0.0349529905855448,0.0523821729325906,0,0.215721062897255,0,0,0,0,0,0.0166176748292892,0,0,0,0,0,0,0,0.0900757960557816,-0.00495149388909391,0,-0.0785723197890704,0.00191664923623134,0,0.0316230920348739
