,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.117899642501438,0,0,0,0,0,0.0529884926100635,0,0,0,0,0.0603232078740814,0.0190860344980865,0,0,0,-0.0184403792020983,0,-0.0101627562919876,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.242135391916372,0,0,0,0,0,0,0,0.0213853951500348,0,0.076431638495616,0.0287053784983176,0,0,0,0,0,0,0.0771540832273358,0,0.0661577491642973,0,0.0124455533280925,-0.0418811243652758,0.0499510265203148,0
X2318.HK.EQUITY,0,0,0,0.489630257046048,0,0,0,0,0,0,0,0,0,0.0652736601165096,0,0,0,0,0,0,0,0.0903428607627811,0,0,0,0,0,-0.00951854017166792,-0.0244763668393975,-0.0658599824187869,0
X601318.CH.EQUITY,0,0,0.347129023700849,0,0,0,0,0,0.00895358591688034,0,0,0,0.235291913038931,0,0,0,0,0,0,0,0,0.151463076174364,0.167263952414552,0,0,0,0,-0.0248281032692786,-0.0133338875761572,0.00380030404551245,0
X601939.CH.EQUITY,0,0,0,-1.35525271560688e-20,0,0,0.565301676976199,0,0,0,0.19539462309758,0,0,0,0,0,0.0520809255459702,0.055949933381584,0,0,0,0.0709841273484419,0,0,0,0,0,0,0.00152690384538379,9.93392086223444e-06,0
X939.HK.EQUITY,0,0.643156960730347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796461518273221,0,-0.0431611185245582,0.0348862150686426,0,0,0,0,0.0714130259178403,0,0,0,0.00618411494751388,0,0.0214217349135429,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.192276834021086,0.109386682468957,0,0,0,0.348897430099077,-1.73472347597681e-18,0,0,0,0.00284696846057618,0,0,0,0.0391735530253488,0,-0.0018566941675745,0.0294057926220646,0,-0.0467565308080811
X5.HK.EQUITY,0,0,0,0.0117438931787456,0,0,0,0,0,0.0437059660533868,0,0.0554524640436751,0,0.0784535966624733,0,0.15562201000344,0.0665265202288115,0,0,0,0,0,0.00446375056563451,0,0,0,0,0.00893073463126667,0.0032810286195331,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062042375584967,0,0,0,0,0,0,0.147753123397948,0,0,0,-0.0216696082047419,-0.0280101857305967,0.0441868608114642,0
X601988.CH.EQUITY,0,0,0,0.143032496728806,0.0805836117302726,0,0,0,0,0,-1.73472347597681e-18,0.0934273128949882,0.0199289316029393,0,0,0,0,0,0,0,0,0.0458821681580698,0.0685542152941066,0.134316903414092,0,0,-0.0294676505110901,0,0.00821726642915156,0,0
X600036.CH.EQUITY,0,0,0,0.304943167851556,0.127069350048485,0,0,0,0,0,0,0,0.010409308635141,0,0,0,0.239420219697583,0,0,0,0,8.67361737988404e-19,0.104532753668127,0,0,-0.0860773476756564,0,0.0122383299232812,-0.0663648046615078,0.0265173503894238,0
X1299.HK.EQUITY,0,0,0,0.18360932258586,0,0,-0.087150698365512,0,-0.0724128981482195,0,0,0,0,0,0,0,0,0,0,0.418721462811469,0.143151416976995,0,0,0.241021971404952,0,0.0483343167778098,0,0.014051601226148,0,-0.0124068612951341,0
X601628.CH.EQUITY,0,0,0,0.312256953158625,0,0,0,0,0,0,0,0,0,0,0,0,0.276154653716013,0.204480349328768,0,0,0,-0.0202269525903757,0.478406725209214,0,0,0,0,-0.00448960801479326,-0.0248927776759539,0.0480604900183501,-0.124580012599008
X2628.HK.EQUITY,0,0,0.439399239790759,0.0809235372120028,0,0,0,0,0,0,0,0.0267545125523847,0.199566327737238,0,0,0,0,0,0,0,0,0.0465020555090194,0,0.0462950095340647,0,0,0,0,-0.00359084307618293,0.0115991115555868,0
X601328.CH.EQUITY,0,0,0,0,0.186933094100612,0,0,0,0,0,0.157600148114086,0,0,0,0,0,0,0.0324624184474162,0,0,0,0.0161850734655842,0,0,0,0.0205553735620039,0,0.00139526294405112,-0.0218741749639813,0,0
X3328.HK.EQUITY,0,0,0,0.0333972281753175,0,0,0,0,0,0.0525339352658853,0,0,0,0.132706795121326,0,0,0,0,0,0,0,0,0,0.210263433732581,0,0,0,-0.00690751637893164,-0.0378643043526039,0.0538724098971747,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.247200122581007,0,0,0,0.0598366847685027,0,0.161133274213378,0,0,0,0,-0.108031872726406,0.345156535828867,0,0,0.0410600826523507,0,0,0,0,-0.0768452354110004,-0.0080946902038422,-0.00573004779670349,-0.0205047121815908,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.58158077285301,0,0,0,0,0.0698799966042427,0,0,0,0,0,-0.286315283315169,0.201512279848636,0,0.381954151207484,0.324235225958393,0,0,0,0,-0.00866038073291749,-0.123767134035659,-0.106724755733751,-0.339474617449052
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00952261361449861,0.0589976475595603,0,0,0.66022531204699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437073548207796
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.210617782638914,0,0,0,0,0,0,0,0,0,0.179587055964039,0,0,0,0,0,0,0.0936798422025373,0.000964922765328718,0
X11.HK.EQUITY,0,0,0.12351833520284,0,0.409349893995278,0,0,0,0,0,0,0,0,0,0,0,0,0.0769754703050153,0,0.106422211509816,0,0.0565214169376839,0,0.0225446768944782,0,0,0,0.00290609315438439,0.00723824771821116,-0.0317359764653021,0
X000002.CH.EQUITY,0,0,0,0.253772789614941,0.138356381086987,0,0,0,0,0,0,0,0,0,0,0,0,0.199473135587919,0,0.4926808825139,0,0,0,0,0,0,-0.177555537584772,0,0,0,-0.0748492133329851
X601601.CH.EQUITY,0,0,0,0.0392569618870569,0,0,0,0,0,0,0.259206327963934,0.0658287663214971,0.357195403720447,0,0,-0.0695916549673473,0,0.0228041481252933,0,0,0,0,0,0,0,0.0443355358559948,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0.185374936443388,0,0,0,0,0,0.464365611707797,-3.46944695195361e-18,0.113009284940435,0,0,0,-0.0279155889818428,0,0,0,0,0,0,0,0.0477747689410635,0,-0.0248716299485659,-0.0319227783858594,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0180608507630787,-0.0831726900092939,0,0,0,0.346812092883842,0,0,0,0,0,0,-0.0387236184693676,0,0,0,0,0,0.00480137971058731,0.0110157879451537,-0.145748179248732
CGB3M,0,0.272775773213053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.188395610512655,0,0,0,0,0,0,0,0,-0.00851815233881703,-0.0546016837810323,-0.868518041317882,-0.452770999063096
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.201039074407665,0,0,0,0,0,0,0,0,-0.15458871273777,0,0,0,0,0,-0.254252887286838,0,0.080900007526113,0
VXFXI.INDEX,0,0.537922061668293,0,0,0,0,0,0,0,0,0,-0.487300412372798,-0.228318019456563,0,0,0,0,-0.447268345664254,0,0,0,-0.0049694808913927,-0.261155009229518,-0.263296920605595,0,1.38777878078145e-17,-3.71299385481044,0,0.0699514047571877,0.510847118218503,0
TED.SP,0,0,0,0,-0.141990268458756,0,0,0,0,0,0,0,0,0,-0.425344343028127,-0.685827518627622,0,0.00330994405912809,-0.263379689872007,0.0868586621728955,0,0,0,0,-0.879034835783931,0,0,-0.16869039526022,0,0.337871273900137,-2.16840434497101e-19
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0.126620386585967,0,0,0,0,0,-0.145436679809834,0,0,0.0347562700717099,0,0,0,-1.08898797483037,0,0.00691562011611046,1.73472347597681e-18,0,-0.228482116609496
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0.238379412357422,0,0,0,0,0,0,0,-0.316391977437726,0.0400709878841796,0,0,0.121118220464352,0,0,-0.391371902259628,-0.0278233886141737,-0.0563387866304,-0.0645651452423455,-0.519277702195622,0
