,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0.223877440138202,0,0,0,0,0,0,0.311187480054055,0,-8.67361737988404e-19,0,0,0,0,-0.00372442246714517,0.00432764638387519,0,0,0.0945952475326544,0,0,0.0448835002172402,3.46944695195361e-18,0,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.0042404376775884,0,0,0,0,0,0.0780380313292611,0,0,0.119939851000644,0.525622068263278,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.0180047466014581,0,0.00743209775995027,-0.0230046314434727,0,0
X2318.HK.EQUITY,0,0,0,0.279349396152142,0,0,0,0,0,0,0,0,0.24132097271771,0,0,0,0,0,0,0,0,0,0,0,0,0.0276970028790138,0,0.00294850072403935,-0.0202599845292669,0,0
X601318.CH.EQUITY,0,0,0.267266107664755,0,0,0,0,0,0.0624093442472206,0,0,0,0,0.264798625729082,0,0,0.14882850261545,0,0,0,0.0295406047376834,0,0,0,0.0355858923398682,0,0,-0.0140223788313333,-0.0232394614444099,0.00362295272618042,-0.0636456381929093
X939.HK.EQUITY,0.0808146357555306,0.379283367040844,0,0,0,0.000433932755941668,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0217160335845,0.201701953668666,0,0,0,0.00619392101815251,-0.0233736233403177,0.0299082486224141,0.0657256484550434
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.607677496909754,0,0,0,0,0,0,0.332583389861846,0.142801413016711,0,0,0,0,-0.165442291088434,0,0,0.0267443250232242,0,0.00923824578743326,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0625578514589367,0,0,0.0599023884470438,0,0,0.250443343789846,0,0,0,0.13720981449931,0,0,0,0,0.0163120145890035,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0667061440986105,0.165186809851189,0,0.0299190749210944,0,0,0,0.101291973831793,-0.0265224639067188,0,0,0,0,0.0579317237808083,0,0,0,-0.0301039664238656,0,-0.0169347906051164,0,0
X3988.HK.EQUITY,0,0,0,0.191498685990983,0,0,0,0,0,0,0.10899002214183,0,0,0,0,0,0,-0.148165907407819,0,0,0.013649663794599,0,0.101974818522406,0,0,-0.0120309112250926,0,-0.000129397254233838,-0.0134214866495754,0.0112791822866795,0
X601988.CH.EQUITY,0,0,0,0.0964180313375761,0,0,0,0,0,0,0,0,0,0.0773132771484186,0,0,0,0,0,0,0.140098346893105,0.0387694106182738,0,0,0,0,0,0.00754702277041283,0,0.0217256208437906,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0235315412282955,0,0,0,0,0.10555035931696,0,0,0,0,0.196992555846301,0,0,0,0,0.354662517763779,0,0.0338069879563563,0,0.0142402872410132,0.0058406803925145,0,0
X600036.CH.EQUITY,0,0,0,0.152705845563562,0,0,0,0,0,0,0,0,0,-0.0344328824361311,0,0.260361921458836,0,0.109501579068666,0,0.151658501616509,0,0,0,0,0,0,-0.0493409061048727,1.73472347597681e-18,-0.0219480997880871,0.0555312974483103,0.145661457756487
X2628.HK.EQUITY,0,0,0.545473307266536,0.0739432807090057,0,0,0,0,0,0,0,0,0,0.190080013046832,0,0,0,0,0,0,0.00733909367926376,0,0,0.0271815212233226,0,0,0,0,-0.00255555905317057,0.0067839661732153,-1.73472347597681e-18
X601628.CH.EQUITY,0,0,0,0,0,0,0.081135429156671,0,0,0,0,0,0,0,0,0,0.153883065088966,0.277453498161721,0,0,0,0,0.671326700110154,0,0,0,-0.0019385664269165,0,-0.058503883021328,0.124667244442242,0
X601328.CH.EQUITY,0,0.0838510727696689,0,0.155324827183456,0,0,0,0,0,0,0,0,0,0,0,0.0812821552385402,0,0.0949942209096336,0.332674187399032,0,0,0,0,0,0,0.107777342254193,0,-0.00690348424620448,0.0324936301526204,-0.0669082727429623,0
X3328.HK.EQUITY,0,1.19727391284871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0865083408898352,0,0,0.0062047658088681,0.0351969526314803,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.253324851288567,0,0,0,0,0,0,0.114622405853643,0,0,0,-0.0537003940071143,0,0.427123248627025,0.035143990820542,0,0,0,0,-0.0127888957868831,-0.129143606097286,-0.0198202796789179,0,0,0.0408286010298111
X601319.CH.EQUITY,0.0512701898738674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666747758115656,0,0,-0.0293160392065564,-0.206691702209383,-0.0686627100730957,-0.0888014709444977,0,-0.436275042009482
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.338260686558982,0,0,0,0.038129945393236,0,0,0,0,0,0.161837376922632,0,0,0.104209259252664,0,0,0,0.0157068959327425,0.0614608784195954,0.00712109455074819,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.106152191275436,0,0,0,0.0792637312283545,0.183077514154471,-0.143461951057361,0,0,0,0,0.141908633447205,0,0,0,0,-0.0135635317885885,-0.00533922672923634,0,0.135674543216896
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281407515122615,0,0,0.126287798485708,0,0,0,0,0,0,0,0,0,-0.125981117135322,0,-0.127199899563108,0.0711962247409881,0
X11.HK.EQUITY,0,0,0.215513506951891,0,0,0,0,0,0,0.464584941707382,0,0,0,0,0,0,0,0.0230872344213418,0.0481156132821947,0,0,0,0,0.0273274759907542,0,0,0,-0.00561842651849666,0.00334531595090524,0,0
X601601.CH.EQUITY,0,0,0,0.0936986698138579,0,0,0,0,0,0,0,0,0,0.441593405528968,0,-0.0156864881196069,0,0.179867081385295,0,0.0543015723025109,0,0,0,0,0,0,0,0,-0.0260363191272632,0,0
X388.HK.EQUITY,0,0.00638058514126242,0,0,0,0,0,0,0,0,0.174686818589505,0,0.0315336538970991,0,0,0,0,0,0,0,0,0,0.0449459063191311,0,0.405408360575851,0.00919099558985864,0,-0.0143499199350381,-0.017913735221423,0,0
X2388.HK.EQUITY,0,-0.110296405477146,0.37715870159281,0.0713627631799311,0,0,0,0,0,-0.101549324260935,0,0,0.146760541864781,0,0,0,0,-0.112689961156336,0,0,0,0,0,0.287367264589628,0,-0.073033105022598,0.0353765624446218,0,-0.0370951415838505,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0783360286458631,0,0,-0.0759409089392066,0,-0.219286198919638,0,0,0.251624902583479,0.00632365409330055,0,0,0,-0.00584970239353407,0,-0.894886452820823,-0.506912777259055
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234269712990536,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.225497126104896,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.107201456882844,0,-2.0997196842517,0,0,0,0.355702568443709,0,0,0,0.371619774287782,0,0,0,0,-4.17677512843605,0,0.10132558845981,0.513341917829483,0.553135197877883
TED.SP,0,0,0,-2.36271538184292,-0.0396500075092026,0,0,0,-0.808893717906996,0,0,0,0,0,1.24416956389465,0,0,1.33166853810208,0.367684714125896,0,-1.12379219764031,0,0,0,0,0,0,-0.0366354778018522,0,0.716517551807652,0
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131812535616651,0,0,0,0,0,-0.195055038447354,0,0,0,0,0,-1.08601589885741,0,0,0,0,-0.338828386781002
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,-0.201813108721163,0,0,0,0,-0.224515489441879,0,-0.167287936940238,0,0,-0.0635809749982937,0,0.267363042928406,0,0,-0.264932719442694,0,-0.0220515870067071,0,-0.267770997446258,0
