,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0.341279573955647,0.033646789545181,0,0,0,0,0,0.121977583386415,0,-0.0213256603607772,0,0,0.180694261232811,0,0,0,0,0,0,0,0,0.0149340052202327,0,0.011266809412728,0,0,-0.0203164884221746,-4.33680868994202e-19,0
X601398.CH.EQUITY,0,0,0,0.377872309181918,0.0368025141681174,0.0265715798443721,0,0,0,0,0,0,0.0046552165145605,0,0,0,0,0,0,0,0,0.0344455216603954,0,0.103324764737027,0,0,0,0.00261497493474738,0,0.0278718028381735,0
X939.HK.EQUITY,0.642676112987577,0,0,0,0,0,0,0,0,0.220685122953961,0,0.0283864365065045,-0.00825794354351789,0,0,0,0,0,0,0,0,0,-0.00288523116512729,-0.0151376067849425,0,0,0,0.0083937878794172,0.00689274928648244,0.0199249103741526,0
X601939.CH.EQUITY,0,0.502268607857959,0,0,0.166319247328696,0,0,0,0,0,0,0,0.0702790036425886,0,0.022349507413925,0,0,0,0,0,0,0.000494973031114232,0.0662082111598366,0,0,0,0,0.00324529769961135,0.00975212421319977,0,0
X601318.CH.EQUITY,0,0,0,0.285760412373235,0,0.0684407261970662,0,0,0,0,0.0176333958440855,0,0,0,0,0,0.243211283473523,0,0,0,0,0.070742108658909,0,0.416158039096013,0,0,0,-0.00396983425641894,0.0264280412226601,0,0
X2318.HK.EQUITY,0,0,0,0,0.218598818742491,0,0,0,0,0,0,0,0.0690928256080947,0.0983469975658441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381246837473158,0,0
X601288.CH.EQUITY,0,0,0,0.278014464430576,0.0143370927169418,0,0,0,0,0,0,-0.0763059933840699,0.0157767089875496,0,0.109075623716468,0,0,0,0,0,0,0,0,0.155167830604675,0,-0.0107054101206155,0,-0.00310564911821501,0,0.0126898981734675,0.0224358024473155
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038381448283165,0,0,0,0.124946520908021,0,0,0.28845276242983,0.164694033518181,-0.0378300669062943,-0.0499187779956999,0,-0.021331829521121,0,0.0147619053738788,0,0,0.0916988368584889
X601988.CH.EQUITY,0,0,0,0.0662079455811146,0,0,0,0,0,0,0,0,0.145243267095824,0,0,0,0,0,0,0,0,0.0400653908380906,0.0288354546961266,0.0379470945578897,0,0,0,0.0111672441471845,-0.000228458688021289,0,0.0182384908861669
X3988.HK.EQUITY,0.302663693767769,0,0.22078649892764,0,0,0.078205167845461,0,0,0,0,-0.0326077083384582,0,0,0.0307562416441972,0,0,0,0,0,0,0,0,-0.0208140398861121,0.0522756762602036,0.0822495190530124,0,0.0137807476920995,0,0,0.0491692337853921,0
X600036.CH.EQUITY,0,0,0,0,0.209513105299866,0,0,0,0,0,0,0.121419259118733,0.124798391891468,0,0,0,0.00409775451975589,0.252497616457254,0,0,0,0,0.0190783216053245,0.0671224151629285,0,0,0,0.0164229842615454,-0.077897232156017,0.09858906093767,0.146607317600287
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0702521605740591,0,0,0,0,0.0168534933378198,0.146359767683674,0,0,0,0,0,0.0271498275811289,0,-0.0426236364648361,0.0857461342015754,0,-0.00532001120242537,0.0565069497549561,0,0
X601628.CH.EQUITY,0,0,0,0,0.371357637102562,0,0,0,0,0,0.0325852549494044,0,0,0.251382590624605,0,0,0.122891334601742,0,0,0,0,0,0.165580147252743,0.399350878732903,0,0,0,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0.218137943384345,0,0,0,0,0,0,0,0.275732708727152,0,0,0,0,0,0,0,0,0,-0.0311284481295986,0.285077626969947,0,0,0,-0.0210871457275153,0.0422548082927076,0,-0.106624057964212
X601328.CH.EQUITY,0,0,0,0.0338264297474151,0.200707196014803,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.309168547082869,0,0,0,0,0.0705270320897375,0,0.0901688168455559,0,0,0,0.00194499314416736,0,0,0.01010116313628
X3328.HK.EQUITY,0,0,0.224565318902674,0,0,0,0,0,0,0,0,0,0.0852661961306491,0,0,0,0,0,0,0,0,0.121210905334336,0,0,-0.05621285703442,0,0,0,-0.0230214653386455,0.0396536860778579,0.0220932175973972
X601166.CH.EQUITY,0,0,0,0.325985311787524,0,0,0,0,0,0,0.102658063488055,0,0.162271663412494,0,0,0,0,0.188596055345999,0,0,0,0.0573017194758789,0,0,0,0,0,0.010411896588662,0.0035683829099444,0,0
X600000.CH.EQUITY,0,0,0,0.0999206452928732,0,0,0,0,0,0,0.210629021255311,0.0602188476754844,0.0534770994217746,0,0.0464044948741581,0,0.126127094966642,0,0,0,0,0.0313079605626123,0,0,0,0.00971985411203726,0,-0.00795943365869101,-0.0125304504467248,0,0
X11.HK.EQUITY,0,0,0,0,0,0.0172366265864349,0,0,0,0.140376084508162,0,0.0848788092656332,0,0,0,0,0,0,0,0,0,-0.0218579114854776,0,0.0157159751493729,0.0705182279646335,0,0,0,0.00836530397428002,-0.0723254491165326,-0.0775138410747949
X16.HK.EQUITY,0,0,0,0,0.0262543144814513,0,0,0,0,0,0,0,0,0.0729790469626821,0,0,0,0,0,0,0.16286400076446,0.0278899235291917,-0.0606022172848289,0.0384560804144137,0,-0.0634652068218763,0,0,0,-0.0339897146977212,-0.172919053348246
X2388.HK.EQUITY,0.0761192926875931,0,0,0,0,0,0,0.0364337097824885,0,0,0,0.0999103578343646,0,0,0,0,0,-0.0564318784509043,0,0,0,0,0.046608605268892,0,0,0.0544837856503877,0,-0.0148282713548276,-0.00641987156462737,0.025513933608028,0
X000002.CH.EQUITY,0,0,0,0,0.581156400824924,0,0,0,0,0,0,0,0,0.148549272576944,0,0,0,0,0,0,0,0,0.0678331451246219,0,0,-0.00793652781457862,0,0.0501809564003237,0.0745081980459293,0,-0.0745868636817966
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341026988564031,0,0,0,0.550114040445261,0,0.0402466836723972,0,0,0,0.00800994564542276,-0.327549526376101,0,0
X601601.CH.EQUITY,0,0,0,0.190550138722981,0.335728608950773,0,0,0,0,0,0,0,0.0200898163000269,0.203720024055691,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177764767154181,-0.00797588129738226,-0.00113686207073691,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.30022674700184,0,0,0.0827145284653671,0.23786987814675,0,0,0,0,0,0,0,0.0146120674346464,0,0,0,0,0,-0.0132926209732903,0.00547754122316359,0,-0.0285929025277688
CGB3M,0,0,0,0,0,0,0,0,0,0,0,-0.185656933260223,0,0.19371506698295,0,0,0,0,0,0,0.0150022925379166,-0.120390956607701,0,0,0,0,0.0155445252492644,0,-0.117886099180191,-0.576537387015533,-0.270961821446644
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0685577378991441,0,0,0,0,0,0,0,0,0.0917201434462876,0,0,0.0334526876841014,0,-0.263849850556451,0.0611772835201095,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.533263954219309,0,2.14043385072956,0,0,0,0,0,0.00455282007561408,0,0,0.194267925435529,0,0,0.231863340658059,-3.72659190624281,0,0.131100759537976,0,0.182836840763718
TED.SP,0,0,-0.970452613588697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433429770327625,0.0631256626229019,0,-0.0408710286775114,0,0.0238148001942266,0,0.402815888295676,0.0186029620948128
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,-0.463091940938461,0.207099823794116,0.33770473945802,0,0,0,-0.330899237397046,0,0,0,0,0,0,0,-0.991417185082921,0,0.0312957735149775,0,0,-0.0418409349602729
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971827853990307,0,-0.0528876546091135,0,0,0,-0.0885236174737648,0.221262802750715,0,0,-0.267655562956099,0.053510163119589,0,-8.67361737988404e-19,-0.378010107780125,0
