,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.186062498444979,0,0,0,0,0,0.101587247142178,0,0.0163567461387606,0.0315054595091745,0,0,0,0,0,0,0,-0.00679128078011423,0.0126404062924873,0.015010674068278,0.117939600869323
X1398.HK.EQUITY,0,0,0.0759362168997597,0,0.0873823312662475,0,0,0,0,0,0,0,0,0,0,0.582832732243545,0,6.93889390390723e-18,-0.0868112124675842,0,0,0.029897633005376,0.2298171809608,0,0,0,0,0.0124460013219964,0.00996536102117412,-0.0388514571021197,0
X601318.CH.EQUITY,0,0,0,0.35455842144921,0,0,0,0,0.114860614277806,0,0,0,0,0.208558261784234,0,0,0,0,0,0.062392972315103,0,0,0,0,0,0,0,0.00140127904212999,-0.0113630472767491,0.0172620458839388,-0.0100896815731089
X2318.HK.EQUITY,0,0,0.278518600344532,0,0,0,0,0,0.00731801537197525,0,0,0.138415253911279,0.11476424196175,0,8.67361737988404e-19,0,0,0,0,0,0.0306208939464191,0,0,0.155242064086082,0,0.0236096699557514,0,0.0107058481116757,0,0,-0.0215779169822755
X939.HK.EQUITY,0.0607188876561883,0,0,0.0403349536666119,0,0,0,0,0,0,0,0,0,0,0.0232424237280322,0,0,0,0.0122814803815371,0.034177663587421,0,0,0,0.170940852379999,0,0,0,-0.00551703809164879,0.0030097004199205,0.0378713444680118,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.318005369607123,0,0,0.072496671520535,0,0,0,0,0,0,0,0,0.0737283392698466,0,0.0151563367188958,0,0,0.0112945560368798,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231716596058526,0,0,0,0,0,0,0,0,0,0,0.00155701106079309,0.00895271368507055,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.027644368101406,0,0,0,0,0,0,0,0,0.0601587131568556,0,0,0,0.0130726530596871,0,0,0.0102732943043826,0.0459976958451022,0,-0.00778573947561592
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0426466195338926,0.187398320819143,0,0,0,0,0,0,0,0.171181876725104,0,0,0,0,0,0,-0.00534834727194067,-0.0145483839976387,0.0278305105600774,0
X601988.CH.EQUITY,0,0,0,0,0,0.0870635977852728,0,0,0,0,0.0218782652015264,0,0,0,0,0,0,0,0,0,0,0,0.0896997350889566,0.281616590717516,0,0,0,0.00690317317594526,0.0150618961703335,0.0165779347408766,0
X600036.CH.EQUITY,0,0,0.227108549287333,0,0,0,0.417840295147892,0,-0.181002096990525,0,0,0,0,-0.0186286102529699,0,0.373276315429912,0,0,-0.0217811168234563,0.0405762805098776,0,0.0580710125807933,0,0,0,-0.0120316676921629,-0.0177566461504467,0.0172815920362819,-0.0365239593479595,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219109307845586,0,0,0,-0.0429597089137124,0,0,0,0.30158996011988,0,0.0903826660595306,0.171111458967166,0,0,-0.00900152782320621,-0.0132198143548307,1.73472347597681e-18,-0.0235669020429522
X2628.HK.EQUITY,0,0,0,0.353084971009064,0,0.229503635739242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216723597372342,0,0,0,0,0.267482070177519,0,0,0.00809672132518425,-1.0842021724855e-19,0,0
X601628.CH.EQUITY,0,0,0.0707665463887172,0,0,0,0,0,0,0,0,0.0247237375889148,0,0,0,0,0,0,0.455676133754197,0,0,0,0,0,0,-0.000640790978937657,0,0.00644676329122936,0,0.0520401125295533,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.0511482786666647,0,0,0,0,0,0,0,0,0.15038718781204,0,0.293716766207895,0,0.10645521962301,0,0.145763708334413,0,0,0,0.104709746382181,-0.0350087748951416,-0.00928803598644538,0.0225206020588176,0,0
X3328.HK.EQUITY,0,1.11580901764897,0,0,0,0,0,0,0,0,0.112513555205592,0,0,0,0.0574433751279971,0,0,0,0,0,-0.129587022077275,-0.00545609923297345,0,0,0,-0.0504684942044592,0,-0.000436154976087574,-0.0263210479908289,0.0916886198011485,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.37288126451853,0,0,0,0,0,0,0,0,0.083954814789628,0,0,0,-0.029114458386268,0.0734241075328614,0,0,0,0.119171720902273,0,0,-0.00927977878155838,0.0169953592784335,0.0592472074898045,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.157964859329779,0,0,0,0,0.118432828331704,0,0,0.120259284811733,-0.121800939211038,0,0.165936032850349,0,0,0,-0.00788469189958169,0,-0.000612872727692499,0.00515108429283643,0,0.0759026472573092
X601601.CH.EQUITY,-0.04909051326991,0,0,0,0,0,0,0,0,0,0,0,0,0.645442318419651,0,0,0,0,0,0.114703909193416,0,0,0,0,0,-6.93889390390723e-18,0,0,-0.00982040923261275,0,0
X601319.CH.EQUITY,0,0,0.0875620120188363,0.297411483769406,0,-0.137058283488391,0,0,0,0,0,0,0.294174664528467,0.221271205501083,-0.19186625841579,0,0,0,0.475079808434941,0,0,-0.0503018702542959,0,0.0862696050069008,0,0,0,0.0225807276875228,-0.0131074094055661,0,0.0387142870678294
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.643214208298589,0,0,0.060049847363068,0,0,0,0,-0.284547890168727,0,0.194465814743739,0.61099610891182,-0.411816345055994,0,0,-0.137934723514242,0,0,0,0,0.0182427899066742,0.0291800116966792,0.0630592711565968,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.829018647466802,0,0.268272356137813,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107258889996302,-0.0176640781913262,0.0626470992976882,0
X11.HK.EQUITY,0,0,0,0,0,0.0472873605624132,0,0.415397748518618,0,0,0.20868357388003,0,0,0,0,0,0,0,0.0945903851878755,-0.107089818648503,0,0,0,0,0.220550439826791,0,0.0132693233920844,0,0.0156786145280382,0.0499167778208617,0.0563998485014834
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.075367945883487,0.0488431879422612,0,0,0,0,0,0,0.0308679155880444,0,0,0.0149194935504726,0,0.747995672826323,0,0,-0.0024141570864327,-0.0491435288642987,0,0.0279925872561825
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.0431085169154157,0,0,0,0,0,0,0,0,0,0.0801055200723439,0,0,0,0.412381257006997,0.356124603269749,0,0,0,-0.00883494733927984,0.0309490733824017,0.078249742726771,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00716334619167207,0,0,0,0,0,0,0,0,0.0993066907878502,0,0,0,0,-0.0333649071180709,-0.929857410589279,-0.762733549339161
FXI.US.EQUITY,0,0,0,0.179115107365563,0,0,0,0,0,0,-0.136567685237073,0.128766304537174,0,0,0,0,0,0,0.200087355597325,-0.0503757303496895,0,0,0,0,0,0.0295982948763069,0,-0.168088769367893,-0.00891010293115359,0,-0.121700116002629
VXFXI.INDEX,0,0.109566995488674,0,1.83481126660352,0,0,0,0,0,0,-0.93358289256352,5.55111512312578e-17,0.253546360577344,0,0,0,0,0,0,-0.235900440062063,0,0,0,0,0,0,-4.77183990344902,0,-0.0357786157604696,0,-0.945565198837528
TED.SP,0,0,0,0,0,1.11424777357401,0,0.516582950316206,-2.26269794327476,0,0,0.192037435440147,0,0,0,0,1.80337623916685,-2.66047851772654,0,0,0,0,0,0,0,-0.995953195749607,3.89338031371944,0.830872076515381,0,0,0.207202930429521
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197805382132279,0.11922678674351,0,0,0,0,0.06000031281857,0,-0.900741668029005,0,0.0432933295900206,0.0682214833328182,0,-0.686837730570334
CREDIT.SP,0,0,0,0,-0.0935546694477842,0,0,0,-0.339586127885847,0,-0.128304153299249,0,-0.105974713974914,0,0,0.00725888554801557,0,0,0.106788351895513,0.172624702775479,0,0,0,0,0,-0.721049333700724,0,0,-0.0255047638946934,-0.670544117688627,0
