,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.420700703623052,0,0.0663556850529678,0,0,0,0,0.0729102357216296,0,0,0,0.346160498191028,0,0.00346339529887288,0,0,0,0,0,0,0,0,0,-0.00121349066337746,0,0.00676973126944444
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11913887814507,0,0,0,0.349029546770619,0,0,-0.0216259383051105,0.00255828033943608,-4.33680868994202e-19,0,0,0,0,-0.00179076335818118,0.00586478248248389,0.0133252237868478,0.0239757035237975
X2318.HK.EQUITY,0.119370327577915,0,0,0.146950596574097,0,0.0646807049572193,0,0,0,0,0,0.0752509130577449,0,0.10201660167006,0,0,0,0,0,0,0,0,0.0561926615276789,0,0,-0.0249034443675593,-0.00518985345982103,0,0.00329125773673624,0,0
X601318.CH.EQUITY,0.0942959427462387,0,0.177733604215852,0,0,0,0,0,0,0,0.0641335069539803,0,0.221805727989738,0.0628840950299809,0,0,0,0.147305662734353,0,0.0309889315602819,0,0,-0.173943321539102,0,0,0,0,0,0.0118597672416273,-0.0310602535266659,0.049948073815171
X601939.CH.EQUITY,0,0.0485011666987774,0,0,0,0.113635508689893,0.243924461040013,0,0,0,0,0,0.00204859872052278,0,0,0,0,0,0,0.0920773417688144,0,0,0,0,0,0.00660642456776444,0,-0.00870929969336849,0.0175015460393117,-0.0433724362276965,0
X939.HK.EQUITY,0.450872762789228,0,0,0,0,0,0,0,0,0,0,0.0773420442124907,0.057444307063282,0,0,0,0,0,0,0.154725588217414,0,0.0452868944388407,0.0829126324429328,0,0,0,0,0.00155440764569336,0.00389096091627633,0,0.0105442398324443
X601288.CH.EQUITY,0.0345594035513074,0.1719193542552,0,0,0.234769006287728,0,0,0.0778885723434705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654630558806351,0,0,0,-0.0594063106270038,0,-0.00295363005445063,-0.00610708228283777,0,0.0721148193236511
X5.HK.EQUITY,0,0.126071558202204,0,0,0,0,0.362270074371036,0,0,0,0.155086652247074,-0.286407606916912,0.044949920566039,0,0,0,0,0,0,-0.0487474241138403,0,0.496997681925091,0,0,0,0,-0.00405852589942136,0,0.0179758880653518,-0.014596815466491,0
X601988.CH.EQUITY,0,0,0,0,0.269375767843682,0.0243221734720758,0,0,0,0,0,0,0.0727725528111998,0,0,0,0,0.0590338474585213,0,0.0256168979409444,0,0,0,0,0,-0.0170553837542608,0,-0.00471305364268092,-0.000104695012885274,0,0.0465553968057751
X3988.HK.EQUITY,0.433337721284638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00627291526369477,0,0,0,0,0,0.0343204219110319,0.0118629651951404,0.135273445786342,0,0,0,0,0.000821046712178488,-0.0105851496676514,0.0586146094510492,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.286635390565538,0,0,0,0,-0.0108961982169721,0,0,0,0,0.24932131684872,0,0.203649332561553,0.182255873651274,0,0.0211160503101483,0,0,0,0,0,0.0015142375120992,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221307332516898,0,0,0,0,0,0.0215924668462059,0.0802799987139482,0.184016489962543,0,0.066630566304361,0.554750090045445,0,0,0.0101303651682099,0.0270260051887481,0,0
X601628.CH.EQUITY,0,0.230549755474652,0,0.0942099735155257,0,-0.227335105147753,0,0,0,0,0,0,0,0.51177983933428,0,0,0,0,0,0,0,0,0,0.243589330695134,0,-0.0461097807925947,0,0.0354076174912443,-0.0295471125198639,0.028552616360017,0
X2628.HK.EQUITY,0.0730838523703308,0,0,0.068393129099141,0,0.00524563553992731,0,0,0,0,0,0.0287006777286351,0.339545802580299,0,0,0,0,0,0,0,0,0.102935340280283,0.0859536234961571,0.0320227349580203,0,0,0,0,0.00817811071770479,0,0.00855451028632737
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.513268598593389,0,0,0,0,0,0,0.0707049976800128,0,0.0896485156276237,0,0,0,0.209447736209068,0,0.01838092300437,0.0224737620998456,0.0119960662083163,-0.0104406392583862,0,-0.0247634672033717
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0.122605837093374,0,0.097308383431472,0,0,0,0,0,0,0.125438277958374,0,0.123947819471856,0,0,0,0.0439832593233304,0,0,0,-0.00457323008175432,0.00883934177641702,-0.0113910929059023,0.0204177217420226
X3328.HK.EQUITY,0.410180537184036,0,0,0,0,0.00125354370555156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397182896338382,0.202877572641829,0.119993002490438,0,0,0,0.0158938261918704,0,0.0104680490077225,-0.000687767682318909,-1.35525271560688e-20,6.0793547180357e-05
X600000.CH.EQUITY,0,0,0,0.190044162676144,0,0,0,0,0,0,0.246671748826647,0,0,0,0.126337854655743,0,0.0491397477406032,0,0.152447903981689,0.0418335351222206,0,0.0244500307353115,0,0.0879212320436235,0,0,0,0.00699860437665673,0.0167979137533159,-0.031242405838545,0.102062493018619
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0856823547025112,0,0,0,0,0,0,0,0,0,0.166841423692297,0,0.157297692167482,0.0756831012057666,0.420570702661728,0.0253707773030171,0,0.00758225512945409,-0.013089308876242,0,0
