,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0111405882470417,0.0985582228639905,0,0,0,0.140918489100854,0,0,0,0,0,0.10699876063802,0,0.019077962324531,0,0.0124218842588436,-0.0011099818498056,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0810829737395852,0.313719856803502,0,0,0,0,0,0,0,0.130497463333345,0,0,0,0,0.0435767527054211,0,-0.00229095481884867,-2.16840434497101e-19,0,-0.0279409237275854
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.0696140879205729,0.35608912664943,0,0,0,0,0,0.0923255690649991,0,0.0133661756341413,0,0.017026241761624,0,0,0
X939.HK.EQUITY,0,0.316881243497501,0,0,0,0,0,0,0,0,0,0.00605468749562843,0.0208596536675815,0,0,0,0,-1.38777878078145e-17,0,0,0.155253257163147,0,0,0.168414680517446,0,0.0432716845653695,0,-0.00436260187633813,0.00712730745254924,0.00769064096180899,-0.0464522399437185
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.406655197626155,0,0,0,0,0,0,0,0.0568390694158317,0,0.0701769179653435,0.0289935019649472,-1.73472347597681e-18,0.0384446538787667,0,0,-0.00183799840935566,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.175819384964207,0.177401690853405,0,0,0,0,0,0,0,0,0.217686875396111,0.00277254439199796,0.0762070202684407,0,0,0.0141045709636474,0.00508053242508204,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115145805830845,0.163010613212354,0,0.0511409079161721,0,0.00805999781594828,0,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0523207929913311,0,0.00189316299549646,0,0,0,0,0,0,0,0.273360660918521,0,0.135894126877021,0.0414620412058926,0,0.0182923511329509,0,0,0.0156444477688511,0,0
X601988.CH.EQUITY,0,0,0.00573967373992772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105514124644109,0.0942740082610227,0,0.104216766483689,0,0.00329754184416462,0.0108878870115132,0.0655599984832902,-0.013289400086106
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.137274532347854,0,0.210123342355903,0,0,0,0,0,0,0,0,0,0,0.237767002040969,0,0,0,-0.00182174710675227,0.0312029427779901,0,0
