,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.021177280317943,0.0992279293940561,0.562094088675443,0,0.0400890906993708,0,0,0,0,0,0,0,0,0,0,-0.0269979211745195,0,0
X601398.CH.EQUITY,0,0,0,0.00544595726020329,0.066207888883121,0,0,0,0,0,0,0.4447052998233,0,0,0,0,0,0,0,0,0,0,0,0.0511150470784373,0,0.0365770428772924,0,-0.00444297595821707,0,0,0
X2318.HK.EQUITY,0,0,0,0.297528095988181,0,0,0,0,0,0,0,0,0.169638961413481,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0545932257558835,0,0,-0.0367265191087131,-0.00446012778069927,0
X601318.CH.EQUITY,0,0,0.0345799508143337,0,0,0,0,0,0,0.0588698714583867,0,0,0.174095618515549,0.235307233165649,0,0,0,0,0,0,0.0297044282055423,0,0,0.196191905719045,0.138899021970752,0,0,-0.00237982793277004,-0.00771715092460358,0.0566103163324815,0
X939.HK.EQUITY,0,0.12931193130637,0,0,0,0.153976357311756,0,0,0,0,0,0,0,0,0,0,0.00307229829679034,0,0,0,0,0,0.265976540793523,0,0.116255509772807,0,0,0.00864193433844579,-0.0147771836874193,0,0
X601939.CH.EQUITY,0,0,0,3.46944695195361e-18,0,0,0.41702547354163,0,0.0876676081162488,0,0,0,0,6.93889390390723e-18,0,0,0.226705735785311,0.0657198100431602,0,0,0.0702229553133598,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.11125594906422,0,0,0.0490019145955133,0,0,0.349828140697293,0.0165278972392403,0.0176888642819509,0,0.0913314722132159,0,0,0,0,0.0401544817553604,0,0,0.0106200057059429,0,0
X5.HK.EQUITY,0,0,0,0.0301870134994281,0,0,0,0,0.033215054875098,0,0.0864728823800888,0,0.0453085691401536,0,0,0.0644451965762947,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.010376462622825,-0.0205259599716517,0.0389802685681922,0
X601988.CH.EQUITY,0,0,0,0.0527667012212243,0,0.14872942714902,0,0,0,0,0.0550222259014301,1.73472347597681e-18,0,0.0982171869973395,0,0,1.73472347597681e-18,0,0,0,0.0533823599734642,0,0.0579772279595002,0,0,0,0,0.00965882079551035,-0.00429879565237691,0.0211618514800813,0
X3988.HK.EQUITY,0,0,0.260056543787754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033249178279621,0,0,0.0359964044695874,0,0,0,0.0994194949427396,0,0,-0.0113565790754251,-0.0247772314840839,0.0491947242398744,0
