,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.342706348554921,0,0,0,0,0,0,0.216293028107559,0.0123274840124858,0.0990262514524981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0063771166294479,0.00128242853961076,-0.0337647322664359,0
X601398.CH.EQUITY,0.0553050180752193,0,0,0,3.46944695195361e-18,0.231889260690521,0,0,0,0,0,0,0,0,0.000920750519141202,0,0.0530275585195391,0.143820661085273,0,0.00512577912237933,0,-0.0104778765849905,0,0,0,-0.0553424662707735,0,0.0209233023754454,0.00152602771204398,0,0
X601318.CH.EQUITY,0,0,0,0.0770003212151061,0,0,0,0,0,0,0,0,0.0973251285544297,0,0.14699482428833,0,0,0.137744257029342,0.126812320189125,0.0834636016148868,0,-0.0131757516213998,0.0692399007847119,0,0,0,0,0.0370822349111883,-0.00362818825214172,0.0241803592168171,0
X2318.HK.EQUITY,0,0,0.0939090834975937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257074413254682,0,0.273775799265585,-0.01975646500534,0,0.000356979032311189,-0.021627463434299,0.0162855875908087,0
X939.HK.EQUITY,0.149819765800523,0,0,0,0,0,0,0,0,0,0,0.0877600291745234,0,0.149971821822263,0,0,0,0,0.0525180131551762,0.0853758342533583,0,0.0467395820406326,0,0,8.67361737988404e-19,-0.0177174406122636,0,0.000696245064281772,0.0166740744844135,0,0
X601939.CH.EQUITY,0,0.00423336805306146,0,0,0,0,0,0,0,0,0,0,0.00641890736441227,0.0806386220779461,0,0,0,0,0.0363255002583605,0.0693828197134947,0,0.0676383240460716,0,0,0,0.0555276132570683,0,-0.00580311578680634,0,-2.16840434497101e-19,-0.0679088496545708
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077605468644174,0,0,0,0.0188310813694788,0.125082758995304,0,0,0.0215708492804202,0,0,0.000961977154707435,0,0,-2.91306191169568e-05,0.00312975305601415,0.0210230644964854,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.354644979035341,0,0,0,0,0,0,0,0.12212935447832,0,0,0,-0.225481546166339,0,0,0.0773340198854608,-0.041975691633102,0,0.0462689759807449,0,-0.223049467295697
X601988.CH.EQUITY,0,0.208609872233077,0,0,0.0317470467412107,0,0,0,0,0.016511529652394,0,0,0,0.0127674043390256,0.0567906598036532,0,0,0,0.133121198381192,0,0,0.0498397078913446,0,0,0.0200383064803422,0,0,-0.00267221013932036,-0.00374679009736858,-1.0842021724855e-19,0
X3988.HK.EQUITY,0.288574997157557,0,0,0,0.265948634568125,0,0,0,0,0,0,0,0,0.037275917463639,0,0,0,0,0,0,0.0458224565374498,0,0,0,0,0,0,-0.00995810706621688,0.00780793442647726,0.0201362568486364,0
X600036.CH.EQUITY,0,0,0.682135777510533,0.0459578714497772,0,0,0,0,0,0,0,0,-0.206376737830129,0,0,0,0,0.129056988146028,0,0,0,0.103207704324117,0,0,0,0,0,0.029960815559149,0.013527382517716,0.0829459850725064,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281121227014011,0,0.28661727967399,0,0,0,0.0413874506228418,0.0090513335664298,0.0384495877079898,-0.073441210330302
X601628.CH.EQUITY,0,0,0.102609203829565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00668735716660566,0,0,0.443937335434919,0,0,0,0,0.030614111522391,-0.0150491410357765,0.02241151802803,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163150255344187,0,0,0.428226775394529,0,0,0.00762889689728685,0,0.268311783716742,0.232959523386796,0,0,-0.00666439737768422,0.00233118226754324,0.0196856465458017,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.032570966088021,0,0.249018856530725,0,0,0.1333602509419,0,0,0,0.142313623541437,0,0,0.234896534783976,0,-0.13365785426774,0.0627923604987218,0.0163625796419218,-0.0285909601350009,0.0197278191017288,0,0
