,X1398.HK.EQUITY,X601398.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.101483741891162,0.0644635401745701,0,0,0.499561558621269,0.0617410706213827,0,0,0,0,0,0.746628111622018,0,0,0.0361620335419645,0,0.00318448736009663,-0.00926788456631439,0,0.0260706480134699
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106691991225891,0,0,0.0707219573818178,0,0,0,0.0142582329395861,0,0,0,0,0,0,-0.00313374715412711,0.00158226468391327,0,0.0439413830485474
X601318.CH.EQUITY,0,0,0,0.293773648403114,0,0,0,0,0.0653593644037202,0,0,0,0,0.180472696629478,0.0194179752363814,-0.015912945449515,0.138493899609085,0,0.122985166788485,0,0,0,0,0,0.051108679611032,0,0,-0.0227199091851106,-0.0404224804284876,0.0132875510418267,0
X2318.HK.EQUITY,0,0,0.194747728317737,0,0,0,0,0,0.00484062543509655,0,0,0,0.196210811671297,0,0,0,0,0,0,0,0,0,0,0.0590500356940023,0,0.0228582961684523,0,-0.0168832124510555,-0.012644738405494,0,0
X939.HK.EQUITY,0,0.106858359868765,0,0,0,0,0,0,0,0,0,0,0,0.0241229670773572,0,0,0,0,0,0,0,0,0,0.354195957809455,0,0,0,0.00651482519856952,-0.0222280328626487,0.00132217609874872,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.562860022278415,0,-0.0205262212037527,0,0.1374086620977,0,0,0.286093755947026,0,0,0,0,-0.0414381170520477,0,0,0,0,0,0.00969796606430992,0,-0.0325112560848439,0
X601288.CH.EQUITY,0,0,0,-0.0156749735574765,0,0,0,0,0,0,0,-0.103925455118467,0,0.0612819371761428,0,0,0.22931022624408,0,0,0.170938014874323,0.0251706999930972,0,-0.068757240206275,0,0,0.0208576799728443,0,-0.00631330316054291,0.016225851477796,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0697595787097269,0,0.128098009868373,0.0713555035037466,0,0,0,0.0454449679952925,0,0,0.00871451009417308,-8.67361737988404e-19,0.00301990769874198,0,0,0,0,0,0,-0.0251967016576757,0,0
X3988.HK.EQUITY,0,0,0.0918162945287325,0,0,0,0,0,0,0,0,0.107915187816274,0.270992631544376,0,0,0,0,0,-0.0761768298031368,0.0287289036339349,0,0,0,-2.77555756156289e-17,0,-0.022990979848868,0,-0.000123791895221959,-0.0190481245247186,0,0
X601988.CH.EQUITY,0,0,0.131718095283976,0,0,0,0,0,0,0,0,0,0,0.0056376379523659,0,0,0,0,0,0.191302807462345,0,0,0.0993488332307828,0,0,0,0,0,-0.0122343928610065,0,0
