,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0.057710653327264,0.299592739057306,0,0,0,0,-0.073047184088004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141555857259849,-0.0016664357269074,0
X1398.HK.EQUITY,0.039287053824085,0,0,0,0,0.605845175200345,0,0,0.0393716337540587,0,0,0.142272463774052,0,0.0276216196303478,-0.123263064445593,0,0,0,0,0,0,0,-0.0126900934476898,0,0,0,0,0,0.0142263066577028,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.361110903068661,0,6.93889390390723e-18,0,0,-0.00780506821721055,0,0,0,0,0.0847992579172395,0,0,0,0.191814339800134,0,0.0148404825779069,0,0,-0.0158289899093764,0,0
X2318.HK.EQUITY,0,0.00468105476645017,0.0473017185760782,0,0,0,0,0,0,0,0.0481743029695819,0.0801473483671697,0.178615803465023,0.0268072853779275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101190049891589,-0.00531777334184367,0.0140669866956642,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.964131711898588,0,0,0.0275780089945149,0.0697492057955126,0,0,0,0,0,0,0,0.0419682361581058,0,0,0,0,0,0,0,0,0,-0.00456297688212782,0.00129742229167191,0
X939.HK.EQUITY,0,0.480811436892194,0,0,0,0,0,0,0,0,0,0,0.16280988193591,0,0.00894061536484298,0,0,0.02993566726295,0,0,0,0,0,0,0,0,0,-0.0115609910550067,0.00285404787293142,0.0040679360317607,-0.0374192370719623
X601288.CH.EQUITY,0,0,0,0,0.771919618910407,0,0,0,0,0,-0.0578601696027005,0,0,0,0,0,0,0,0,0,0,0,0.10600620394863,0,0,-0.00187852741551139,0,0.00846571013987572,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0585511355212005,0,0,0,0,0,0,0,0.700248197751441,0,0,0,0,0,0,0,0,0.0208609145545927,-0.0191260029684969,0.0174919837606203,-0.0340617973708081
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0306007557891726,0.118914550981996,1.73472347597681e-18,0.155946030130111,0,0,0,0.0944780496082667,0,0.0333243297284045,0,0,0,0,0,0,0.0456327035047938,0,-0.0224372301732547,0.0100346883166799,0
X600036.CH.EQUITY,0,0,0,0,0.493150892321437,0,0,0,0,0,-8.67361737988404e-19,0,0.078309427633756,0.0632901826770659,-0.0214019760699053,0,0.0218402421617956,0,0,0,0.0984279177120769,0,0,0.145553498811876,0.00515536667125397,-0.013373404366777,0,0,0.00582422219659199,0,0.0503956437723495
