,X1398.HK.EQUITY,X601398.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0.434375162993495,0,0,0,0,0,0,0,0,-0.0152689969059866,0.0632873960625434,0,0,0.163120232517904,0,0.00263158451636074,0,0,0,0,0,0,0,0,0,0,-0.0220427813560157,0,0
X601398.CH.EQUITY,0,0,0,0.43507129850357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177335097138145,0,0,0,0.129071792741577,0.0413010024670242,0,0,0.00579117870662845,0,0,0
X939.HK.EQUITY,0.659187401510027,0,0,0,0,0,0,0,0.193131425210791,0,0,0,0,0,0,0,0,-0.00554019588212702,0,0,0,0,0,0,0,0,0,0,0.00483783846562227,0.0257805474876802,0
X601939.CH.EQUITY,0.109908359431198,0.308425510872155,0,0,0.00928080978859645,0,0,0,0,0,0,0,0,0.0267003119539288,0,0.113872378589018,0.141614646888018,-3.46944695195361e-18,0,0,0,0,0,0.156043463475506,0,0,0,0,-0.0254365371521101,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.206890775282436,0,0,0,0,0.0161492258239872,0,0,0,0,0,0.265970729435484,0,0.170220457155865,0.166903222363184,0,0,0,0.143215108539811,0,0,0,-0.0069622287935972,0.0151986153645126,0,0
X2318.HK.EQUITY,0,0,0,0,0.222215881021046,0,0,0,0,0,0,0,0.0997805351873283,0.16141737254637,0,0,0,-0.029968205777444,0,0.109499730568936,0,0,0,0,0,0,0,0.0145902919595317,-0.00572121805705806,0,0
X601288.CH.EQUITY,0,0,0,0.091255323203308,0,0,0,0,0,0,0,0,0,0,0,0.183035688542468,0,0.0068002995106507,0,0,0,0,0,0.223821513499164,0,0,0,0,-0.00729613301989479,0.00735765925973544,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.095863715217814,0,0,0.145326981677037,0,0,0.27427185242527,0,-0.113183317242228,-0.0274688452069863,-0.0859422721580936,0,0.00709442759963262,-0.0286625468055194,0
X3988.HK.EQUITY,0.330529403995101,0,0.200972448928082,0,0,0.0643196225785571,0,0,0,0,-0.0395134509081211,0,0.0377956967663143,0,0,0,0,-0.0180454085996318,0,0,0,0,0,0.0474872524442426,0.0885509304673318,0,0.0229277274055288,0,0.00362749125653584,0.0478228902506752,0
X601988.CH.EQUITY,0,0,0,0.139728714723014,0,0,0,0,0,0,0,0,0,0.0280974453818278,0,0,0,0.0495487686908975,0.102616030985221,0.0512832308917041,0,0,0,0.143460482056202,0,0,0,0.0139100455838321,-0.00875075456119344,0,0
X600036.CH.EQUITY,0,0,0,0,0.357269139193697,0,0,0,0,0,0,0.0876397249697758,0.0587612201323063,0,0.194466100947677,0.051224582679962,0.255310318065645,0.0207089003430353,0,-0.0966982195027953,0,0,0,0.0614368372799132,0,0,0,0,0,-0.0270953312021724,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0724875502731711,0,0,0,0.257918704209054,0,0,0.0261358441242857,0,0,0.0424972620660452,-0.0664158124584105,-0.0765326588069623,0.056377201324948,0,-0.000884538266036749,0.0626389368546019,0,0
X2628.HK.EQUITY,0,0,0,0,0.157331391377626,0,0,0,0,0,0,0,0,0.18914078479645,0,0,0,-0.0146465431538843,0,0,0,0,0,0.426927157420777,0.183955892155546,0.0138823806145003,0,0,0.0365252782691723,0,-0.0457755800813601
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.170243129033359,0,0.148337133158647,0,0,0,0.414539036733623,0.138813252927109,0,0.0826940664657459,0,0,0.116740388688317,0.220152079069387,0,-0.0259851773689566,0,0,-0.0280095922923278,0,0
X3328.HK.EQUITY,0,0,0.157190085755351,0,0,0,0,0,0,0,0,0.147147072545919,0,0,0,0.0823164273616165,0.0677995236022353,0,0,0.0796327191062661,0,0,0,0,0,0,0,0,-0.00226747995636899,0.0366286770570469,0.0369086615519004
X601328.CH.EQUITY,0.00397597624322531,0,0,0,0.0281980944272605,0,0,0,0,0,0,0,0,0.00364965514491408,0,0,0.199737603079071,0,0.326893501462517,0.198906111856055,0,0,0,0.0556479271690498,0,0,0,0,0.0108651472374148,0.0292011265662604,0.0771332168346015
X601166.CH.EQUITY,0,0,0,0.114362086671967,0.116289611312358,0,0,0,0,0,0.226539998476086,0,0,0.176691687630339,0,0.181757410444903,0,0.0382544660163964,0,0,0,0,0,0,0,0.0202444328886484,0,-0.0160929237741642,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0295681835103267,0,0,0,0,0,0,0,0.373716791711429,0.556654300913207,0,0.189285185150559,0,0,0,0,0,0.00710405519567045,-0.319907142421794,0,0
X600000.CH.EQUITY,0,0,0,0.075461897217297,0,0,0,0.196803964936358,0,0,0.21996678550996,0.0347913319408606,0,0.099442534862798,0,0.141237655298845,0.014535494357701,0.00535051292968964,0,0,0,0,0,0,0,0,0,-0.013868080024341,0,0,0.0192593730614266
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.183744144232505,0.59373244561371,0,0,0,0,0.0359494568312759,0,0,0,0,0,0,-0.171265130589432,-0.0796396216673422,0,0.0617500573021279,0.0372079695159223,-0.0680458190332201,-0.00256469226379508
X11.HK.EQUITY,0,0,0,0,0,0.033236382249333,0,0,0.155365224679999,0,0,0,0,0,0,0,0,-0.0103757629318162,0,0,0,0,0,0.0125067062634607,0.0543756515863902,0,0,0.00169643202958201,2.16840434497101e-19,-0.0497065793811824,-0.0869055459131272
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0542952198875877,0,0.0873647782446776,0,0,0.259047674990218,0.0648267004593119,0,0,0,0,0.0114906076196587,0,-0.140172481178979
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0750348304935104,0,0,0,0,0,0.0538180325682612,0,0,0,0,0,0,0,0.028028862247299,0,-0.017141490832916,0,0,0
X601601.CH.EQUITY,0,0,0,0.670621065442806,0.09932698371346,0,0,0,0,0,0,0,0.163341834154149,0.0564515635853827,0,0,0,-0.130275041000313,0,0,0,-0.101081812017528,0,0,0,0.0468301767430176,0,0.00851764760778864,-0.0439055390950011,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0.232818410127413,0,0,0,0.17692564148972,0.135871383092419,0,0,0,0.0146866973225157,0,0.0566198836483796,0,0,0,0,0,0,0,-0.026048564308298,0,-0.00191024039330596,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,-0.0916972938019721,0.0767071060859309,0,0,0,0,0,0,-0.225963804641704,0,0,0,0,0,0,0,0.0170724327223817,-0.186829325122302,-0.589942256318675,-0.27037166264057
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.175211077566655,0,0.18844653388526,0,0,0,0,0.0217113017213982,0,0,0,0,0,0,0,0.00227334115580905,0,-0.220848488952712,0.00720184958967303,-0.00971241811070394,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,-0.591674050526955,1.34922354271759,0,0,0,0,0.192474325212887,0,0,0,0,0,0,0,0,-4.1980651662841,0,0,0,0.213791664827021
TED.SP,0,0,-1.88918378130278,0,0,0,0,0,0,0,0,0.649215599518367,0,0,0,0,0,0.218711471013285,0,0,0,0,0,0.514837723702315,0,-0.573411672939935,0,0.0649174733013234,0,0,0.0210518463077852
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0.205455041937548,0,0,0,-0.0631782486992311,0,0,0,0.0051371643430277,0.231851406138473,0,0,0,0,0,0,0,-0.941107502013198,0,0.0324476492804018,-0.0632479117885545,0,-0.733135271802978
CREDIT.SP,0,0,0.102703496187245,0,0,0,0,0,0,0,0,0,0,0,0.078748299550884,0,0,0.205152967222976,0,-0.0930960142162742,0,0,0,0,0,-0.581419204036603,0,0.0468355445831069,-0.120041027851683,-0.515993343943772,0
