,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0.0725212325881878,0,0,0.0702317326779053,0,0,0,0.610058623774844,0,0,0,0,0,0,0,0,0,0,0,0.0560418443719298,0,0.0309616562634417,0,0,0,0.0175587584850328,0,-0.00683833590849852,0,0
X601398.CH.EQUITY,0.0316097884845996,0,0,0.218001971796187,0,0.0652824841588737,0,0,0,0,0,0,0,0,0,0,0,0.156756780008934,0,0,0.0501760569161251,-0.147568688749701,0,0,0.0760418826466374,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0.732168690074171,0.124518756643409,0,0,0,0,0,0,0.0818394113302157,0,0,0,0,0,0,-0.0512141239697959,0,0,0,0,0,0,0,0,0,0.00833496528088221,0,0
X601318.CH.EQUITY,0,0,0.168584615443019,0,0,0,0,0,0,0,0,0,0.120916491787566,0.0911329908246951,0,0,0,0.101664771743011,0,0.0215102891779475,0,0.103241669329245,0,0,0,0,0,0.0519577306297545,-0.0106315697562719,-0.0182947142055401,0
X939.HK.EQUITY,0.394725448501477,0,0,0,0,0,0,0,0,0,0,0,0.0204315168301183,0.0162332075774313,0,0,0.11831476289962,0.154250829682745,0,0.0286413368943001,0.106160148341329,0,0,0,0,-0.0483460626522758,0,0.0100302152763973,-0.00557568454395441,0,0.0677604164099674
X601939.CH.EQUITY,0,0.208228849722326,0,0,0,0,0.274673774476507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228646367342281,0,0,-0.0118061306404765,0.00323492026233068,-0.0546199019772474,0
X601288.CH.EQUITY,0,0.0198263140549673,0,0,0,0.353750807397413,0,0,0,0,0,0,0,0,0,0,0,0.0218362376679408,0,0,0.0749954815478875,0,0,0,0,-0.0246887780986075,0,-0.00937833670922955,0,0,0.04222860538499
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.162252379998608,0.0344002999882427,0,0,0,0,0.302521917321681,0,0,0,0,0,0.585851453058918,0,0,0,-0.0139674260314791,-0.00563193150659498,0,0
X3988.HK.EQUITY,0.155363399838713,0,0,0,0.0907332906651966,0,0,0,0,0,0,0.030975125849231,0,0,0,0,0,0,0,0,0.0984349227662785,0.0176038716680201,0,0,0,0,0,0.00635776821185184,-0.0314666872184831,0.0243700818120403,0
X601988.CH.EQUITY,0,0,0,0,0.0615755022235888,0.325441675362741,0,0,0,0,0,0,0.0259946336479555,0,0.0709874861685908,0,0,0,0,0,0,0,0,0,0,0,0,-0.00220733798686873,-0.00833761309446023,-0.00866642196045441,0.0181303465408944
X600036.CH.EQUITY,0,0,0,0.172148462822539,0,0,0,0.0501681503012403,0,0,0,0,0,0,0,0,0,0.0512101583045168,0,0.312468278491733,0,0.132959866873737,0,0.186649248523429,0,0,0,0.018084445097858,0.0108706924205779,0.00858538111423172,-0.0458418915971772
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.178516052251863,0,0,0,0,0,0,0,0,-0.0992470493623375,0,0.0151557169867594,0.553053659611515,0.350896908752149,0,0,0,0.0129482932857115,-0.0185668863225009,0.0112237935153625,0
X601628.CH.EQUITY,0,0.259772577639024,0,0.21412763838237,0,0,0,0,0,0,0,0,0,0.078060272664328,0.19365734489294,0,0,0.0426873310647242,0,0,0,0,0,0,0,-0.00738704524318707,0,0,-0.0220125151701584,0.191061135860967,0.0747798052948185
X2628.HK.EQUITY,8.67361737988404e-19,0,0,0.0542984463683081,0,0,0,0,0.00794112347226311,0,0,0.139637237336034,0.329140471342045,0,0,0,0,0,0,0,0.0860369882186099,0,0.124618772152904,0,0,0.0121240785383351,0,-0.0005359962379605,-0.0026950527227885,0,0.0671056975337845
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0760983422171511,0,0.0897479248156039,0,0,0,0,0,0,0.122041870665395,0,0.35243226560073,0,0,0,0.132583011565044,0,0.00957921381896803,-0.0123386232157521,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.103365675547255,0.0453759160065725,0,0,0.152028213928038,0,0,0,0,0,0,0.0723481544355244,0,0,0,-0.00251325418619243,-0.020675346410151,0.0482633983832198
