,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.550676870073619,0,0,0,0,0,0,0,0.0909278096386277,0.00687701937450445,0.138915759353506,0,0,0,0,0,0,0.0357186247807339,0,0,0,0.00964462340955061,0,0.00314588633574718,0.0005010485355524,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.101370302937614,0,0,0,0,0,0,0,0.0233096173489936,0.0151101074069438,0,0.153740091647167,0.115348147028568,0.0185644809598479,0,0,0.0031936594391509,0,0.0506063601559723
X2318.HK.EQUITY,0,0,0,0,0.0852771708012623,0,0,0,0,0,0,0.0178889545481265,0.232437812188405,0,0,0,0,0.30494443939085,0,0,0,0,0,-1.38777878078145e-17,0,0.0392825900764636,0,0,0,0,0
X601318.CH.EQUITY,0,0.104443948649512,0.282699607403852,0,0,0,0,0,0,0,0,0,0.00487136558950167,0.165089271507187,0,0,0,0,0,0,0,0,0.111671690916066,0.154575422991993,0,0.0351716264412696,0,0.00558792741217898,0.00865690461400859,0,0.00274938827355931
X939.HK.EQUITY,0.508025056752499,0,0,0,0,0,0,0,0,0,0,0.0836030292786382,0.102836583494046,0,0,0,0,0,0,0,0.00507514034570494,0,0,0.120476957634282,0,0,0.0152594540997709,0,0.00150890473910397,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0229860823277781,0.0822853124073053,0,0,0.121162547491163,0.345747779098663,0,0,0,0,0,0,0,0.0315570778950322,0,-0.000968425333110239,0.0128946306262184,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.29889718000055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156767188525545,0.0822800392852038,0,0.0398895458366438,0.0871552641247997,0.0070416742548474,0,0,0.000201188301899568,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.117447224039727,0,0,0,0,0.0824595993822092,0.0559259658212382,0,0,0,0.209078194891282,0,0,0,0,0.000549868777581073,0.0133196664011334,0,0
X601988.CH.EQUITY,0,0,0,0,0,0.0615011925023368,0,0,0,0,0,0,0.0798697654517392,0.0446375060594842,0,0,0,0.131466737151994,0,0,0.021695053798344,0.0491463286855119,0,0.0155295391663492,0,-8.67361737988404e-19,0,0,-0.00120225901889774,0,0
X3988.HK.EQUITY,0.459775379380466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117292827000702,0.168222755813843,0,0,0,3.46944695195361e-18,0,-1.73472347597681e-18,-0.00762008470144694,0.0162625932622782,0
