,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600036.CH.EQUITY,0,0,0.346282970604541,0,0,0.0265102701441946,0,0,0,0,0,0,0,0,0,0.192550523592493,0,0,0.314334293983503,0,0,0,0.145275079879266,0,0,-0.12133142583077,0,0.00747748724470905,-0.051610866688321,0.0339470964619279,0
X1299.HK.EQUITY,0,0,0.120798119041768,0.268800901260283,0,0,-0.230881360998776,0,0,-0.105805016412912,0,0,0,-8.67361737988404e-19,0,-0.0924156089928575,0,0,0,0.412174935041146,0.155814910061197,0,0,0.220741842586778,0,0.0621362637964225,0,0.0191368074227418,-8.67361737988404e-19,-0.0236880592663902,0
X2628.HK.EQUITY,0,0,0.0809152467851787,0.439410465834194,0,0,0,0,0,0,0,0.026749025495426,0,0.199565413588083,0,0,0,0,0,0,0,0.0465063194496611,0,0.0462976671570223,0,0,0,0,-0.00359064199478899,0.0115973234685708,0
X601628.CH.EQUITY,0,0,0.350198538098009,0,0,0,0,0,0,0,0.0234841692591512,0,0,0,0,0,0.239429875534647,0.265466801606774,0,0,0,0,0.354725736772727,0,0,0,0,-0.00511923655609603,-0.0118340512196116,0.0649820953742092,0
X601328.CH.EQUITY,0,0.133295427214075,0,0,0,0.0652979111368086,0,0,0,0,0.279572234826828,0,0,0.057541764151774,0,0,0,0.0110634663847387,0,0,0,0,0,0,0,0.00684106855800105,0,0,-0.0201789691004299,0,0
X3328.HK.EQUITY,0,1.19740256037655,0,0,0,0,0,0,0,0,0.0752828712542803,0,0,0,0,0,0,-0.0351936944890045,0,-0.136059175698771,0,-0.00891059904824331,0,0,0,-0.0870654028334764,0,0.0163098524168045,0.000760043046384371,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.206640042632698,0,0,0,0,0,0,0.149817888593034,0,0,0,-0.0990856197118474,0.386632314069565,0,0,0.0526948114537972,0,0,0,0,-0.0615786230408494,-0.00301379553858195,-0.00651402658011566,-0.0281938854374396,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.603508292078996,0,0,0,0,0,0.063217130134522,0,0,0,0,-0.17556346746268,0.281266749876153,0,0.354235561312915,0.315155607253289,0,0,0,0,-0.010164866708818,-0.122344937498545,-0.117332648862726,-0.356050438941892
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0560119709935708,0,0.019255049091081,0.00911532360400824,0,0.0561162382120952,0.631419387174907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419916904290433
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.212119509974903,0,0,0,0,0,0,0,0,0,0.169073842170907,0,0,0,0,0,0,0.0944246589175896,0,0
X11.HK.EQUITY,-0.0405203354578858,0,0,0.219557207441783,0,0.297932199559753,0,0,0,0,0,0,0,0,0,0,0,0.0693769597537654,0,0.189572500728456,0,0.0373637349917816,0,0.0227181244946223,0,0,0,0.00898994031388083,8.67361737988404e-19,-0.0673379076689439,0
X000002.CH.EQUITY,0,0,0.138073100220681,0,0,0.0555856179778719,0,0,0,0,0,0,0,0,0,0,0,0.173233499453172,0,0.549149075426139,0,0,0,0,0,0,-0.377303032272309,-0.0572935599159941,-0.0731252783488322,0,-0.0849290267581164
X601601.CH.EQUITY,0,0,0.413314920999144,0,0,0,0,0,0,0,0.0835811302541177,0.0408687522805127,0,0.152985759031653,0,0,0,0,0,0,0,0,0,0,0,0.039589713508352,0,0.00744959525453059,-0.011471613700733,0,0
X388.HK.EQUITY,0,0,0,0,0.0656195319973236,0,0,0,0,0,0,0.456431885157845,0.0871133887115531,8.67361737988404e-19,0,0.0335417484410825,0,0,0,0,0,0,0,0,0,0.0428103493282589,0,-0.0257765799794047,-0.027756783350639,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0162031639615642,-0.0846464167889009,0,0,0,0.337882779323888,0,0,0,0,0,0,-0.0251366452528632,0,0,0,0,0,0.00717404353528936,0.00921645974671958,-0.148545659151089
CGB3M,0,0.0347425956689391,0,0,0,0,0,0,0,0,0,0,0,0.0246041022100454,0,0,0,0,-0.174364297517041,0,0,0,0,0.107053503847418,0,0,0,-0.00462952673041291,-0.0609927319316638,-0.866382473034446,-0.470267396165849
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201039074407664,0,0,0,0,0,0,0,-0.154588712737771,0,0,0,0,0,-0.254252887286838,1.73472347597681e-18,0.080900007526113,0
VXFXI.INDEX,0,0,6.93889390390723e-18,0.218258803740823,0,0,0,0,0,0,0,-0.606265398986866,0,-0.111706898644794,0,0,0,-0.397992822151427,0,0,0,-0.0562923879877024,-0.313788932089548,-0.289279399835332,0,1.38777878078145e-17,-3.68898907703812,0,0.0231393179370395,0.574032406751049,0
TED.SP,0,0,0,0,0,0,0,0,0,0,0,-0.0113499490607947,0,0,0,0,0,0.218047457711171,-0.0240311458245842,0,0,0,0,-0.295164547820417,-0.963114449547573,0,0,-0.118073489772754,0,0.264873452925355,0
CN3M10YSLOPE,0,0.0411019758803384,0,0,0,0,0,0,0,0,0,0,0,0.135366886671178,0,0,0,-0.042026115577042,-0.232228788934047,0,0,0.0196843201286006,0,0,0,-1.08825316384759,0,0.00413607265945799,-0.0393470464083502,0,-0.400654476017292
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0.085449921255009,0,0,0,0,0,0,2.16840434497101e-19,-0.305736940469014,0.0520498474633028,0,0,0.176607942138535,0,0,-0.379337564019572,0,-0.0425223754550592,-0.0799341922624521,-0.499156133139274,0
