,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0402904213925788,0.0712567270498278,0,0,0,0,0,0,0,0,0.133678755201449,0,0,0.0698124201696038,0,0.00468485563836113,0,0,0
X1398.HK.EQUITY,0,0,0.580694895006813,0,0,0,0,0,0,0,0,0.0578566901275533,0,0.0967719250478811,0,0,0,0,0,0,0.0752860998440058,0,0,0,0,0.00123371320656909,0,0.0043015314614838,-2.16840434497101e-19,0,0
X939.HK.EQUITY,0,0.406494947509869,0,0,0,0,0,0,0,0,0,0,0,0.143467877357228,0,0,0,0.0216937198242392,0,0,0,0,0,0,0,0.0879995926155926,0,-0.00198271133491195,0.0114773231645471,0,-0.0171693829192333
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0486595023045235,0.0183048382410564,0,0,0,0,0,0,0.389014095007413,0,0.00308546697951778,0,0,0.0536348666948115,0,-0.00936978650040908,-0.00405280429287668,0,0
X2318.HK.EQUITY,0,0,0.0429881892506586,0,0,0,0,0,0,0,0.2400361881811,0,0,0.300144372299836,0,0,0,0,0,0,0.113642978520875,0.0390808287353621,0,0,0,0.0282107480176926,0,-0.00539836324228821,0.00196859601790759,0,-0.0719825795286037
X601318.CH.EQUITY,0,0,0.0971434914518398,0,0,0,0,0,0,0,0,0,0.126168215766791,0.0670608828149844,0,0,0,0,0,0,0.137523605959323,0,0.0596985349588473,0.157837832036304,0,0.0440429592087241,0,0.00841633959393111,0.0120825860023394,0,-0.00612118308575744
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0229079246930797,0,0,0,0,0,0,0,0,0,0.109366537274624,0.0949782477463185,0,0.0776384567859904,0,0.00454783710231922,-0.00298021735017518,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.24767359887132,0,0,0,0,0,0,0,0.0826886366735386,0,0.0136537323527698,0,0,0.0456964538569557,0,0.00568955634206561,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031448559217725,0,0,0,0,0,0,0.0661198406451299,0,0.083259479558444,0.0970756413272775,0,0.0393631718479179,0,0.00653069606137252,-0.000944221741977451,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948200588109258,0.0185471351629218,0.197249773722144,0,0,-0.111437148042533,-0.0141720525491035,-0.00879786500320763,0.0936764912318395,0
