,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.399979022594482,0,0.0578894526621117,0,0,0,0,0,0,0,0,0,0,0,0.0784103633627254,0,0,0,0,0,0,0.106528059785542,0,0,0,0.00208649898641887,0,0,0
X1398.HK.EQUITY,0,0,0.22640751806591,0.493275081935927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761219924869042,0.0130224091607116,0,0,0,0,0,0,0,0,0,0.00295355426165205
X601939.CH.EQUITY,0,0,0,0,0.194264565914011,0,0,0,0,0,0,0,0.0466974251397693,0,0.222729522082651,0,0,0,0,0,0.0816206437165598,-3.46944695195361e-18,0,0,0,0,0,0.0087829699902612,0,0,0
X939.HK.EQUITY,0,0.677416643908106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115619428685396,0,0,0,0,-0.00729222279534637,0,0.0991321276944713,0,0,0,0,0,0.0203785814989284,0.0363308814787127,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.125581847379339,0,0,0.0503184198590142,0,0,0,0,0,0,0,0.297040565102397,0,0.268318370168037,0,0,0,-0.0374725799828627,0.0108535704856635,0,0
X2318.HK.EQUITY,0,0,0,0,0.536011522708927,0,0,0,0,0,0,0,0.0506175673884752,0,0,0,0,0,0,0,0,0.0319643544967178,0,0,0,0.0534223515527976,0,-0.00765192016011822,0,-0.0308641068056128,0
X601288.CH.EQUITY,0,0,0.335700640177202,0,0,0,0,0,0,0,0,0,0.0328701001958762,0,0,0,0,0,0,0,0.0076260582437251,0,0,0.131617508752889,0,-5.71943388879752e-05,0,1.35525271560688e-20,0,0,0.0219994198419322
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.016975091031312,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0602158788035828,-0.0206324225036703,0.124190761202401,0.265905660247448,-0.0189396558328341,0,0,0,0.0203273026860761,0,0,0.127582460410395
X601988.CH.EQUITY,0,0,0.11075980125184,0,0,0,0,0,0,0,0,0,0.20489176574707,0,0,0,1.73472347597681e-18,0,0,0,0.0291776565439357,0,0,-3.46944695195361e-18,0,0,0,0.011956978469218,-0.0109149222687348,0,0.0345507519535386
X3988.HK.EQUITY,0,0,0,0.340246736622235,0.0281006850030679,0.076729510135482,0,0,0,0,0,0,0.0332540597526414,0,0,0,0.0237720944812419,0,0,0,0,0,0,0.0300031026621121,0,0,0,-0.0145069241877456,0.0061934480137528,0.0708853611843583,0
