,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.104985570350727,0.0125222470951875,0,0,0,0,0.275758798776963,0,0,-0.0790077318672719,-0.109484563713327,0,0,0,0.0389743292259917,0.217797652137844,0.0657696782534662,0.018985846074374,0,-0.0519485453088539
X1398.HK.EQUITY,0.0610430126785445,0,0,0.593301301821561,0,0,0,0,0,0,0,0,0.110155996002428,0.0540212456032529,-0.0658945101125629,0,0.172879939113373,0,0,0,0,0,0,0,0,0.024466786585314,0,0.00643055965991642,0.0136035439325025,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.186386080075526,1.73472347597681e-18,0,0,0,0,0,0,0.0133732180840461,0.381187276664595,0,0,0,0,0,0,-0.0116318325899376,0,0.0203972093530813,-0.00702766834458915,0,0
X939.HK.EQUITY,0,0.300897815100636,0,0,0,0,0,0,0,0,0.19235230387099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0373638042820441,0.000466749202677788,0.00720022566716769,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0460605970021205,0.0475813816715601,0.349932492039445,0,0,0.0284181172464297,0,0,0,0,0,0,0.0209063041211282,0,0.0365170208424657,0,0,0,0.00343949965334096,0,0.0117782348320523,-0.0150255464617367
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.205452490429342,0.0215999663017407,0.0193410348268465,0.0155278470910534,0,0,0,0,0,0,0,0,0,0.0342484616337359,0,0,0,0,-0.00307942893047381,0.011705583130873,0
X601288.CH.EQUITY,0,0,0.314585391223237,0,0,0,0,0,0,0.013148933382943,0.0218908968142935,0.0356114012325652,0,0,0.0148722822971709,0,0,0.0952772195379596,0,0,0,0,0,0,0,0.01116198981956,0,-0.00330263377140558,0.00384322684243496,-0.00646003652573345,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.352738114039695,0,0,0,0.0816687904487744,0.0379903061354561,0,0,0,0,0,-0.00873131607853543,0.00503972540571274,-0.0129646984576873
X3988.HK.EQUITY,0,0,0,0.0652401657469245,0,0,0,0,0,0,0.0965197456622007,0,0.170074545053558,0,0,0,0,0,0,0,0,0.00553381336253286,0,0,0,0,0,-0.0232882745619354,-0.0113521443048103,0.0245941382713313,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0545310933183265,0.197157255153808,0,0.100166777362368,0,0,0,0.378798617984118,0,0,0,0,0,0,0,0,0,0,0.0117621854794176,0,0.0157011618044567
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.262519407107302,0.506319978124085,0,0,0,0,0,0,0,0,0,0,0.369755339777852,0.104543630206853,0,0,0.016298625559504,-0.00956592277699559,0.0550167588614523,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.32108675426428,0,0,0,-0.116517726159854,0,0,0,0,0,0.0646691392647528,0,0,0,0,0,0,0.00732934779005935,0.000782634277833555,-0.0274222509043073,0.0895912264486526
