,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643514735061971,0,0,0,0,0,0.0576659730517399,0.0936996390308439,0.0245598147805585,0,-0.0142723697359015,0,0,0.00125121448270847,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.621623697426634,0,0,0,0,0,0,0,0,-0.0883529702936405,0,0,0,0,0,0.19776167568761,0,0,0,0,0,0,-0.015600033846398,0,0.00489091370529365,-0.0443015326678841
X2318.HK.EQUITY,0,0,0,0,0,0,0.129290838136838,0.0117571016910507,0,0,0,0,0.0296991846354706,0.0378723932238413,0,0,0.012333762731763,0,0,0,0,0,0,0,0,0,0,0,0,0.00573729162006256,-0.0314402734995597
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340214865870565,0,0,0.101670258522109,0.0712906592421513,0,0,0,0.155816886682015,0,0.126897016479034,0.0173808720354449,0,-0.0798904557580965,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0.0870161713145854,0,0,0,0,0,0,0,0.120542544464969,0.0344705781123218,0,0,0,0,0,0.0296093970943837,0,0.0532888401310107,0,0,0,0,0,0
X939.HK.EQUITY,0,0.634367236932909,0,0,0,0,0,0.00775112473319557,0,0,0,0,0.0328683382943008,0,0,0,0,0.0487287827911452,0,0,0.0398113626267474,0,0,0,0,0,0,0.0206402234559698,0,0,-0.00244351634108415
X2628.HK.EQUITY,0,0,0,0.171741199046754,0,0,0,0.178963325115244,0,0,0,0,0,0,0.152076523390507,0,0,0.0620776061090552,0,0,0,0.0253999595728961,0.230111699908794,0,0,0,0,-0.0637547403718641,0,0.0280984401464479,-0.131603362910003
X601628.CH.EQUITY,0,0,0,0,0,0,0.711250501563978,0,0,0,0,0,0,-0.250551756906712,0,0,0.29388591284302,0,0.0745630782982729,0,0,0,0.425659760869974,0,0,-0.0250918483070498,0,-0.125058942732578,0.053005243322216,0,0
X601288.CH.EQUITY,0,0,0,0.0139076726712243,0,0,0,0,0,0,0,0,0,0,0,0.0548041702292623,0,0.0433833600462217,0,0,0,0.0301320485628543,0,0,0.155246707043955,-0.00738166403675298,0,0,0.00398204566312648,0,0
X600036.CH.EQUITY,0,0,0,0.161431748183107,0,0,0,0.117077483096505,0,0,0,0,0,0.0104972612553114,0,0,0,0.263389231215971,0,0.0354339969658679,0.082610346217079,0,0.0209857667848592,0,0,-0.0347400040500808,0,0,0.0131322328640946,0,0
