,X600958.CH.EQUITY,X600837.CH.EQUITY,X601288.CH.EQUITY,X601108.CH.EQUITY,X600816.CH.EQUITY,X3056.TT.EQUITY,X601318.CH.EQUITY,X600369.CH.EQUITY,X3040.TT.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X600919.CH.EQUITY,X601066.CH.EQUITY,X600061.CH.EQUITY,X2905.TT.EQUITY,X600848.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X2881.TT.EQUITY,X002142.CH.EQUITY,X3266.TT.EQUITY,X601166.CH.EQUITY,X601155.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X600958.CH.EQUITY,0,0,0,0.0391634844916616,0,0,0,0.0119941751543356,0,0,0,0,0.171282871147427,0,0,0,0.394154775852826,0,0,0.0688554563771993,0,0,0,0,0.125986546557704,0,0,0.225232408851217,0.0293231704344739,0,0
X600837.CH.EQUITY,0.242014725871905,0,0,0,0,0,0,0,0.0680045655368624,0,0,0,0,0.0351115005578212,0,0,0.17609451199619,0,0,0,0,0,0,0,0.101760556668335,-0.0228474615779877,0,-0.0351775281924409,-0.0138493280920244,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00551903738809241,0.0560681214261264,0.101349522700502,0.0438926598564126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0195358355977114,-0.0102977158844115,-0.00327213752026368,0
X601108.CH.EQUITY,0,0.679782250376438,0,0,0,0,0,0.0731436698660461,0.0951557504689892,-0.264102036958312,0,0,0.0692297302304618,0.301200296744415,0,0,0,0,0,0,0,0,0.0344101788909947,0,0,0,0,-0.0514648006972455,-0.0730298800774036,0.177145768483997,0
X600816.CH.EQUITY,0,0,0,0.239091630718413,0,0,0,0,0.0240064231230288,0,0,0,-0.179163419936793,0,0,0.220184685518273,0.210238869168315,0,0,0.0234419847662481,0,0,0,0,0,0,0,-0.0539425971154185,-0.0169019698504097,0,0
X3056.TT.EQUITY,0,0,0,0.151176613298261,0,0,0,0,0.0990758882514883,0,0,0,0,0,0,0,-0.231577900912185,0,0,0,0.0942789158493187,0,0,0,0,0.00994491906597883,0,-0.0141977226019794,-0.00971634059432453,0,-0.0514318966826542
X601318.CH.EQUITY,0,0.0384371905310157,0,0,0,0,0,0,0,0.287718445748227,0,0,0.0782761134202178,0,0,0,0,0,0,0,0,0,0,0.0656292517597479,0.0804198022638082,0.0355473037942802,0,-0.0519523503104015,-6.7762635780344e-21,0,0
X600369.CH.EQUITY,0.285197690076317,0,0,0.0140227553059534,0,0,0,0,0,0,0,0,0,0.0902740537129703,0,0.252294745208739,0.110186449426481,0,0,0,0,0,0,0,0.0614452780439841,-0.00758629820685461,0,-0.144715071328769,-0.0145150862271679,0,0.00461619956848572
X3040.TT.EQUITY,-0.214714455371084,0,0,0,0,0,0,0,0,0,0,0,0.0317630336112207,0.157680716636765,0.482665094803259,0,0.106370023116557,0,0,0,0.115144903380985,0,0,0,0,-0.0284502070710979,0,0,-0.104859558624499,0,-0.0979019390479178
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0.024402873178149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496699830115653,0.064622292995056,0.00956545095770713,0,-0.0601588315996231,0.0131162014354079,0,-0.0762376889047485
X000002.CH.EQUITY,-0.0500478368259774,0.04322023942922,0,-0.0403159507544913,0,0.109882627142498,0,0,0,0,0,0,0.0958364215492022,0,0,0,0,0,0.138137863898096,0,0,0,0,0,0,0,0,0.0280281771868798,-0.0140238064086972,-0.014193958642268,0
