,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X5.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0.166074828859544,0,0,0,0,0,0,0.149598027109481,0,0.0279892561821329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269998746769386,0,0.00292762954363834,0.00596388409402575,0,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.0413217285207771,0,0,0,0,0,0,0,0,0.233190526611591,0,0,-0.0298652332192868,-0.0199031018996807,0,-0.0206457815463701
X601939.CH.EQUITY,0.0821435835498222,0,0,0,0,0,0,0,0,0.115795678525325,0,0,0,0.0222937092727419,0,0,0,0.26985132970434,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0115613449060034,-0.0146297265258941,0.00781251970868503,0
X939.HK.EQUITY,0,0.310834168246134,0,0,0,0,0,0,0,0,0.1259570688567,0,0,0.0240973071530138,0,0,0,0,0,0,0,0,0,0,0.0929592021397127,0,0,0,4.33680868994202e-19,0.00528133761673184,-0.0893524623646383
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.294773307679412,0,0,0.0349306474368344,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0650171054732313,0,0,0,-0.0186166433020892,0.0386273815193452,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.300009796775443,0,0.084719262839055,0,0,0,0,0,0,0,0,0,0,0,0,0.0347283907891585,0,-0.0173809939087331,-0.0226470365510173,-0.00439917587152858,0
X601288.CH.EQUITY,0,0,0.230260066201048,0,0,0,0,0,0,0,0,0.0443000625586227,0,0.0107079160712677,0,0,0,0,0,0.0788872224710908,0.0023321321423063,0,0,0,0,0.0209105064906168,0,-0.0127264715009322,0.00290861300766534,0.000823492710154904,0
X601988.CH.EQUITY,0,0,0.185089741452762,0,0,0,0,0,0.0803232459054634,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0337459903121022,0,0,0,0,0,0.0236482261231273,0,-0.002991025017863,-0.00514753392646323,0.014870307652385,-0.0565159230323399
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.103320902479866,0,0,0.0644376140364245,0,0.0645200532303478,0,0,0,0,0,0,0.0335770253844513,0,0.226853223004846,0.0126866565534468,0,-0.0104708126916216,-0.0208086124615667,0,-0.0492852090801713
X600036.CH.EQUITY,0,0,0,0,0.00370370934078021,0,0,0,0,0,0.0754886888901032,0,0.215615247712013,0,0,0,0,0.166595772873247,0,0,0,0,0.212934983669714,0,0,0,1.38777878078145e-17,-0.0328148087108364,0.00503202560672986,-0.0639297001278562,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.500802818205134,0,0,0,0,0,0,0,0,0.37119189597464,0.264071173291391,0,0,0,0,0,0,0.05197477779205,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00676080204935194,0,0.366257100127632,0,0,0,0,0,0,0,0,0.138539954925216,0,0,0,0,0,-0.00378422361051165,0,-0.0804251952289492,0.0290088154868887
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.123821005714869,0.348596317822602,0,0,0,0,0,0,0,0,0,0,0.0401212877502168,0,0.487843009209387,0,0,-0.0328247553833659,-0.00363928464056793,0,-0.120816186397063
X5.HK.EQUITY,0,0,0,0.196883267941144,0,0,0,0,0,0,0.180078176533681,0.253911960051457,0,0,0,0,0.0873500154813049,0,0,-0.0162934330602281,0,0,0,0,0,0,0,-0.014121454909522,0,-0.0288572018401372,-0.340427926041844
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.139962403572137,3.46944695195361e-18,0,0,0,0,0,0,0.121833656687647,0,0.0545645474307072,0.0944826822621461,0,0,0,-0.0143615757515814,0,0,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0400243535262553,0.0374196018434496,0,0.0206198201127483,0,0,0,0.160401727059991,0,0,0,0,0,0,0,0.260733241274484,0,0,0,-0.0163199077272382,0.00746668795390098,-0.0865347782234001
X388.HK.EQUITY,0,0,0,0,0.297296138948981,0,0,0,0,0,0.17900233415523,0,0,0,0,0,0,0,0,0,0,0.0742684709478405,0,0,0.0990254472810785,-0.144589688911955,0.0405149902452548,0.00513617472355411,-0.00307010245435,-0.122034274741659,0
X601166.CH.EQUITY,0,0,0.121623736341849,0,0,0,0,0,0,0.542172993303798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00551017091561837,0,0.0015225626702356,0.00351165243823628,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0461130146829097,0,0,0,0,0,0.361740212988936,0,0,0,0,0,0,0.0745974109181927,0.0352470703163298,0,-0.011859654736485,-0.00308189410991366,0.0281455502865826,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0333024427317031,0,0.0944979617314387,0,0,0,0,0,0,0,0,0,0.335088982066491,0,0.209682749616235,0,0,-0.0431077852879931,0.00597003650957276,0,5.42101086242752e-20
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.15491758492784,0,0,0,0.0590512974042873,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.173089649153257,0,-0.0285087813829651,0,-0.0269802835614069
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.552491334305968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106780435631747,0,-0.0257071216831012,0.000280599095813778,0.0657148378906595,-0.0348551987082206
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.232885900907476,0,0,0.347124889091532,0,0,0,0,0,0,0.0102113384532886,0,0,0,0,0,0.0201549369042166,0,0,-0.0137467987531072,0,-0.0901400247240858
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0116397777421547,0.135794325585053,0,0,0,0,0,0,0.0223126066774829,0,0,0,0,0.0324979375684021,0,0.0109861875209902,0,0,-0.00909604069686002,0.00761139729020955,-0.0143660971816374,0
X688.HK.EQUITY,0,0.673921970052276,0,0,0,0,0,0,0,0,0,0,0.565871105541771,0,0,0,0,0,0,0.0379093952607997,0,0,0,0,0,0.0108674100562022,0,0,-0.00773023608707806,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502966804608408,0,-0.127835919719148,0,0,0,0,0,0,0.622509614543892,0,-0.339224781725345,0,0,-0.107479851201239,-0.0903592716203509,-0.897848299700478,-0.201932889655627
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.264276301967933,-0.0105718828800615,0,0
VXFXI.INDEX,0,0,0,0,0.678372615501431,0,0,0,0,0,0,-0.247952076521864,0,0,0,0,1.1349791991335,0,-1.07900320591912,0,0,0,0,0,-0.194109860475713,0.0974572002231131,-2.94775185251678,0,-0.00451675171727212,-0.113701054147536,0.437065707796565
TED.SP,0,0,0,0,0,0,0,0,0,2.05409803990266,-0.939392753561238,0,-2.72167812287041,2.67304348699824,0,0,-5.33854754138202,0,0,0,-0.963884069503437,0,0,0,2.01432800373934,-0.988197069954381,-0.435199935593883,-0.0765463277157987,0,0,-0.974169633851028
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,-0.306773794932495,0.203734286390416,0,0,0,0,0,0.209032392576421,0,0,0,0,0.00198219920255807,0,0,0,-0.754129828106061,0,-0.122152134102753,0.0677182916183032,0,-0.399601652519865
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.331089611424626,0,0,-0.520077725411349,0,0,0,0,0,0,0,0,-0.337371844527722,0,-0.0235776000302795,-0.0367064435206683,-0.260727604607457,0
