,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601319.CH.EQUITY,0,0,0,0,0,0,0,-0.159215707892366,0,0,0,0,0.366099786089828,0,0,-0.792438049271617,-5.55111512312578e-17,0,0,0,0,0.269826855781166,0,0.00314119776393911,0,0,0,-0.0152007337516216,-0.130037823792073,0,-0.301122187931956
X11.HK.EQUITY,0,0,0,0.251420146789955,0,0,0,0,0,0,0,0.00519431707461243,0,0,0.13213087491258,0,0,0,0.0611554838258567,0,0.0928709060884161,0.110443738278187,0,0,0,0.016631229592975,0.0363479138909852,0,0.00783997072581296,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.185671950974965,0,0,0,0,0,0,0,0,0,0.182380188739307,0.114191622908909,0,0,0,0,0.00667910129323336,0.0821799298569685,0.0129396195188657,0
X000002.CH.EQUITY,0,0,0.148368955376492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196876464661187,0,0.324061785843961,0,0,0,0,0,-0.556296898831724,-0.108945901232207,0,0,-0.0901581371296188
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.320740864852068,0.0622453669580019,0.239396415160274,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.282226852874816,0,0,-0.0275760003714636,-0.0198101456288511,-0.0325527140961021,0
X601601.CH.EQUITY,0,0,0.0392569618870567,0,0,0,0,0,0,0,0.259206327963934,0.0658287663214971,0.357195403720448,0,-0.069591654967347,0,0,0,0.0228041481252937,0,0,0,0,0,0,0.0443355358559947,0,0,-8.67361737988404e-19,0,0
X2388.HK.EQUITY,0,0,0,0.264184923271016,0,0,0,0,0,0,0,0,0,0.160913117941185,0,0,0,0,-0.00965067080678917,0,0,0,0.424400115550826,0,0,-0.0630742143980392,0,-0.00646744186623475,0.00962821348966303,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0.101695949012503,0.0176098573708589,0,0,0,0,0,0.108630357203338,0,0,0,0,0,0,0,0.0207294506446837,0,-0.00618487385329953,-0.783246370384555,-0.33323066797062
FXI.US.EQUITY,0,0,-0.249450885526794,0,0,0,0,0,0,0,0,0,-0.0975207537181658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.254592695331675,0.0286871411595616,0.0627832324638782,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,-0.393139786203834,-0.775914370477344,-0.344378439365205,0,0,0,0,0,-0.0629077988066183,0,0,0,-0.0203697462971368,-0.142001189388325,0,0,-3.74636288236338,0,-2.16840434497101e-19,0.458385540967978,0
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.732205303390166,-2.41626233303964,0,-1.32128301330355,-0.506125048740078,0,1.41789267612884,0,-0.900705619804491,0,0,0,0,0.0988228984078075,0,0.359019408848575,-0.382921643706108
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0.155309347034188,0,0.140359520725404,0.122329889244131,0,0,0,-0.140255435512959,0.0106629637411746,0,0,0,0,-0.112954931443638,0,-1.16659986914118,0.141245427176808,0.0306451888042513,-0.0446673416304974,0,-0.438799629731773
CREDIT.SP,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.35238891587738,0,0,0,0,0,0,-0.286031465627501,-0.0710366573680803,0,0.191004336207417,-0.0680749990481508,0,0.0897720357567192,0,-0.489362420513077,0,-0.0402380361562419,-0.0869941035509767,-0.580919824538646,0
