,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0,0.253851705192741,0,0.0689845447385707,0,0,0,0,0,0,-0.00636366623985924,0,0.0157878399754994,0,0,0.0295604136613203,0,0,0,0,0,0,0.117053893350903,-0.0572150866151132,0.000324473329441829,0.0217117020395252,0
X601398.CH.EQUITY,0,0,0,0,0,0,0.00316748147950856,0.0346137463082644,0,0.278729607810057,0.0787870302054999,0,0,0,-0.18293952459888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103226511130987,0.00165482221697019,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.0172538208714012,0.157766780171759,0,0,0,0.0606873399812504,0.0587419004814724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064500561045795,0.00512243352298668,0.00516477249282807,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111011919454535,0,0.0229709578376252,0,0,0.0324830778855832,0,0,0,0,0.253662724213687,0,0,0,0.0162909675877113,0.00171101954365984,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.898579189963599,0.0614076639504551,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581861114928437,0,0,0.0260512414339502,0,0.00675270737243735,0
X939.HK.EQUITY,0.48011863304643,0,0,0,0,0,0,0.0242501768109524,0.0116650182375394,0,0,0,0.121837941132056,0,0,0,0,0,0,0.0320141860560657,0,0,0,0,0,0,0,0.0101531538667377,0.0060982286039586,0,0
X601288.CH.EQUITY,0,0,0,0,0.715046561658054,0,0,-0.0192324109706588,0,0.00482928925930156,0,0,0,0,0,0,0.00940464436472948,0,0,0,0,0,0,0,0.0920440061740771,0,0,0.0062613508477672,0.0110207128893674,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.57584220489424,0,0,0,0,0,0,0.516239328648777,0,0,0,0,0,0,0,0.229019915978767,0.150936549044426,0,0,-0.196794753858903,0.0437155831224306,0,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0.180071671446462,0,0,0.152700481772443,0,0,0,0.164647728681986,0,0,0,0,0,0,0,0,0.217263853678975,0,0,0,0,0,0.0539201601292552,-0.159528712899348
X600036.CH.EQUITY,0,0,0,0,0.231706789274198,0,0.0601498590092951,0,0,0,0,0,0,0,0,0,0,0,0,0.209359082671593,0,0,0,0.0373683291972715,0.107994680152012,-0.0580857888998644,0,-0.0203510416475445,0.0117216944070151,0.0207422897720567,0
